(0, 1, 7, 8, 15, 16, 17, 18, 19, 20, 24, 25)->[0, 0, -4, -4]
(0, 1, 2, 6, 7, 8, 9, 21, 23, 26, 28, 31)->[0, 0, 4, -4]
(0, 1, 26, 19)->[4, 0, 0, -4]
(0, 25, 28, 7)->[0, 4, 0, -4]
(0, 2, 5, 12, 13, 14, 15, 19, 22, 25, 26, 28)->[4, 4, 0, 0]
(3, 7, 9, 10, 12, 14, 16, 20, 21, 25, 28, 29)->[-4, 4, 0, 0]
(3, 4, 5, 12, 15, 18, 20, 22, 24, 27, 29, 30)->[0, 0, -4, 4]
(3, 4, 6, 8, 10, 11, 16, 17, 21, 23, 24, 30)->[-4, -4, 0, 0]
(2, 6, 9, 10, 11, 13, 14, 22, 27, 29, 30, 31)->[0, 0, 4, 4]
(1, 4, 5, 11, 13, 17, 18, 19, 23, 26, 27, 31)->[4, -4, 0, 0]
(8, 16, 21, 7)->[-4, 0, 0, -4]
(24, 17, 18, 4)->[0, -4, -4, 0]
(25, 12, 20, 15)->[0, 4, -4, 0]
(10, 3, 29, 30)->[-4, 0, 0, 4]
(9, 2, 28, 14)->[0, 4, 4, 0]
(11, 31, 6, 23)->[0, -4, 4, 0]
(13, 27, 5, 22)->[4, 0, 0, 4]
(27, 11, 4, 30)->[0, -4, 0, 4]
(16, 24, 3, 20)->[-4, 0, -4, 0]
(12, 29, 14, 22)->[0, 4, 0, 4]
(8, 1, 17, 23)->[0, -4, 0, -4]
(18, 19, 5, 15)->[4, 0, -4, 0]
(2, 26, 13, 31)->[4, 0, 4, 0]
(9, 10, 21, 6)->[-4, 0, 4, 0]
