Face([1487, 198, 1103, 276, 351])
Face([443, 259, 590, 1825, 1292])
Face([750, 1293, 1704, 1340, 2149])
Face([737, 793, 769, 1673, 1250])
Face([1425, 1712, 190, 1917, 1923])
Face([90, 946, 2072, 856, 847])
Face([394, 1018, 826, 189, 678])
Face([395, 1842, 1123, 1621, 542])
Face([611, 1186, 2104, 1600, 1231])
Face([1526, 2125, 1473, 1517, 959])
Face([484, 181, 918, 2266, 2071])
Face([1440, 803, 1371, 1286, 2118])
Face([911, 1347, 969, 1346, 1001])
Face([1644, 1618, 2067, 1252, 1172])
Face([2327, 1330, 1438, 2097, 1850])
Face([2135, 256, 2222, 6, 2388])
Face([686, 1336, 702, 217, 1511])
Face([505, 1441, 1758, 2053, 1242])
Face([1865, 1150, 2178, 996, 2031])
Face([479, 2258, 854, 1827, 1570])
Face([765, 1696, 330, 253, 2223])
Face([662, 1650, 208, 1504, 1893])
Face([377, 684, 797, 929, 1236])
Face([2294, 418, 442, 2391, 2398])
Face([63, 1681, 514, 488, 1451])
Face([441, 1826, 2256, 1347, 911])
Face([391, 1162, 1637, 785, 342])
Face([1798, 546, 2051, 1576, 9])
Face([1902, 2035, 1598, 2212, 1597])
Face([631, 1724, 171, 1293, 750])
Face([345, 73, 1716, 2344, 1405])
Face([1435, 1742, 2096, 1525, 2182])
Face([96, 777, 243, 1334, 2143])
Face([700, 2388, 6, 1077, 62])
Face([1723, 1573, 1021, 1053, 1599])
Face([369, 1795, 2394, 2048, 1230])
Face([304, 1488, 1147, 1046, 2251])
Face([749, 1281, 1288, 1123, 1621])
Face([477, 973, 1196, 1730, 510])
Face([422, 1027, 1953, 723, 860])
Face([364, 1738, 762, 1804, 565])
Face([2024, 975, 85, 1251, 2317])
Face([403, 1051, 123, 2217, 1475])
Face([1108, 896, 1396, 2107, 169])
Face([626, 594, 844, 2286, 939])
Face([675, 954, 1533, 1591, 923])
Face([1579, 587, 1294, 2239, 877])
Face([421, 739, 1820, 896, 1108])
Face([66, 2099, 1802, 1854, 2140])
Face([2323, 91, 1175, 778, 1860])
Face([15, 770, 1048, 338, 1066])
Face([652, 139, 2246, 1694, 766])
Face([606, 1901, 2197, 735, 1494])
Face([1328, 211, 97, 1797, 1674])
Face([274, 1507, 562, 534, 1060])
Face([424, 1177, 518, 1632, 135])
Face([459, 1113, 1895, 1509, 1537])
Face([368, 709, 899, 1221, 815])
Face([2175, 937, 2330, 516, 1323])
Face([624, 810, 1076, 2094, 2342])
Face([370, 598, 900, 639, 1891])
Face([462, 1298, 240, 1877, 263])
Face([2357, 344, 1079, 1417, 1607])
Face([305, 1928, 1882, 138, 2184])
Face([91, 116, 1887, 2208, 1175])
Face([1174, 971, 1880, 1377, 2231])
Face([495, 1638, 1703, 752, 158])
Face([2078, 1284, 473, 1830, 501])
Face([1318, 1431, 1179, 695, 1135])
Face([626, 594, 1345, 668, 1691])
Face([907, 2282, 1069, 1920, 1942])
Face([620, 1662, 201, 1867, 1471])
Face([126, 1142, 1643, 1722, 1463])
Face([386, 2064, 817, 2234, 861])
Face([386, 300, 1692, 1973, 861])
Face([741, 1627, 1871, 756, 525])
Face([1005, 1232, 1954, 154, 1639])
Face([78, 1931, 876, 528, 1173])
Face([373, 1361, 46, 176, 1476])
Face([1979, 2370, 531, 1348, 1719])
Face([765, 1995, 1161, 1401, 2223])
