[0, 2]
[0, 6]
[0, 32]
[0, 49]
[1, 14]
[1, 15]
[1, 19]
[1, 59]
[4, 24]
[4, 27]
[4, 50]
[4, 55]
[5, 11]
[5, 23]
[5, 25]
[5, 55]
[2, 8]
[2, 9]
[2, 10]
[3, 16]
[3, 34]
[3, 41]
[3, 51]
[6, 18]
[6, 26]
[6, 40]
[7, 18]
[7, 30]
[7, 46]
[7, 54]
[8, 21]
[8, 22]
[8, 52]
[9, 10]
[9, 21]
[9, 27]
[10, 22]
[10, 34]
[11, 12]
[11, 17]
[11, 41]
[12, 17]
[12, 25]
[12, 38]
[13, 21]
[13, 24]
[13, 35]
[13, 56]
[14, 19]
[14, 28]
[14, 35]
[15, 28]
[15, 47]
[15, 57]
[16, 27]
[16, 42]
[16, 55]
[17, 23]
[17, 28]
[18, 30]
[18, 52]
[19, 22]
[19, 57]
[20, 31]
[20, 36]
[20, 45]
[20, 50]
[21, 22]
[23, 25]
[23, 44]
[24, 39]
[24, 44]
[25, 36]
[26, 32]
[26, 40]
[26, 45]
[27, 42]
[28, 57]
[29, 37]
[29, 41]
[29, 48]
[29, 51]
[30, 43]
[30, 59]
[31, 36]
[31, 39]
[31, 54]
[32, 42]
[32, 49]
[33, 37]
[33, 40]
[33, 43]
[33, 53]
[34, 48]
[34, 51]
[35, 44]
[35, 56]
[36, 58]
[37, 38]
[37, 47]
[38, 47]
[38, 53]
[39, 44]
[39, 56]
[40, 49]
[41, 48]
[42, 50]
[43, 47]
[43, 53]
[45, 54]
[45, 58]
[46, 52]
[46, 56]
[46, 59]
[50, 55]
[48, 57]
[49, 51]
[52, 59]
[53, 58]
[54, 58]
