MeshFace([548, 1350, 1056])
MeshFace([439, 1285, 1008])
MeshFace([298, 1157, 394])
MeshFace([19, 404, 259, 1199, 986, 362])
MeshFace([726, 1287, 1255])
MeshFace([390, 746, 459])
MeshFace([41, 732, 1367, 265, 563, 1356])
MeshFace([283, 1178, 765])
MeshFace([332, 1398, 817])
MeshFace([40, 388, 191])
MeshFace([333, 1046, 761])
MeshFace([571, 595, 1187])
MeshFace([90, 468, 796])
MeshFace([162, 599, 402, 882, 556, 737])
MeshFace([148, 505, 930, 1332, 1405, 707])
MeshFace([303, 424, 1042])
MeshFace([26, 720, 1372])
MeshFace([16, 712, 144, 904, 552, 1128])
MeshFace([293, 621, 1437])
MeshFace([239, 427, 292])
MeshFace([86, 216, 1216])
MeshFace([282, 1391, 982, 1176, 676, 1206])
MeshFace([421, 1403, 1394])
MeshFace([677, 1325, 983])
MeshFace([418, 1250, 1068])
MeshFace([352, 1439, 1022])
MeshFace([493, 1268, 1119])
MeshFace([375, 1415, 1203])
MeshFace([134, 910, 214, 900, 489, 689])
MeshFace([515, 902, 1029])
MeshFace([540, 1295, 1082])
MeshFace([78, 587, 318, 964, 1383, 834])
MeshFace([330, 1149, 478])
MeshFace([68, 771, 767, 1177, 1237, 77])
MeshFace([1283, 1324, 1331])
MeshFace([36, 436, 213])
MeshFace([18, 188, 354, 539, 137, 958])
MeshFace([160, 169, 761, 929, 920, 371])
MeshFace([647, 1128, 1241])
MeshFace([820, 917, 1114])
MeshFace([76, 165, 874])
MeshFace([245, 654, 1172])
MeshFace([177, 345, 1357])
MeshFace([97, 505, 1319])
MeshFace([609, 1208, 670])
MeshFace([606, 661, 776])
MeshFace([773, 1339, 830])
MeshFace([254, 260, 1419])
MeshFace([343, 1075, 1021])
MeshFace([271, 421, 1166, 1301, 739, 1085])
MeshFace([145, 227, 199])
MeshFace([595, 1187, 1194])
MeshFace([70, 1232, 1223])
MeshFace([452, 1377, 812])
MeshFace([156, 250, 302])
MeshFace([212, 645, 1050])
MeshFace([242, 325, 264])
MeshFace([34, 483, 140])
MeshFace([382, 1230, 785])
MeshFace([269, 1235, 535])
MeshFace([309, 1191, 938])
MeshFace([314, 510, 1159])
MeshFace([220, 1391, 282, 1435, 725, 381])
MeshFace([654, 913, 802])
MeshFace([449, 829, 903])
MeshFace([551, 738, 1090])
MeshFace([96, 622, 1359, 1176, 982, 1040])
MeshFace([184, 363, 1067, 581, 1286, 1431])
MeshFace([41, 732, 1022, 1357, 1240, 1311])
MeshFace([43, 908, 379])
MeshFace([252, 404, 847])
MeshFace([136, 1122, 375])
MeshFace([158, 286, 701])
MeshFace([136, 947, 613])
MeshFace([279, 1115, 1218])
MeshFace([103, 207, 544, 405, 747, 337])
MeshFace([261, 1140, 1062])
MeshFace([174, 944, 312, 1047, 1298, 503])
MeshFace([201, 1339, 1143])
MeshFace([708, 1420, 1217])
MeshFace([188, 937, 855])
MeshFace([356, 1222, 568])
MeshFace([261, 1140, 888])
MeshFace([91, 393, 1418])
MeshFace([29, 720, 791])
MeshFace([326, 560, 566])
MeshFace([231, 629, 1086])
MeshFace([332, 455, 817])
MeshFace([421, 1375, 1403])
MeshFace([85, 1266, 1012])
MeshFace([114, 1312, 1320, 878, 1054, 1126])
MeshFace([298, 605, 323, 1197, 573, 1182])
MeshFace([541, 857, 582])
MeshFace([80, 875, 971])
MeshFace([907, 1092, 969])
MeshFace([53, 280, 154])
MeshFace([418, 1001, 620, 466, 644, 615])
MeshFace([458, 952, 664])
MeshFace([287, 1394, 1403])
MeshFace([122, 1321, 1422, 773, 1113, 678])
MeshFace([8, 480, 383, 222, 1225, 1296])
MeshFace([1, 579, 1032, 1039, 449, 357])
MeshFace([362, 752, 527, 543, 1151, 986])
MeshFace([20, 900, 489, 1089, 1106, 532])
MeshFace([598, 1306, 1421])
MeshFace([132, 156, 685])
MeshFace([311, 365, 433])
MeshFace([143, 1335, 1269])
MeshFace([679, 839, 1311])
MeshFace([222, 569, 583])
MeshFace([32, 401, 1183, 1354, 105, 45])
MeshFace([628, 955, 1130])
MeshFace([363, 1067, 460])
MeshFace([654, 913, 1138])
MeshFace([139, 286, 158, 1427, 880, 425])
MeshFace([8, 1108, 1243])
MeshFace([433, 1326, 1188])
MeshFace([58, 1308, 702])
MeshFace([309, 1191, 916])
MeshFace([410, 711, 1131, 705, 479, 1163])
MeshFace([254, 1419, 1137])
MeshFace([542, 1279, 866])
MeshFace([303, 632, 1297])
MeshFace([71, 1166, 1071])
MeshFace([792, 1138, 989])
MeshFace([399, 1179, 1186])
MeshFace([411, 437, 434])
MeshFace([378, 1342, 792, 1138, 999, 386])
MeshFace([654, 1172, 1138])
MeshFace([437, 528, 806])
MeshFace([79, 249, 1369])
MeshFace([148, 1027, 839, 679, 183, 707])
MeshFace([192, 460, 1041, 887, 1203, 375])
MeshFace([27, 1037, 30])
MeshFace([106, 1046, 475, 325, 251, 320])
MeshFace([88, 1021, 1296, 1225, 511, 770])
MeshFace([83, 665, 568, 1297, 830, 1250])
MeshFace([235, 1038, 696])
MeshFace([408, 1315, 963])
MeshFace([508, 1196, 1366])
MeshFace([511, 583, 1225])
MeshFace([101, 631, 544, 405, 635, 1019])
MeshFace([92, 1081, 112])
MeshFace([248, 674, 344])
MeshFace([13, 1218, 888, 612, 69, 975])
MeshFace([571, 1082, 890, 864, 1234, 595])
MeshFace([511, 770, 661, 875, 971, 583])
MeshFace([364, 647, 371])
MeshFace([463, 1154, 786])
MeshFace([34, 483, 1036])
MeshFace([429, 898, 715])
MeshFace([611, 1273, 1100, 1018, 816, 1259])
MeshFace([2, 587, 318, 1435, 725, 1420])
MeshFace([98, 822, 640])
MeshFace([93, 289, 987, 550, 172, 486])
MeshFace([42, 308, 1273])
MeshFace([255, 1141, 487, 957, 1238, 800])
MeshFace([65, 509, 215])
MeshFace([793, 1135, 976])
