[6, 5, 0]
[0, 5, 14, 15]
[23, 21, 6, 0]
[0, 15, 12, 23]
[1, 14, 4, 22]
[15, 14, 1]
[19, 12, 15, 1]
[22, 18, 19, 1]
[21, 11, 8, 2]
[2, 8, 13]
[2, 10, 6, 21]
[13, 17, 10, 2]
[3, 4, 7, 17]
[22, 4, 3]
[17, 13, 16, 3]
[3, 16, 18, 22]
[14, 5, 7, 4]
[5, 6, 10, 7]
[7, 10, 17]
[8, 9, 16, 13]
[11, 20, 9, 8]
[18, 16, 9]
[20, 19, 18, 9]
[23, 12, 20, 11]
[11, 21, 23]
[12, 19, 20]
