(0, 6304, 1090, 5028, 2533, 3528, 1321, 1681, 6545, 6866, 4181, 4958)->[-2, 2*r5, -2, 2]
(0, 2784, 1090, 1321, 4745, 3409, 2642, 6545, 4884, 3317, 4181, 6866)->[-2, 6, -2, 2]
(0, 2305, 3840, 2568, 6153, 6409, 1420, 3468, 1424, 1681, 2450, 2578, 148, 3092, 4752, 2711, 2839, 5143, 5660, 6684, 4382, 6687, 2849, 1570, 2466, 4515, 4005, 2598, 2343, 6434, 809, 6705, 6582, 5815, 7097, 4411, 956, 1090, 2626, 3012, 4803, 209, 6097, 5849, 5210, 6492, 2397, 5599, 2784, 3427, 3429, 3559, 2923, 1389, 3437, 627, 3317, 3573, 6523, 767)->[0, (1+1*r5), -2, (-1+1*r5)]
(0, 1856, 6304, 6593, 5028, 3429, 3528, 3468, 1681, 6866, 1139, 254)->[(2-2*r5), (3+1*r5), (-1-1*r5), 2]
(0, 6434, 3429, 5928, 4745, 6153, 6866, 3317, 952, 254)->[-2, (2+2*r5), (-1-1*r5), (-1+1*r5)]
(5217, 5538, 6561, 5158, 519, 4013, 6735, 2193, 6038, 6522, 1150, 2655)->[2, 0, (3-1*r5), (-3-1*r5)]
(640, 5369, 1704, 5804, 2094, 3855, 6639, 6099, 55, 6360, 3193, 2239)->[-2, (-1+1*r5), 4, (-1-1*r5)]
(6656, 5414, 5640, 4459, 300, 1614, 3599, 1615, 7152, 1170, 4660, 4764)->[4, (1-1*r5), (1+1*r5), -2]
(1857, 6785, 7075, 1350, 4841, 3054, 6193, 6673, 790, 6745, 1627, 6270)->[(-1-1*r5), (1+1*r5), (1+1*r5), (-3+1*r5)]
(4484, 1638, 1192, 2925, 3725, 4717, 5489, 1235, 1717, 6365, 1946, 5373)->[2, -2, -2*r5, 2]
(769, 6210, 6530, 2532, 2630, 2248, 4747, 2765, 1358, 3213, 1046, 6652)->[2, (-1-1*r5), (1-1*r5), -4]
(4642, 1955, 2279, 1128, 3467, 3216, 5265, 5268, 2523, 3767, 1723, 3292)->[(1+1*r5), (1+1*r5), (1+1*r5), (-3+1*r5)]
(1280, 6012, 4233, 4173, 2959, 401, 6835, 2613, 1398, 3734, 764, 6750)->[(-1+1*r5), 2, (1+1*r5), 4]
(6529, 5252, 1125, 741, 1255, 5999, 177, 4725, 5846, 2681, 3356, 1407)->[(-1-1*r5), (-3+1*r5), (-1-1*r5), (-1-1*r5)]
(2691, 2661, 4621, 4622, 5295, 6967, 1716, 2069, 4052, 2903, 1722, 6655)->[(-1-1*r5), (1-1*r5), -2, -4]
(5345, 867, 4870, 5639, 6509, 912, 2196, 758, 2744, 761, 2875, 2206)->[-2, 4, (1+1*r5), (1-1*r5)]
(740, 6, 6694, 1673, 3947, 5419, 270, 3534, 6066, 3987, 1972, 2331)->[0, 0, -4, -4]
(1153, 1068, 3436, 5901, 3888, 5648, 5079, 310, 727, 2392, 2966, 4854)->[(-1-1*r5), (1+1*r5), (-1-1*r5), (-3+1*r5)]
(4771, 1351, 3918, 6416, 1617, 977, 339, 1809, 5919, 6015, 3769, 4031)->[-2, (1-1*r5), 4, (-1-1*r5)]
(6432, 3111, 2539, 2316, 3673, 3057, 3826, 3986, 5432, 1118, 2522, 1438)->[(1+1*r5), (1-1*r5), -2, -4]
(5097, 1322, 1931, 2445, 6638, 4911, 5950, 2041, 4572, 1373, 25, 3807)->[-2, 2*r5, 2, -2]
(6495, 6248, 4908, 6284, 6800, 5426, 5499, 3284, 6136, 2939, 5981, 4543)->[(1-1*r5), (-3-1*r5), (1-1*r5), (1-1*r5)]
(449, 3299, 5128, 2189, 5657, 2607, 944, 81, 1808, 4697, 6037, 1529)->[-4, (1-1*r5), (-1-1*r5), 2]
(4101, 4038, 167, 3591, 6438, 3373, 6510, 2770, 696, 4444, 62, 223)->[(1-1*r5), (1-1*r5), (-1+1*r5), (-3-1*r5)]
(2307, 1892, 2692, 3486, 6339, 74, 875, 6379, 3791, 4984, 1342, 6751)->[2, (3-1*r5), (3+1*r5), 0]
(6946, 6244, 3465, 3625, 4842, 3597, 3854, 431, 3984, 6483, 858, 4127)->[0, (1+1*r5), -2*r5, (1-1*r5)]
(579, 5255, 4584, 4873, 2538, 4362, 6426, 4653, 1777, 181, 5688, 2266)->[(1-1*r5), -4, -2, (-1-1*r5)]
(2018, 5764, 5286, 3304, 4424, 1674, 651, 5132, 909, 5014, 2009, 6875)->[(1+1*r5), 4, (-1+1*r5), -2]
(1504, 4006, 1929, 2601, 3914, 6988, 2669, 3502, 6902, 4023, 2650, 187)->[(-1+1*r5), (-1+1*r5), (3+1*r5), (1-1*r5)]
(2245, 709, 3532, 6989, 6286, 3217, 2899, 2452, 3799, 4987, 2109, 2047)->[2, (1+1*r5), (1-1*r5), 4]
(5442, 5474, 6947, 1989, 5703, 2286, 1875, 5363, 4152, 250, 5914, 5980)->[(1+1*r5), 2, -4, (-1+1*r5)]
(2689, 5348, 6628, 3271, 4008, 1065, 1999, 6160, 5521, 562, 1467, 830)->[4, -2, (-1+1*r5), (1+1*r5)]
(1191, 2504, 2858, 1707, 5931, 6924, 5838, 2930, 3475, 4570, 5053, 2078)->[-4, -2, (1-1*r5), (-1-1*r5)]
(5697, 4646, 972, 4243, 4531, 5556, 472, 126, 7035, 4088, 3453, 2232)->[(-1-1*r5), (1-1*r5), 2, -4]
(4605, 6749, 4811, 4460, 5968, 735, 2739, 4629, 2294, 6617, 3485, 2687)->[-4, (1-1*r5), (1+1*r5), -2]
(805, 3013, 6470, 2797, 3469, 1423, 1523, 2163, 6387, 54, 5782, 378)->[-2*r5, 0, (-1-1*r5), (-1+1*r5)]
(5377, 2341, 1734, 166, 2853, 7117, 4367, 5938, 51, 3157, 1303, 5054)->[(-1+1*r5), -2, (1+1*r5), 4]
(3416, 4967, 5995, 6318, 6352, 4604, 1268, 6677, 1496, 3228, 1821, 4159)->[(1-1*r5), -2, (-1-1*r5), -4]
(2881, 4136, 5193, 1772, 2349, 973, 5807, 3505, 4691, 4500, 5723, 7007)->[2*r5, -2, 2, -2]
(4545, 1061, 1670, 6918, 2732, 1105, 6482, 4084, 3125, 6777, 4635, 5471)->[(1+1*r5), -2, 4, (1-1*r5)]
(2882, 6758, 2569, 4714, 653, 2221, 4016, 147, 3220, 6264, 5753, 4607)->[(-3+1*r5), 2, 0, (-3-1*r5)]
(544, 2624, 4226, 36, 4298, 1547, 211, 1557, 3256, 4890, 3804, 5818)->[(1+1*r5), -2, -4, (1-1*r5)]
(2436, 4133, 6788, 425, 2153, 5964, 1968, 2384, 1106, 3028, 4788, 5302)->[-2, (1-1*r5), 4, (1+1*r5)]
(3329, 6786, 6376, 1099, 6001, 3347, 2039, 5113, 4091, 797, 2974, 4959)->[(1+1*r5), -4, (-1+1*r5), -2]
(3232, 5920, 2, 5220, 6343, 4744, 2825, 4776, 2924, 3948, 6541, 2287)->[2*r5, 0, (-1-1*r5), (1-1*r5)]
