(0, 33, 3, 39, 10, 12, 76, 21, 54, 23, 55, 89)->[4, 0, -4, 0]
(0, 3, 10, 12, 17, 19, 22, 26, 41, 49, 52, 54, 59, 71, 73, 75, 77, 82, 83, 86, 87, 89, 90, 95)->[0, -4, -4, 0]
(0, 64, 3, 69, 90, 76, 20, 52, 87, 57, 26, 30)->[0, 0, -4, -4]
(0, 2, 5, 8, 20, 21, 24, 26, 27, 29, 30, 32, 33, 37, 39, 40, 42, 58, 59, 65, 66, 69, 76, 89)->[4, 0, 0, -4]
(65, 69, 40, 46, 15, 81, 24, 57, 88, 29, 30, 63)->[0, 4, 0, -4]
(32, 2, 66, 5, 42, 11, 13, 47, 80, 85, 27, 61)->[4, 0, 4, 0]
(64, 1, 36, 73, 45, 19, 52, 84, 22, 90, 94, 95)->[-4, 0, -4, 0]
(35, 4, 67, 6, 68, 9, 44, 60, 92, 50, 53, 28)->[0, 4, 0, 4]
(38, 70, 71, 41, 75, 14, 16, 17, 83, 86, 91, 93)->[0, -4, 0, 4]
(58, 37, 8, 77, 48, 49, 82, 20, 87, 25, 26, 59)->[0, -4, 0, -4]
(34, 7, 72, 74, 43, 78, 79, 18, 51, 56, 62, 31)->[-4, 0, 4, 0]
(5, 7, 9, 11, 15, 18, 28, 31, 34, 40, 42, 46, 50, 51, 60, 61, 63, 65, 68, 72, 80, 81, 85, 92)->[0, 4, 4, 0]
(1, 3, 10, 23, 24, 28, 35, 39, 44, 46, 53, 55, 57, 63, 64, 67, 68, 69, 76, 84, 88, 90, 94, 95)->[0, 4, -4, 0]
(15, 19, 20, 25, 29, 30, 31, 36, 37, 43, 45, 48, 49, 52, 56, 57, 62, 64, 72, 74, 81, 87, 88, 94)->[-4, 0, 0, -4]
(2, 4, 6, 12, 13, 14, 17, 21, 23, 32, 33, 35, 38, 41, 47, 50, 53, 54, 55, 60, 61, 80, 91, 93)->[4, 0, 0, 4]
(1, 4, 6, 9, 14, 16, 22, 34, 36, 43, 44, 45, 51, 62, 67, 70, 71, 73, 75, 78, 79, 84, 91, 92)->[-4, 0, 0, 4]
(7, 8, 11, 13, 16, 18, 25, 27, 38, 47, 48, 56, 58, 66, 70, 74, 77, 78, 79, 82, 83, 85, 86, 93)->[0, -4, 4, 0]
(2, 35, 68, 5, 39, 40, 80, 21, 23, 24, 60, 63)->[4, 4, 0, 0]
(6, 73, 10, 75, 12, 44, 17, 84, 53, 55, 91, 95)->[0, 0, -4, 4]
(1, 34, 67, 43, 45, 46, 92, 81, 88, 28, 94, 31)->[-4, 4, 0, 0]
(36, 70, 71, 74, 77, 79, 48, 49, 19, 83, 22, 62)->[-4, -4, 0, 0]
(4, 7, 9, 14, 47, 16, 78, 50, 51, 93, 85, 61)->[0, 0, 4, 4]
(65, 66, 37, 8, 72, 42, 11, 15, 18, 56, 25, 29)->[0, 0, 4, -4]
(32, 33, 38, 41, 59, 13, 82, 54, 86, 89, 58, 27)->[4, -4, 0, 0]
