(0, 6656, 6147, 9739, 5140, 11796, 8727, 14359, 5145, 8223, 1580, 6716, 8770, 6212, 4167, 6729, 5708, 8269, 3152, 11867, 3165, 7774, 10343, 12904, 618, 5227, 3701, 8825, 9853, 2687, 3724, 10386, 6803, 12953, 8349, 1191, 8361, 7351, 3256, 8381, 11460, 4299, 2252, 2253, 2770, 6869, 11993, 6884, 5350, 11494, 9469, 1792, 2825, 1804, 275, 13590, 2842, 7451, 11040, 4386, 11046, 12588, 4909, 11567, 1329, 5428, 3893, 2364, 13131, 4431, 6499, 9576, 4969, 12654, 10611, 12659, 10103, 6521, 12666, 5502, 11142, 7047, 11656, 2442, 1419, 2446, 13713, 404, 14231, 11160, 410, 2460, 422, 1960, 5035, 1452, 10156, 12204, 6577, 13235, 3006, 13767, 7624, 10185, 9163, 13267, 9684, 9685, 4568, 6105, 986, 2010, 10203, 13272, 1506, 1006, 4080, 503, 10745, 11261)->[(3-1*r5), 0, (1-1*r5), -2]
(0, 642, 3843, 1419, 3724, 404, 11029, 11796, 11046, 3751, 12592, 6835, 8381, 1091, 2885, 4167, 7772, 12904, 4853, 10103)->[2, (-1+1*r5), (2-2*r5), (-1-1*r5)]
(0, 673, 642, 11014, 3724, 8012, 2687, 14257, 8223, 182, 7772, 2015)->[2, (-2+2*r5), (-1-1*r5), (-3-1*r5)]
(0, 6791, 11657, 9227, 3348, 794, 2842, 8223, 673, 10660, 13092, 6835, 182, 8381, 2770, 7891, 11863, 11867, 7772, 2015, 12770, 9202, 6644, 13814)->[2, 2, -2, -2*r5]
(9731, 517, 522, 4106, 4618, 5643, 14348, 4625, 7701, 538, 5659, 540, 11804, 12316, 32, 558, 14386, 5171, 11830, 8249, 5691, 68, 11848, 2123, 1100, 5202, 3157, 10841, 13409, 1123, 1638, 4202, 4203, 3183, 10864, 2674, 3186, 9851, 12938, 651, 5774, 9872, 2193, 162, 9898, 11436, 13489, 5301, 7350, 8374, 9914, 3279, 1765, 6885, 12005, 3818, 8949, 5878, 3329, 9985, 11012, 4870, 13576, 5391, 282, 12570, 6949, 5929, 13097, 6443, 9003, 1837, 10027, 14129, 6457, 11583, 2370, 11260, 2899, 13142, 10586, 9567, 11616, 5987, 13671, 14185, 364, 4463, 9072, 12656, 6008, 4476, 9086, 3968, 6016, 11137, 12175, 7058, 5530, 7086, 7599, 10161, 9141, 7095, 8635, 8640, 457, 1485, 14287, 7122, 8668, 6109, 6626, 4579, 7150, 3568, 8180, 1527, 2044, 1534)->[(-1+1*r5), (-3+1*r5), 0, -2]
(13825, 11778, 1027, 4, 7173, 11267, 8199, 12806, 523, 8726, 2071, 2585, 544, 10790, 11815, 2602, 10299, 13894, 13384, 3660, 7765, 7767, 13912, 8793, 3679, 99, 5222, 109, 12911, 3184, 6770, 12914, 628, 11895, 12414, 11903, 5763, 9355, 7824, 10910, 9376, 3243, 7341, 11953, 696, 2744, 2238, 3263, 10436, 710, 711, 4806, 10960, 5841, 213, 7894, 10977, 13538, 13029, 4840, 233, 7914, 8424, 10476, 9463, 255, 7426, 6915, 3342, 1822, 5407, 7967, 5417, 3378, 13618, 311, 12090, 9533, 12093, 10567, 9036, 12626, 4450, 11618, 7527, 5992, 1393, 1908, 13180, 5503, 7556, 5000, 1425, 6546, 8599, 2969, 922, 11163, 11673, 11675, 13721, 5544, 8108, 2477, 2479, 9648, 2483, 3510, 4536, 3514, 5079, 6616, 11737, 3042, 8677, 11754, 5620, 14328, 4091, 9215)->[(3-1*r5), 2, 0, (-1+1*r5)]
(6151, 9223, 11274, 9232, 2578, 2078, 10782, 7200, 10279, 6697, 4138, 3119, 3633, 13884, 6211, 9285, 4680, 2141, 2653, 607, 11873, 4712, 2155, 3179, 13420, 9340, 2686, 1155, 1673, 11915, 6798, 661, 12442, 10909, 13983, 7845, 11429, 8359, 11941, 681, 4782, 10928, 4278, 1207, 5302, 3773, 9407, 1216, 4288, 13507, 12487, 10442, 1741, 11990, 9431, 8927, 12513, 14052, 4325, 14059, 4352, 7434, 2317, 8978, 13078, 14108, 12063, 8485, 8486, 8997, 5419, 2353, 1842, 10546, 13621, 7990, 3384, 4409, 9532, 10046, 325, 12101, 3407, 5463, 1883, 6491, 2915, 9573, 12135, 14183, 10602, 7029, 10101, 3960, 10621, 6533, 7048, 9617, 916, 4503, 4509, 8615, 426, 5041, 11187, 11194, 1980, 3010, 9160, 3021, 979, 11732, 6102, 1503, 4575, 9183, 9708, 5613, 9201, 8178)->[(3-1*r5), -2, 0, (1-1*r5)]
(12291, 8200, 9230, 6671, 1557, 22, 9239, 541, 13341, 1572, 12838, 9768, 10285, 1588, 3641, 8251, 9278, 3135, 13379, 6728, 6731, 1621, 8279, 603, 6237, 7782, 11367, 1132, 2672, 13432, 1148, 11390, 2175, 3714, 13447, 7821, 142, 7822, 13469, 4766, 12446, 2209, 1192, 12459, 12482, 3267, 3780, 2767, 722, 744, 1773, 6383, 7928, 4860, 6396, 11007, 11521, 6404, 2310, 7942, 10505, 9995, 9996, 4371, 13589, 7960, 12568, 5917, 2337, 13604, 2345, 10540, 4404, 10548, 13108, 7996, 7997, 1344, 1350, 11086, 5455, 14161, 10579, 13139, 13656, 9561, 4954, 1372, 3933, 6495, 7037, 13183, 7553, 10116, 1418, 3467, 6032, 5018, 2971, 2486, 13762, 11203, 3014, 7631, 2006, 4570, 13791, 2531, 487, 2538, 5098, 3054, 3566, 7662, 8176, 8686, 5619, 10742, 7676, 1021)->[(-3+1*r5), 2, 0, (-1+1*r5)]
(7169, 9221, 7174, 8202, 11277, 4623, 11795, 14369, 9251, 13351, 6699, 14389, 6198, 1591, 13368, 8766, 3138, 4164, 12869, 11846, 6224, 7761, 2648, 12890, 2652, 1119, 12387, 10349, 1136, 13936, 4728, 9860, 9862, 7306, 7310, 12435, 8859, 5789, 4771, 7843, 10412, 7856, 13493, 705, 14022, 13001, 4302, 3291, 5853, 9952, 3816, 9960, 5354, 6382, 3314, 8946, 4859, 2815, 13064, 6928, 9493, 4375, 1816, 10521, 4378, 5405, 11039, 6945, 7976, 11560, 5423, 4401, 8499, 9531, 13115, 4414, 3391, 10048, 6977, 7490, 3907, 6478, 12111, 4944, 339, 357, 12653, 11639, 11644, 13707, 8593, 9107, 2975, 14239, 9129, 12714, 5038, 13230, 10160, 8113, 10162, 435, 2995, 8628, 8121, 954, 13758, 5576, 9162, 3020, 10195, 2005, 2525, 3553, 9698, 5603, 11233, 12265, 6637, 5109)->[0, (-3+1*r5), -2, (1-1*r5)]
(2054, 7175, 7185, 4627, 7706, 3614, 4639, 6688, 7202, 7203, 8756, 13876, 1087, 6218, 11338, 13387, 3669, 6742, 10840, 9818, 10844, 5213, 4710, 2663, 13418, 6768, 13426, 11385, 11898, 4226, 13446, 6794, 7312, 1681, 3238, 10919, 8884, 11957, 2742, 3768, 11961, 7362, 12486, 14026, 8912, 4817, 2774, 1751, 7395, 4328, 13046, 1276, 7422, 7425, 9473, 771, 14087, 11019, 3862, 10518, 4890, 8991, 5410, 6947, 8998, 299, 11055, 9008, 5937, 2871, 4407, 12091, 12092, 8008, 11081, 6482, 3926, 9049, 2910, 8032, 1890, 13158, 2931, 7541, 8056, 1915, 8572, 2431, 13697, 13186, 1930, 1933, 5005, 6030, 402, 9624, 2458, 8602, 11676, 5537, 6056, 10664, 13736, 428, 1455, 7610, 9659, 12737, 14276, 3526, 13254, 5579, 4047, 13776, 10719, 2024, 9208, 1018, 12797, 11262)->[-2, (-1+1*r5), 0, (3-1*r5)]
