(0, 1, 4, 5)->[4, 0, 0, -4]
(0, 1, 4, 7)->[0, -4, 0, -4]
(0, 1, 5, 6)->[4, 0, -4, 0]
(0, 1, 6, 7)->[0, -4, -4, 0]
(0, 2, 4, 5)->[4, 0, 4, 0]
(0, 2, 4, 7)->[0, -4, 4, 0]
(0, 2, 5, 6)->[4, 0, 0, 4]
(0, 2, 6, 7)->[0, -4, 0, 4]
(1, 3, 5, 6)->[0, 4, -4, 0]
(2, 3, 6, 7)->[-4, 0, 0, 4]
(2, 3, 5, 6)->[0, 4, 0, 4]
(1, 3, 6, 7)->[-4, 0, -4, 0]
(1, 3, 4, 5)->[0, 4, 0, -4]
(2, 3, 4, 5)->[0, 4, 4, 0]
(2, 3, 4, 7)->[-4, 0, 4, 0]
(1, 3, 4, 7)->[-4, 0, 0, -4]
