[0, 8]
[0, 105]
[0, 107]
[1, 20]
[1, 63]
[1, 106]
[2, 67]
[2, 102]
[2, 115]
[3, 43]
[3, 70]
[3, 79]
[4, 53]
[4, 108]
[4, 118]
[5, 33]
[5, 48]
[5, 114]
[6, 23]
[6, 73]
[6, 111]
[7, 12]
[7, 55]
[7, 57]
[8, 44]
[8, 84]
[9, 34]
[9, 49]
[9, 112]
[10, 12]
[10, 14]
[10, 72]
[11, 45]
[11, 62]
[11, 94]
[12, 42]
[13, 54]
[13, 61]
[13, 91]
[14, 39]
[14, 114]
[15, 18]
[15, 61]
[15, 88]
[16, 21]
[16, 52]
[16, 108]
[17, 79]
[17, 92]
[17, 117]
[18, 47]
[18, 87]
[19, 30]
[19, 60]
[19, 91]
[20, 86]
[20, 99]
[21, 62]
[21, 97]
[22, 49]
[22, 105]
[22, 112]
[23, 77]
[23, 85]
[24, 27]
[24, 36]
[24, 78]
[25, 26]
[25, 70]
[25, 90]
[26, 67]
[26, 102]
[27, 47]
[27, 55]
[28, 52]
[28, 66]
[28, 108]
[29, 43]
[29, 52]
[29, 79]
[30, 67]
[30, 74]
[31, 33]
[31, 48]
[31, 76]
[32, 61]
[32, 75]
[32, 88]
[33, 113]
[34, 37]
[34, 103]
[35, 89]
[35, 106]
[35, 110]
[36, 38]
[36, 55]
[37, 73]
[37, 118]
[38, 51]
[38, 95]
[39, 104]
[39, 116]
[40, 102]
[40, 104]
[40, 116]
[41, 43]
[41, 66]
[41, 93]
[42, 57]
[42, 116]
[44, 98]
[44, 100]
[45, 76]
[45, 98]
[46, 49]
[46, 53]
[46, 118]
[47, 68]
[48, 58]
[50, 89]
[50, 106]
[50, 112]
[51, 59]
[51, 83]
[53, 97]
[54, 87]
[54, 115]
[56, 63]
[56, 78]
[56, 110]
[57, 68]
[58, 92]
[58, 117]
[59, 71]
[59, 101]
[60, 74]
[60, 77]
[62, 100]
[63, 99]
[64, 82]
[64, 96]
[64, 101]
[65, 78]
[65, 95]
[65, 110]
[66, 119]
[68, 87]
[69, 82]
[69, 96]
[69, 107]
[70, 81]
[71, 72]
[71, 113]
[72, 114]
[73, 103]
[74, 93]
[75, 85]
[75, 86]
[76, 94]
[77, 111]
[80, 89]
[80, 105]
[80, 107]
[81, 90]
[81, 92]
[82, 84]
[83, 95]
[83, 96]
[84, 98]
[85, 109]
[86, 109]
[88, 99]
[90, 104]
[91, 115]
[93, 119]
[94, 117]
[97, 100]
[101, 113]
[103, 109]
[111, 119]
