(0, 2, 3, 4, 5, 9)->[-4, 0, 0, -4]
(0, 3, 4, 8, 14, 16)->[-4, 0, 4, 0]
(0, 3, 5, 14, 19, 22)->[-4, -4, 0, 0]
(0, 4, 8, 9, 18, 21)->[0, 0, 4, -4]
(0, 5, 9, 18, 22, 23)->[0, -4, 0, -4]
(0, 8, 10, 14, 18, 22)->[0, -4, 4, 0]
(1, 3, 14, 15, 16, 19)->[-4, 0, 0, 4]
(5, 13, 17, 19, 22, 23)->[0, -4, -4, 0]
(7, 9, 18, 20, 21, 23)->[4, 0, 0, -4]
(2, 6, 11, 15, 17, 20)->[0, 4, -4, 0]
(1, 7, 10, 11, 12, 13)->[4, 0, 0, 4]
(4, 6, 8, 12, 16, 21)->[0, 4, 4, 0]
(1, 10, 13, 14, 19, 22)->[0, -4, 0, 4]
(1, 6, 11, 12, 15, 16)->[0, 4, 0, 4]
(7, 8, 10, 12, 18, 21)->[4, 0, 4, 0]
(7, 11, 13, 17, 20, 23)->[4, 0, -4, 0]
(2, 3, 5, 15, 17, 19)->[-4, 0, -4, 0]
(2, 4, 6, 9, 20, 21)->[0, 4, 0, -4]
(1, 8, 10, 12, 14, 16)->[0, 0, 4, 4]
(2, 3, 4, 6, 15, 16)->[-4, 4, 0, 0]
(7, 10, 13, 18, 22, 23)->[4, -4, 0, 0]
(1, 11, 13, 15, 17, 19)->[0, 0, -4, 4]
(6, 7, 11, 12, 20, 21)->[4, 4, 0, 0]
(2, 5, 9, 17, 20, 23)->[0, 0, -4, -4]
