(21, 117, 5, 30)->[0, (10-4*r5), (-7+3*r5), (3-1*r5)]
(65, 49, 72, 107)->[(-4+2*r5), (-7+3*r5), (8-4*r5), (3-1*r5)]
(112, 113, 36, 85)->[(-7+3*r5), (-4+2*r5), (3-1*r5), (8-4*r5)]
(58, 115, 100, 94)->[(4-2*r5), (7-3*r5), (8-4*r5), (-3+1*r5)]
(56, 83, 3, 14)->[(4-2*r5), (-8+4*r5), (3-1*r5), (7-3*r5)]
(34, 77, 106, 103)->[(-8+4*r5), (3-1*r5), (4-2*r5), (7-3*r5)]
(112, 91, 12, 38)->[(7-3*r5), (3-1*r5), 0, (-10+4*r5)]
(70, 36, 85, 14)->[(-7+3*r5), (3-1*r5), (-8+4*r5), (4-2*r5)]
(1, 51, 93, 59)->[(-11+5*r5), (4-2*r5), 0, (-1+1*r5)]
(80, 88, 69, 31)->[(-1+1*r5), (11-5*r5), 0, (-4+2*r5)]
(96, 119, 101, 47)->[(10-4*r5), (4-2*r5), (4-2*r5), (4-2*r5)]
(17, 10, 84, 105)->[(-3+1*r5), (-3+1*r5), (-11+5*r5), (3-1*r5)]
(100, 58, 115, 76)->[(-7+3*r5), 0, (-10+4*r5), (-3+1*r5)]
(32, 66, 4, 119)->[(-4+2*r5), (-3+1*r5), (-7+3*r5), (8-4*r5)]
(69, 47, 78, 31)->[(-1+1*r5), (4-2*r5), (-11+5*r5), 0]
(8, 48, 50, 45)->[(3-1*r5), (3-1*r5), (3-1*r5), (-11+5*r5)]
(72, 1, 93, 86)->[(-4+2*r5), 0, (11-5*r5), (-1+1*r5)]
(81, 82, 68, 102)->[(4-2*r5), (11-5*r5), (-1+1*r5), 0]
(80, 29, 78, 79)->[(-8+4*r5), (-7+3*r5), (3-1*r5), (-4+2*r5)]
(98, 19, 29, 78)->[(3-1*r5), (-7+3*r5), (10-4*r5), 0]
(16, 56, 37, 13)->[(-10+4*r5), (-4+2*r5), (-4+2*r5), (-4+2*r5)]
(108, 10, 51, 84)->[(4-2*r5), (4-2*r5), (-4+2*r5), (10-4*r5)]
(97, 50, 61, 45)->[(-8+4*r5), (3-1*r5), (-4+2*r5), (-7+3*r5)]
(34, 50, 77, 30)->[(3-1*r5), (10-4*r5), 0, (7-3*r5)]
(37, 57, 3, 13)->[(-10+4*r5), (3-1*r5), (7-3*r5), 0]
(81, 41, 82, 68)->[(-3+1*r5), (-7+3*r5), (10-4*r5), 0]
(88, 106, 77, 103)->[(10-4*r5), (-4+2*r5), (4-2*r5), (-4+2*r5)]
(91, 44, 61, 55)->[(3-1*r5), (7-3*r5), (-4+2*r5), (8-4*r5)]
(24, 49, 92, 89)->[(7-3*r5), (7-3*r5), (1-1*r5), (7-3*r5)]
(107, 35, 28, 101)->[(3-1*r5), (-3+1*r5), (-3+1*r5), (-11+5*r5)]
(97, 34, 50, 77)->[(-8+4*r5), (-8+4*r5), 0, 0]
(112, 85, 44, 61)->[(7-3*r5), (-4+2*r5), (3-1*r5), (8-4*r5)]
(99, 111, 39, 7)->[(-3+1*r5), (4-2*r5), (8-4*r5), (7-3*r5)]
(38, 9, 2, 6)->[0, (-1+1*r5), (11-5*r5), (4-2*r5)]
(97, 50, 77, 45)->[(10-4*r5), (3-1*r5), (7-3*r5), 0]
