(57, 36, 105, 76)->[2, (3+1*r5), 0, (3-1*r5)]
(16, 89, 91, 62)->[(-1+1*r5), -2, (1+1*r5), 4]
(17, 61, 87, 23)->[(-1+1*r5), (-1+1*r5), (-1+1*r5), (-3-1*r5)]
(112, 41, 5, 57)->[(-1+1*r5), (0+2*r5), (-1-1*r5), 0]
(108, 19, 20, 45)->[(-3+1*r5), 0, (3+1*r5), -2]
(11, 3, 29, 7)->[(3+1*r5), (-1+1*r5), (1-1*r5), (-1+1*r5)]
(91, 28, 119, 95)->[(1+1*r5), (-1+1*r5), 2, 4]
(34, 51, 12, 111)->[(0-2*r5), -2, 2, 2]
(88, 107, 77, 61)->[(1-1*r5), 4, 2, (-1-1*r5)]
(64, 97, 90, 63)->[-2, (0-2*r5), -2, 2]
(104, 26, 37, 46)->[-4, 0, -4, 0]
(64, 90, 63, 39)->[(1-1*r5), -4, -2, (1+1*r5)]
(40, 2, 74, 47)->[(-3-1*r5), 2, (3-1*r5), 0]
(51, 60, 109, 71)->[-2, -4, (1+1*r5), (-1+1*r5)]
(106, 43, 100, 95)->[2, 2, (0+2*r5), 2]
(18, 67, 69, 14)->[(1-1*r5), (-1-1*r5), 0, (0-2*r5)]
(9, 42, 67, 113)->[0, (1-1*r5), (-1-1*r5), (0-2*r5)]
(112, 41, 5, 110)->[0, 4, -4, 0]
(88, 99, 52, 13)->[-2, (1+1*r5), (1-1*r5), -4]
(96, 106, 100, 117)->[0, (1+1*r5), (0+2*r5), (-1+1*r5)]
(16, 10, 51, 109)->[-2, -2, (0+2*r5), 2]
(89, 92, 30, 39)->[(-1+1*r5), (-1-1*r5), 0, (0+2*r5)]
(83, 19, 44, 101)->[(-1+1*r5), (-1-1*r5), 4, -2]
(97, 90, 102, 15)->[(1-1*r5), (0-2*r5), (-1-1*r5), 0]
(91, 28, 119, 92)->[(1+1*r5), 0, (-1+1*r5), (0+2*r5)]
(16, 10, 116, 106)->[(1-1*r5), 0, (0+2*r5), (1+1*r5)]
(62, 89, 92, 30)->[2, (-1-1*r5), (-1+1*r5), 4]
(17, 61, 13, 87)->[(3-1*r5), 2, 0, (-3-1*r5)]
