(0, 2, 3, 5)->[0, -4, 0, -4]
(0, 2, 3, 7)->[4, -4, 0, 0]
(0, 2, 5, 6)->[0, 0, 4, -4]
(0, 2, 6, 7)->[4, 0, 4, 0]
(0, 3, 4, 5)->[0, 0, -4, -4]
(0, 3, 4, 7)->[4, 0, -4, 0]
(0, 4, 5, 6)->[0, 4, 0, -4]
(0, 4, 6, 7)->[4, 4, 0, 0]
(1, 2, 5, 6)->[-4, 0, 4, 0]
(1, 3, 4, 5)->[-4, 0, -4, 0]
(1, 2, 3, 7)->[0, -4, 0, 4]
(1, 3, 4, 7)->[0, 0, -4, 4]
(1, 2, 6, 7)->[0, 0, 4, 4]
(1, 2, 3, 5)->[-4, -4, 0, 0]
(1, 4, 6, 7)->[0, 4, 0, 4]
(1, 4, 5, 6)->[-4, 4, 0, 0]
