MeshFace([389, 471, 398, 527, 507])
MeshFace([75, 272, 101, 541, 333])
MeshFace([87, 134, 170, 590, 103])
MeshFace([87, 470, 397, 433, 103])
MeshFace([51, 66, 587, 432, 158])
MeshFace([137, 486, 583, 525, 166])
MeshFace([21, 121, 287, 533, 489])
MeshFace([294, 537, 388, 459, 395])
MeshFace([79, 453, 541, 101, 214])
MeshFace([30, 496, 395, 363, 526])
MeshFace([102, 554, 546, 225, 298])
MeshFace([14, 235, 130, 121, 287])
MeshFace([86, 435, 580, 219, 530])
MeshFace([150, 233, 411, 337, 274])
MeshFace([240, 399, 364, 243, 578])
MeshFace([107, 565, 373, 196, 477])
MeshFace([8, 209, 156, 228, 376])
MeshFace([45, 550, 506, 517, 430])
MeshFace([115, 377, 449, 577, 332])
MeshFace([25, 381, 549, 213, 412])
MeshFace([144, 160, 302, 487, 258])
MeshFace([90, 162, 208, 115, 304])
MeshFace([38, 331, 357, 165, 502])
MeshFace([4, 414, 64, 407, 262])
MeshFace([39, 384, 320, 359, 123])
MeshFace([72, 504, 427, 411, 233])
MeshFace([14, 89, 558, 568, 287])
MeshFace([249, 322, 440, 317, 431])
MeshFace([222, 303, 266, 251, 405])
MeshFace([19, 481, 248, 254, 394])
MeshFace([116, 466, 474, 309, 192])
MeshFace([143, 586, 372, 299, 512])
MeshFace([173, 277, 364, 190, 393])
MeshFace([85, 178, 349, 205, 599])
MeshFace([49, 426, 399, 240, 406])
MeshFace([383, 509, 516, 581, 416])
MeshFace([222, 303, 362, 518, 574])
MeshFace([65, 236, 117, 366, 425])
MeshFace([282, 505, 320, 359, 526])
MeshFace([9, 156, 209, 419, 379])
MeshFace([77, 531, 556, 559, 96])
MeshFace([52, 330, 475, 239, 181])
MeshFace([93, 369, 547, 472, 513])
MeshFace([6, 244, 94, 84, 13])
MeshFace([59, 498, 527, 398, 331])
MeshFace([37, 195, 432, 141, 446])
MeshFace([61, 301, 189, 147, 463])
MeshFace([313, 322, 440, 471, 389])
MeshFace([105, 589, 221, 502, 564])
MeshFace([59, 261, 473, 464, 498])
MeshFace([81, 469, 533, 287, 568])
MeshFace([37, 61, 463, 394, 254])
MeshFace([142, 370, 492, 573, 176])
MeshFace([37, 195, 415, 343, 254])
MeshFace([106, 313, 322, 400, 266])
MeshFace([5, 275, 290, 12, 198])
MeshFace([102, 596, 567, 439, 164])
MeshFace([52, 75, 333, 109, 330])
MeshFace([66, 289, 474, 223, 422])
MeshFace([212, 448, 523, 552, 232])
MeshFace([449, 461, 503, 571, 577])
MeshFace([40, 304, 534, 196, 373])
MeshFace([162, 249, 322, 400, 268])
MeshFace([90, 334, 413, 268, 162])
MeshFace([74, 479, 193, 584, 157])
MeshFace([17, 133, 341, 529, 278])
MeshFace([24, 404, 232, 552, 150])
MeshFace([346, 385, 517, 506, 353])
MeshFace([21, 476, 88, 168, 367])
MeshFace([72, 504, 103, 433, 522])
MeshFace([146, 520, 233, 411, 306])
MeshFace([127, 153, 163, 336, 355])
MeshFace([57, 170, 590, 583, 557])
MeshFace([306, 411, 427, 467, 328])
MeshFace([52, 585, 414, 64, 75])
