-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5
-0.5231784025615532-2.381368990500816*^-6*I	-0.5230572478156668-0.0023358877356035126*I	-0.5226958307406846-0.004643148326066376*I	-0.5220987774893772-0.00689835916080728*I	-0.5212736885298624-0.009076533897814291*I	-0.5202309815792119-0.011153883113451021*I	-0.5189836802351812-0.013108160043569758*I	-0.5175471561726506-0.014918964212454306*I	-0.515938834180637-0.01656799635916278*I	-0.5141778702004055-0.01803926026751846*I	-0.512284812863027-0.0193192093727482*I	-0.5102812588400709-0.020396838216140856*I	-0.508189511666778-0.021263720827870026*I	-0.5060322526585037-0.02191399984132676*I	-0.5038322312155771-0.022344331514245596*I	-0.5016119803055584-0.022553792818265007*I	-0.49939356132960877-0.022543757354678045*I	-0.4971983410117266-0.02231774708073119*I	-0.4950468014780384-0.021881266728293824*I	-0.49295838337244113-0.02124162741872937*I	-0.4909513607297855-0.020407765384786364*I	-0.4890427454166048-0.019390060964112138*I	-0.4872482182603753-0.01820016218831569*I	-0.4855820835129291-0.016850816408163105*I	-0.48405724301633135-0.01535571251367962*I	-0.48268518633634827-0.013729335461165504*I	-0.4814759931743309-0.011986834033429206*I	-0.48043834453551765-0.010143902050637976*I	-0.4795795393948181-0.008216672626871452*I	-0.47890551393701575-0.006221624535197312*I	-0.4784208608374845-0.004175499300862945*I	-0.4781288464749957-0.0020952272846944606*I	-0.47803142441877267+2.1392581659954795*^-6*I	-0.47812924399717166+0.0020994883608858247*I	-0.47842165322983016+0.004179708117105621*I	-0.4789066958836189+0.006225746455570669*I	-0.47958110289306455+0.008220673330095435*I	-0.4804402788643417+0.010147747672844043*I	-0.48147828485636945+0.011990491327274283*I	-0.4826878190979518+0.013732771975141778*I	-0.48406019775003223+0.015358896794829963*I	-0.48558533824805694+0.01685371823057627*I	-0.4872517481480957+0.01820275280880637*I	-0.48904652273630533+0.019392313405337397*I	-0.4909553549241797+0.020409654744575373*I	-0.4929625611190844+0.021243131203063953*I	-0.4950511268046815+0.021882365203528972*I	-0.4972027754627977+0.02231842363899525*I	-0.49939806419018185+0.022543998884502894*I	-0.5016165088880837+0.022553590070778017*I	-0.5038367412129303+0.022343679453595083*I	-0.5060366985649505+0.021912897966620187*I	-0.5081938472657573+0.021262173452922632*I	-0.5102854377551672+0.020394854692796924*I	-0.5122887891649357+0.01931680424366103*I	-0.5141815990598674+0.018036453335096278*I	-0.5159422725539389+0.01656481265901179*I	-0.5175502635032712+0.014915433882034592*I	-0.5189864191530791+0.013104318079975604*I	-0.5202333185769814+0.011149769018042344*I	-0.5212755945946914+0.009072191209750976*I	-0.522100228669317+0.006893834886132447*I	-0.5226968086253981+0.004638492273582542*I	-0.5230577399139783+0.0023311517750870636*I
-0.5476904559654504-5.036758167549932*^-6*I	-0.5474204142024433-0.004939097393014944*I	-0.5466157920307809-0.009808986630730286*I	-0.545289651874118-0.014552023629954397*I	-0.5434633022575821-0.019108313307725226*I	-0.5411656417624455-0.023421986240568227*I	-0.5384322940158385-0.02744226856532519*I	-0.5353045812047179-0.031124344800670525*I	-0.5318283896887196-0.03442999051412335*I	-0.5280529831036107-0.03732796630682099*I	-0.5240298161453836-0.03979417837025746*I	-0.5198113966382424-0.041811622804292625*I	-0.5154502354148754-0.04337014022199062*I	-0.5109979139798545-0.04446601352013928*I	-0.506504289874117-0.04510144503208875*I	-0.5020168499633323-0.04528394985778823*I	-0.4975802131944346-0.045025700444569175*I	-0.4932357771331777-0.044342854040824976*I	-0.4890214970228658-0.043254890058766815*I	-0.48497178221422954-0.04178397921628618*I	-0.4811174924885989-0.039954401050762534*I	-0.4774860158163334-0.037792021370348344*I	-0.4741014091963946-0.035323836679479054*I	-0.4709845851354372-0.0325775887292333*I	-0.46815352778616703-0.029581449157683265*I	-0.46562352454885025-0.02636377169030335*I	-0.4634074008623864-0.02295290751025178*I	-0.46151574783342203-0.019377078097869982*I	-0.45995713417593487-0.015664298980094554*I	-0.45873829560022134-0.011842347323059901*I	-0.4578642962703856-0.007938766050074264*I	-0.45733865823876896-0.0039808970878482605*I	-0.4571634558788029+4.063634888667889*^-6*I	-0.4573393733020265+0.0039889967472749935*I	-0.45786572359731254+0.007946782799169133*I	-0.45874042951323285+0.011850225631333061*I	-0.4599599659641615+0.015671982957356*I	-0.46151926552377054+0.019384511401893817*I	-0.4634115889219779+0.02296003330626531*I	-0.4656283635260037+0.026370532677372743*I	-0.468158993899498+0.029587787677023497*I	-0.47099064982346955+0.03258344696917509*I	-0.474108038643357+0.03532915699106293*I	-0.4774931704732417+0.03779674670618627*I	-0.4811251266127426+0.03995847553758072*I	-0.4849798434539756+0.04178734886844121*I	-0.4890299260786651+0.043257503635519695*I	-0.4932445075288991+0.04434466404448157*I	-0.49758917119576035+0.04502666424930061*I	-0.5020259546810403+0.045284030950382574*I	-0.5065134535891994+0.04510061433608786*I	-0.5110070427242969+0.04446425076419387*I	-0.5154592298354936+0.04336743530249794*I	-0.5198201531614158+0.04180797708225849*I	-0.524038228447375+0.039789605833983034*I	-0.5280609438750455+0.03732249452650413*I	-0.5318357926625845+0.03442366131311543*I	-0.535311323397146+0.031117214572057978*I	-0.5384382781085123+0.027434408172265154*I	-0.5411707785371422+0.023413480454922118*I	-0.5434675129791859+0.019099259763356427*I	-0.5452928705102105+0.014542531293599581*I	-0.5466179671954664+0.009799173822619378*I	-0.5474215107198702+0.004929089418952708*I
-0.5736771051094116-8.003738125710369*^-6*I	-0.5732250635182673-0.007845988884270114*I	-0.5718798702143464-0.015566902960193127*I	-0.569668393326975-0.023057183599605315*I	-0.5666341504789296-0.030209844089503553*I	-0.5628355354632184-0.03692728219325709*I	-0.5583435258824531-0.04312356854880401*I	-0.5532390343915735-0.04872611994212252*I	-0.5476100789200244-0.05367671564344072*I	-0.5415489425899426-0.05793186631691908*I	-0.5351494746701205-0.061462589232537265*I	-0.5285046540508498-0.06425367683830217*I	-0.5217045012781764-0.06630256645523397*I	-0.514834388811067-0.06761792711651778*I	-0.507973765670926-0.06821807704618887*I	-0.5011952846501545-0.06812933452341303*I	-0.4945642990919273-0.06738438879190026*I	-0.48813868219565876-0.06602075899098672*I	-0.48196891426998256-0.06407939009019076*I	-0.4760983812570365-0.06160341718185153*I	-0.4705638298737568-0.05863711428382004*I	-0.4653959295371226-0.055225031534831964*I	-0.46061989768316913-0.05141131540942981*I	-0.45625615219900795-0.04723920012207716*I	-0.45232096175134917-0.04275065434182154*I	-0.4488270713355055-0.0379861652332639*I	-0.44578428610234627-0.032984641203748416*I	-0.44320000131829135-0.02778341513575669*I	-0.44107967015787886-0.022418330944175696*I	-0.43942720397500945-0.016923897716658143*I	-0.4382453018488922-0.011333497236103496*I	-0.4375357076757923-0.005679632171646132*I	-0.4372993940088635+5.7964671409956755*^-6*I	-0.4375366723648027+0.005691192974842198*I	-0.4382472299425669+0.011344961333185688*I	-0.4394300927547581+0.0169351996034134*I	-0.44108351517103067+0.022429403599393355*I	-0.4432047959286895+0.027794189482197168*I	-0.44579002089222397+0.03299504563996239*I	-0.44883373336118076+0.03799612526075574*I	-0.4523285336574611+0.042760092314929415*I	-0.45626461119984296+0.04724803515109144*I	-0.4606292144246287+0.05141946345052337*I	-0.4654060668599157+0.05523240570303317*I	-0.470574741507081+0.05864362542682747*I	-0.47611001048282153+0.061608974752397544*I	-0.48198119261036476+0.06408390335201875*I	-0.48815152819022967+0.06602413858740264*I	-0.49457761724608756+0.06738654869529812*I	-0.5012089646498644+0.06813019436827264*I	-0.5079876819710744+0.06821756482616181*I	-0.5148484007120002+0.06761598219809847*I	-0.5217184536052955+0.06629914282685187*I	-0.5285183785429873+0.06424874647588531*I	-0.5351627921602731+0.06145614542353972*I	-0.5415616660267192+0.05792392674851679*I	-0.5476220172272631+0.05366732503230888*I	-0.5532499971006622+0.04871535196875948*I	-0.5583533283993236+0.043111526864411526*I	-0.5628440047576986+0.036914100296433425*I	-0.5666411309154584+0.03019568392527251*I	-0.5696737523045448+0.023042232813257745*I	-0.5718835032573261+0.015551370837392884*I	-0.5732268984678214+0.007830101117124663*I
-0.601299473904786-0.000011326771890843723*I	-0.6006256962990548-0.011099528680612019*I	-0.5986234710878647-0.02199852882747205*I	-0.5953409791078355-0.032526161163956124*I	-0.5908556771635991-0.04251343223696214*I	-0.5852703521897014-0.051809905979944205*I	-0.5787081252224936-0.060287814511863776*I	-0.5713068382455041-0.06784471061024964*I	-0.5632132685631176-0.07440462823970971*I	-0.5545775753171772-0.07991785298415872*I	-0.5455483044200086-0.08435950823099377*I	-0.536268178692598-0.08772722726534928*I	-0.5268707963434998-0.0900382057292149*I	-0.5174782668477018-0.09132591899206102*I	-0.5081997377207891-0.09163675422520201*I	-0.49913071257478386-0.09102675772094836*I	-0.49035302997473695-0.08955864361859651*I	-0.48193536094799705-0.08729915792476066*I	-0.4739340860441577-0.08431684625767254*I	-0.46639442580136603-0.08068023747439601*I	-0.4593517170071653-0.07645642878108413*I	-0.45283274777519344-0.0717100403547844*I	-0.44685708470798896-0.06650249749941431*I	-0.44143834371204227-0.060891594234461444*I	-0.43658537155436794-0.05493129232187735*I	-0.4323033177309507-0.048671712627362695*I	-0.4285945857508967-0.04215928021730625*I	-0.42545965983047046-0.03543698982942903*I	-0.4228978076404058-0.028544763699165546*I	-0.42090766257920126-0.021519878762185307*I	-0.4194876904511207-0.014397444734986706*I	-0.41863654575644893-0.007210918363598495*I	-0.4183533223451425+7.357835782221139*^-6*I	-0.4186377021781553+0.007225601757357175*I	-0.4194900045762239+0.014412030722727287*I	-0.4209111367697413+0.021534300505070325*I	-0.4229024449327613+0.02855895153200025*I	-0.42546546331841245+0.03545087018461962*I	-0.4286015577487947+0.042172774609725905*I	-0.4323114587068767+0.04868473672675805*I	-0.4365946788224315+0.05494375514638769*I	-0.44144880987506174+0.06090339750730045*I	-0.4468686958457674+0.06651353522050713*I	-0.4528454813811328+0.07172019864984505*I	-0.45936553968760535+0.0764655861015836*I	-0.4664092907685649+0.08068826523200717*I	-0.4739499304563048+0.08432360998470682*I	-0.4819521031780608+0.08730451905555132*I	-0.4903705669247102+0.08956246198326516*I	-0.4991489171914299+0.09102889482914604*I	-0.5082184569113667+0.0916370773898294*I	-0.5174973200351194+0.0913243062984965*I	-0.526889974933556+0.09003455179150349*I	-0.5362872467440574+0.08772144962721436*I	-0.5455670008010113+0.08435155416871132*I	-0.5545956175894329+0.07990770635766274*I	-0.5632303587503669+0.07439231592996622*I	-0.5713226705112942+0.06783030799181336*I	-0.5787223953070448+0.06027144936072271*I	-0.5852827682504556+0.05179176022859127*I	-0.5908659714517509+0.04249374107801323*I	-0.595348919726032+0.03250520917640798*I	-0.5986288729481782+0.02197664304798446*I	-0.6006284303681223+0.011077068840416225*I
-0.6307426042857093-0.00001505877142817482*I	-0.6297991485904161-0.01475076376511372*I	-0.6269998847629964-0.029200370328835788*I	-0.6224247537841057-0.043090653518184495*I	-0.6162012469779115-0.0561724071073651*I	-0.6084965509839446-0.06822979556183995*I	-0.5995078226084382-0.07908696249374883*I	-0.5894515900995522-0.08861160672268002*I	-0.5785532496088106-0.09671560062682696*I	-0.5670374717704995-0.1033530240967448*I	-0.555120101150346-0.10851618435303612*I	-0.5430018734261233-0.11223027758097609*I	-0.5308640363437652-0.11454733592699669*I	-0.5188657703031863-0.11554001987493788*I	-0.5071431757001005-0.11529569262004775*I	-0.49580952581698917-0.11391107787107135*I	-0.4849564660472642-0.11148767630944974*I	-0.47465585846194974-0.10812801109028104*I	-0.4649620109585875-0.10393269426358276*I	-0.4559140804530391-0.09899825343873041*I	-0.44753849097420473-0.09341562782746932*I	-0.4398512544972432-0.0872692300172814*I	-0.43286012198639057-0.08063646936633101*I	-0.42656652345591745-0.07358764030707846*I	-0.4209672791988205-0.06618609056059344*I	-0.4160560806653488-0.05848859772839776*I	-0.41182475006276337-0.050545896230378085*I	-0.40826429387316343-0.0424033090624385*I	-0.40536576829759846-0.03410144982013072*I	-0.40312097508501327-0.02567696967323796*I	-0.4015230050414977-0.017163331487193144*I	-0.40056664429418665-0.008591599187616487*I	-0.4002486555006954+8.765082802590246*^-6*I	-0.40056794291725534+0.008609100295097122*I	-0.40152560674274124+0.01718074460327962*I	-0.40312488855216816+0.02569423341471909*I	-0.40537100599864573+0.03411849872529353*I	-0.40827087135942325+0.04242007197315653*I	-0.41183268500584197+0.05056229469639592*I	-0.41606539159999667+0.05850454445307021*I	-0.42097798393843044+0.06620148791783365*I	-0.42657863714383937+0.0736023789728846*I	-0.43287365474518097+0.08065042712527776*I	-0.4398662086411791+0.08728227082501899*I	-0.447554857758961+0.09342760123425739*I	-0.4559318363531995+0.09900899450583348*I	-0.46498111349052407+0.10394202413221773*I	-0.4746762416097096+0.10813573838921813*I	-0.4849780354045357+0.11149359960783609*I	-0.4958321536305601+0.11391498939145055*I	-0.5071666960891686+0.11529738341472136*I	-0.5188899750303422+0.11553928662674831*I	-0.5308886716195231+0.11454398945283585*I	-0.543026638324548+0.11222415298366073*I	-0.5551446482772566+0.10850715257959855*I	-0.567061410831086+0.10334100442314421*I	-0.578576154437709+0.0967005733170878*I	-0.5894730095178259+0.08859362483865965*I	-0.5995272951454479+0.07906616161060348*I	-0.6085136230574608+0.0682064000361558*I	-0.6162154936074665+0.05614673161231184*I	-0.6224358003957209+0.043063098847045754*I	-0.6270074282326599+0.029171412981061847*I	-0.6298029754749662+0.014720939520754166*I
-0.6622200595682745-0.000019263081394629835*I	-0.6609487464919415-0.018860694295025543*I	-0.6571832155189391-0.03728711912368484*I	-0.6510496782653002-0.05490574636939732*I	-0.6427476736863208-0.07136500837997016*I	-0.632535514146731-0.08636975064261547*I	-0.6207127047868236-0.0996909863192225*I	-0.6076014178506819-0.11116987270075558*I	-0.5935289230832753-0.12071634893327789*I	-0.5788124283661121-0.12830344980050007*I	-0.5637472113768981-0.1339586138060867*I	-0.5485983570790507-0.13775334600294928*I	-0.533595952869376-0.1397924398143153*I	-0.5189332792609366-0.14020369126940577*I	-0.5047673715015261-0.13912873207949752*I	-0.4912212904885977-0.13671532264616593*I	-0.4783874914190774-0.13311121541339907*I	-0.46633177766165024-0.128459534401251*I	-0.45509744449072587-0.1228955148886877*I	-0.4447093314240016-0.1165443966788519*I	-0.4351776009227041-0.10952025121457445*I	-0.4265011401487904-0.10192553385217928*I	-0.41867054100163836-0.09385117714548716*I	-0.4116706540638774-0.08537707125261412*I	-0.40548273776734556-0.07657280844258488*I	-0.40008623859319026-0.06749859716477827*I	-0.39546024462624035-0.05820627580285631*I	-0.39158465589062097-0.04874037662303611*I	-0.388441112578341-0.03913920669638553*I	-0.3860137179646948-0.02943592518330737*I	-0.38428958744512864-0.01965960588636774*I	-0.3832592493343671-0.00983628097476516*I	-0.38291691719050824+0.000010033234214422718*I	-0.3832606476325106+0.009856324172584217*I	-0.38429239195812614+0.01967957825018067*I	-0.38601794431427877+0.029455776075547058*I	-0.3884467836566723+0.03915888033139456*I	-0.39159180118010756+0.04875980996001947*I	-0.3954688992394262+0.05822539639997962*I	-0.40009644198652633+0.06751732099709357*I	-0.4054945320705129+0.07659103769849065*I	-0.4116840819550608+0.08539469214023696*I	-0.41868564304879674+0.09386805776268231*I	-0.4265179515299188+0.10194152220308497*I	-0.43519614743638496+0.10953517349293143*I	-0.444729624708348+0.11655805598415206*I	-0.4551194763893771+0.1229076905956913*I	-0.46635551371522077+0.12846998246456978*I	-0.4784128635266125+0.13311966995244026*I	-0.49124818888331906+0.1367214992136853*I	-0.504795636324732+0.13913233305640574*I	-0.5189626922001532+0.140204413830302*I	-0.5336262295463393+0.1397899868481724*I	-0.5486291411146077+0.1377474402223934*I	-0.5637780712886911+0.13394901501037834*I	-0.5788428586186805+0.1282899748535776*I	-0.5935583506373285+0.12069889348529912*I	-0.6076292153662234+0.11114843306297276*I	-0.6207382111549027+0.0996656792895505*I	-0.6325580622250544+0.08634082861572173*I	-0.6427666240418187+0.0713328669329521*I	-0.6510644565257556+0.05487092185213394*I	-0.6571933498471679+0.03725027468702858*I	-0.6609539010136914+0.01882259420951951*I
-0.6959796341666827-0.00002401602947518927*I	-0.6943094171133567-0.02350267274194349*I	-0.6893718736413721-0.04639584925002114*I	-0.6813596415185923-0.06815490682558105*I	-0.6705743706967211-0.08829908303846469*I	-0.6574010633805911-0.10643896126224342*I	-0.6422779137501612-0.12228978674635752*I	-0.625665701834834-0.1356744510188861*I	-0.6080201840782798-0.14651750987385526*I	-0.5897698147343327-0.1548325845060323*I	-0.5712998845731114-0.16070584247135405*I	-0.5529430700804056-0.16427806809963572*I	-0.5349756134474097-0.16572730901559554*I	-0.5176179386483787-0.165253433464355*I	-0.5010383990866122-0.16306531144565917*I	-0.4853589534325497-0.1593708330838678*I	-0.47066178166046363-0.15436963169516568*I	-0.4569961057964049-0.14824817719995229*I	-0.44438471907886123-0.14117681776235858*I	-0.4328299268847017-0.1333083384077861*I	-0.4223187543778511-0.12477764314868545*I	-0.4128273816818472-0.11570222757318985*I	-0.40432483499197824-0.10618317554306553*I	-0.39677600050332873-0.09630647687372887*I	-0.39014404586553797-0.08614451777202486*I	-0.38439233812737655-0.07575764072920535*I	-0.3794859431382829-0.06519570572436614*I	-0.3753927828968187-0.05449961114882873*I	-0.3720845168677917-0.04370275232501651*I	-0.36953720236261384-0.032832409381661515*I	-0.3677317785419094-0.021911065910998617*I	-0.3666544088496868-0.010957666388456203*I	-0.3662967078254895+0.000011175347658493974*I	-0.3666558701876055+0.010980001533895185*I	-0.36773471265668917+0.021933353230994525*I	-0.3695416319602032+0.03285461305545105*I	-0.3720904755632205+0.043724830564656425*I	-0.37540031464152773+0.0545215136920781*I	-0.37949510138827214+0.06521737121415544*I	-0.38440318469061024+0.07577899395841842*I	-0.3901566493479963+0.08616546678312578*I	-0.3967904342524047+0.09632690991896398*I	-0.4043411744139254+0.1062029579345665*I	-0.41284570078761995+0.11572119848574919*I	-0.42233912139193114+0.1247956124843812*I	-0.4328523987376329+0.13332508389399572*I	-0.4444093346030208+0.14119208253602328*I	-0.4570228774649284+0.1482616682328036*I	-0.47069068576398865+0.15438101953599487*I	-0.48538991869346454+0.15937975352860206*I	-0.5010712938841958+0.1630713698798*I	-0.5176525572885974+0.16525621272914517*I	-0.5350116622696913+0.16572638168802595*I	-0.5529801546462267+0.1642730139893304*I	-0.5713374996943421+0.1606962718540904*I	-0.5898073395983979+0.15481816706340626*I	-0.6080568850787438+0.14649800844470637*I	-0.625700745742023+0.1356497581058883*I	-0.6423103933491362+0.12225996038095387*I	-0.6574300364986987+0.10640425556990078*I	-0.6705989116090001+0.08825996804971775*I	-0.6813789012541831+0.06811207218502245*I	-0.6893851431973306+0.046350187823610674*I	-0.6943161857100613+0.02345524276270346*I
-0.7323104923683175-0.000029410235942516834*I	-0.7301540202352548-0.028765505142179296*I	-0.7237927465085762-0.05669137781273658*I	-0.7135137840397369-0.08305622850216597*I	-0.69976195271779-0.10721777006134486*I	-0.6830961318489456-0.12867705345365196*I	-0.6641395049841965-0.14709513286097797*I	-0.6435311786017555-0.16229215125218002*I	-0.6218849967849688-0.17423225842370332*I	-0.599758905106703-0.18299925374334924*I	-0.5776357564381597-0.1887679803558313*I	-0.5559145622160191-0.1917756680572551*I	-0.5349100919203488-0.1922961341642595*I	-0.5148583494367712-0.1906184360571752*I	-0.4959255992956192-0.18703049017841042*I	-0.4782190429828246-0.1818074305004278*I	-0.46179776431683855-0.17520406074204728*I	-0.4466830504923124-0.16745058766565457*I	-0.4328675915928109-0.15875082274378896*I	-0.42032335021654893-0.14928213229995962*I	-0.4090080836072141-0.13919654785470814*I	-0.3988706133481134-0.12862258470757046*I	-0.38985499404495927-0.11766743938179527*I	-0.38190375154014233-0.1064193378343235*I	-0.37496035780171066-0.09494988513461608*I	-0.36897109414497875-0.08331632583412502*I	-0.36388643372061447-0.07156366602028259*I	-0.35966205239452265-0.059726636809964165*I	-0.35625955653142066-0.047831498151168925*I	-0.3536469978307382-0.03589769404099363*I	-0.351799229555052-0.023939377787935083*I	-0.3506981451139531-0.011966830348775031*I	-0.35033282867525406+0.000012202799555773203*I	-0.3506996378280649+0.011991229546490522*I	-0.35180222984525533+0.023963756508157547*I	-0.35365153531251414+0.035922034359668016*I	-0.35626567534127274+0.047855775637688516*I	-0.3596698108017205+0.059750817729485206*I	-0.363895903532937+0.07158770434350996*I	-0.3689823598371639+0.08334016000467279*I	-0.37497351527023937+0.09497343455067306*I	-0.38191890635844483+0.10644249901306596*I	-0.3898722590581894+0.11769008179447074*I	-0.398890105406842+0.1286445463043121*I	-0.40902991919554954+0.13921763034586326*I	-0.42034763968590105+0.14930209633136174*I	-0.43289443167380764+0.15876938320430703*I	-0.4467125147352677+0.16746740950418307*I	-0.4618298911230739+0.17521875585424027*I	-0.4782538209601921+0.18181955647479422*I	-0.49596294983696887+0.18703955195915659*I	-0.5148981067214873+0.19062389186278267*I	-0.5349519810223968+0.19229740724394617*I	-0.5559581766995674+0.19177216598378588*I	-0.5776805377340718+0.18875912341083806*I	-0.5998041270182619+0.18298451338289198*I	-0.6219297594883387+0.1742112056471317*I	-0.643574417163753+0.1622645128317302*I	-0.664180017266753+0.14706085089023377*I	-0.6831326292212221+0.12863634090085985*I	-0.6997931339313673+0.10717115268854009*I	-0.7135384280584084+0.083004562637897*I	-0.7238098148159391+0.05663583503123136*I	-0.7301627546419107+0.028707519381777215*I
-0.7715521711411423-0.000035558952031820316*I	-0.7688012509430359-0.034757498678489276*I	-0.760706189350987-0.06837316835449227*I	-0.747687742148884-0.09987028586854516*I	-0.7303900451808463-0.12840638648942615*I	-0.7096083199080977-0.15335868586539608*I	-0.6862092650883744-0.17434253464990968*I	-0.6610573400409484-0.19120117149566251*I	-0.6349561698701431-0.2039743339529084*I	-0.6086092321983801-0.21285513977837633*I	-0.582599525786226-0.21814390651767845*I	-0.5573850041409572-0.22020530971820867*I	-0.5333053060128278-0.2194326012561693*I	-0.5105953449153071-0.21622028548730757*I	-0.48940208536215013-0.2109450219988663*I	-0.4698018611336556-0.20395360635855195*I	-0.45181657244891577-0.19555652262068404*I	-0.4354278858467707-0.18602556712163906*I	-0.4205891164052821-0.175594241154638*I	-0.40723482141941-0.16445987940529389*I	-0.3952883260357545-0.1527867492463647*I	-0.38466748428452285-0.14070958767972866*I	-0.3752889946229206-0.12833722605254874*I	-0.36707156758982384-0.11575608885665195*I	-0.35993820446037633-0.10303344900625515*I	-0.3538178020615527-0.09022038670155579*I	-0.3486462568808076-0.07735444056291518*I	-0.34436720444956315-0.06446196503724831*I	-0.3409324987689364-0.05156022245797115*I	-0.3383025111520537-0.03865924549235325*I	-0.3364463075990948-0.02576350879057112*I	-0.33534174779281584-0.0128734493320342*I	-0.33497553607110125+0.000013125523416027914*I	-0.33534324442923025+0.012899704150374804*I	-0.33644931894800134+0.02578977360849838*I	-0.3383070733381099+0.03868552255564979*I	-0.3409386658952294+0.05158650724985063*I	-0.3443750484531795+0.06448824330838396*I	-0.348655867263432+0.0773806850931603*I	-0.353829285421243+0.09024655371315275*I	-0.35995168372165487+0.10305947414820538*I	-0.3670871807925513+0.1157818826832239*I	-0.3753068930842351+0.12836266892879716*I	-0.38468782989061906+0.1407345240679143*I	-0.3953112873504613+0.15281098136606824*I	-0.4072605682153263+0.1644831603261494*I	-0.4206178121342086+0.17561626748628667*I	-0.43545967747920544+0.18604597162641867*I	-0.45185157704577483+0.19557486730834403*I	-0.4698401484991331+0.20396937694607406*I	-0.4894436562151537+0.21095762504246715*I	-0.5106401042805382+0.21622905001040826*I	-0.5333530320667648+0.21943678726144195*I	-0.5574353136553443+0.22020412648062043*I	-0.582651838679619+0.21813654381221811*I	-0.6086627395350576+0.2128408149026399*I	-0.635009811767868+0.20395235617041502*I	-0.6611098019095356+0.19117102296368893*I	-0.6862590016138927+0.17430396281796812*I	-0.7096536151302115+0.153311797049035*I	-0.7304291128311062+0.12835172495299424*I	-0.7477188627348986+0.09980887927743264*I	-0.7607278702966993+0.06830652129327312*I	-0.7688123862100525+0.03468752281586847*I
