(128, 99, 36, 113, 118, 56)->[0, (-40+28*r2), (28-20*r2), 0]
(32, 92, 50, 85, 25, 60)->[0, (-20+14*r2), (-14+10*r2), (-42+30*r2)]
(130, 67, 69, 74, 10, 11)->[(40-28*r2), 0, 0, (28-20*r2)]
(130, 135, 11, 17, 18, 57)->[(40-28*r2), (20-14*r2), (-14+10*r2), (14-10*r2)]
(33, 3, 134, 48, 55, 28)->[0, (-40+28*r2), (-28+20*r2), 0]
(100, 8, 45, 46, 15, 94)->[(-20+14*r2), 0, (-14+10*r2), (42-30*r2)]
(38, 9, 137, 15, 90, 94)->[(-40+28*r2), 0, 0, (28-20*r2)]
(129, 103, 8, 45, 19, 27)->[0, (-20+14*r2), (-14+10*r2), (42-30*r2)]
(96, 132, 69, 5, 83, 21)->[(20-14*r2), (20-14*r2), (28-20*r2), (28-20*r2)]
(129, 34, 112, 113, 27, 28)->[0, (-40+28*r2), 0, (28-20*r2)]
(33, 39, 143, 51, 27, 28)->[(-20+14*r2), (-40+28*r2), (-14+10*r2), (14-10*r2)]
(130, 35, 37, 139, 16, 17)->[(40-28*r2), 0, (-28+20*r2), 0]
(35, 4, 75, 20, 123, 127)->[(20-14*r2), (20-14*r2), (-28+20*r2), (-28+20*r2)]
(4, 49, 50, 60, 126, 127)->[(20-14*r2), 0, (-14+10*r2), (-42+30*r2)]
(66, 98, 75, 84, 24, 123)->[0, (20-14*r2), (-42+30*r2), (-14+10*r2)]
(65, 42, 107, 85, 87, 120)->[(-20+14*r2), 0, (14-10*r2), (-42+30*r2)]
(39, 9, 15, 143, 116, 63)->[(-40+28*r2), (-20+14*r2), (-14+10*r2), (14-10*r2)]
(65, 105, 49, 86, 87, 89)->[0, (20-14*r2), (14-10*r2), (-42+30*r2)]
(1, 98, 100, 101, 62, 63)->[(-20+14*r2), 0, (-42+30*r2), (14-10*r2)]
(35, 4, 37, 84, 24, 88)->[(20-14*r2), 0, (-42+30*r2), (-14+10*r2)]
(129, 133, 134, 104, 28, 93)->[(20-14*r2), (-40+28*r2), (-14+10*r2), (14-10*r2)]
(66, 6, 73, 77, 119, 123)->[(-20+14*r2), (20-14*r2), (-28+20*r2), (-28+20*r2)]
(130, 40, 104, 10, 16, 93)->[(40-28*r2), (-20+14*r2), (-14+10*r2), (14-10*r2)]
(68, 53, 89, 59, 95, 31)->[(-20+14*r2), (40-28*r2), (14-10*r2), (-14+10*r2)]
(7, 72, 73, 119, 26, 95)->[(-40+28*r2), (20-14*r2), (-14+10*r2), (-14+10*r2)]
(96, 18, 21, 23, 61, 30)->[(20-14*r2), (40-28*r2), (14-10*r2), (14-10*r2)]
(64, 102, 108, 80, 121, 90)->[(-40+28*r2), 0, (28-20*r2), 0]
(66, 6, 7, 111, 95, 31)->[(-20+14*r2), (40-28*r2), (-14+10*r2), (-14+10*r2)]
(68, 78, 53, 54, 21, 30)->[0, (40-28*r2), (28-20*r2), 0]
(65, 76, 49, 50, 122, 29)->[(20-14*r2), 0, (14-10*r2), (-42+30*r2)]
(67, 69, 5, 103, 106, 13)->[(20-14*r2), 0, (14-10*r2), (42-30*r2)]
(38, 137, 45, 46, 13, 114)->[(-20+14*r2), 0, (14-10*r2), (42-30*r2)]
(32, 77, 79, 22, 55, 25)->[(-20+14*r2), (-20+14*r2), (-28+20*r2), (-28+20*r2)]
(99, 36, 70, 136, 44, 109)->[0, (-20+14*r2), (42-30*r2), (14-10*r2)]
(68, 71, 110, 78, 86, 124)->[0, (20-14*r2), (42-30*r2), (-14+10*r2)]
(8, 106, 43, 12, 46, 115)->[0, (20-14*r2), (-14+10*r2), (42-30*r2)]
(129, 134, 10, 141, 16, 19)->[(20-14*r2), (-20+14*r2), (-28+20*r2), (28-20*r2)]
(138, 107, 80, 117, 56, 120)->[(-20+14*r2), (-20+14*r2), (28-20*r2), (-28+20*r2)]
(128, 133, 41, 140, 142, 118)->[(20-14*r2), (-40+28*r2), (14-10*r2), (-14+10*r2)]
(67, 131, 40, 104, 74, 140)->[(40-28*r2), (-20+14*r2), (14-10*r2), (14-10*r2)]
(101, 9, 79, 119, 26, 63)->[(-40+28*r2), 0, (-28+20*r2), 0]
(72, 42, 108, 121, 59, 95)->[(-40+28*r2), (20-14*r2), (14-10*r2), (-14+10*r2)]
(6, 49, 20, 87, 123, 60)->[0, (20-14*r2), (-14+10*r2), (-42+30*r2)]
(64, 36, 136, 137, 112, 114)->[(-20+14*r2), (-20+14*r2), (28-20*r2), (28-20*r2)]
(12, 18, 23, 57, 58, 91)->[(20-14*r2), (40-28*r2), (-14+10*r2), (14-10*r2)]
(73, 77, 85, 22, 87, 60)->[(-20+14*r2), 0, (-14+10*r2), (-42+30*r2)]
(121, 68, 42, 86, 120, 89)->[(-20+14*r2), (20-14*r2), (28-20*r2), (-28+20*r2)]
(38, 102, 14, 54, 59, 125)->[(28-20*r2), (-28+20*r2), (-20+14*r2), (-20+14*r2)]
(75, 111, 23, 57, 58, 91)->[(-14+10*r2), (-42+30*r2), (20-14*r2), 0]
