(8, 104, 10, 11, 106, 141)->[(20-14*r2), 0, (-14+10*r2), (42-30*r2)]
(37, 136, 106, 12, 45, 112)->[0, (-20+14*r2), (14-10*r2), (42-30*r2)]
(72, 44, 110, 83, 21, 54)->[0, (20-14*r2), (42-30*r2), (14-10*r2)]
(99, 131, 37, 103, 140, 113)->[(20-14*r2), (-40+28*r2), (14-10*r2), (14-10*r2)]
(1, 141, 16, 17, 88, 24)->[(20-14*r2), 0, (-42+30*r2), (14-10*r2)]
(70, 138, 109, 118, 56, 124)->[0, (-20+14*r2), (42-30*r2), (-14+10*r2)]
(101, 71, 7, 9, 14, 95)->[(-40+28*r2), (20-14*r2), (-14+10*r2), (14-10*r2)]
(97, 2, 135, 76, 81, 61)->[(40-28*r2), (20-14*r2), (14-10*r2), (-14+10*r2)]
(3, 84, 55, 88, 25, 62)->[0, (-20+14*r2), (-42+30*r2), (-14+10*r2)]
(132, 68, 135, 74, 18, 61)->[(40-28*r2), (20-14*r2), (14-10*r2), (14-10*r2)]
(100, 101, 43, 115, 52, 95)->[(-20+14*r2), (20-14*r2), (-28+20*r2), (28-20*r2)]
(32, 128, 142, 48, 117, 92)->[0, (-40+28*r2), 0, (-28+20*r2)]
(98, 77, 79, 84, 119, 62)->[(-20+14*r2), 0, (-42+30*r2), (-14+10*r2)]
(97, 105, 78, 53, 23, 61)->[(20-14*r2), (40-28*r2), (14-10*r2), (-14+10*r2)]
(96, 104, 12, 46, 83, 125)->[0, (20-14*r2), (14-10*r2), (42-30*r2)]
(1, 33, 134, 19, 88, 62)->[0, (-20+14*r2), (-42+30*r2), (14-10*r2)]
(132, 5, 70, 133, 72, 44)->[(20-14*r2), 0, (42-30*r2), (14-10*r2)]
(73, 42, 107, 108, 22, 26)->[(-40+28*r2), 0, 0, (-28+20*r2)]
(97, 35, 135, 139, 57, 127)->[(40-28*r2), (20-14*r2), (-14+10*r2), (-14+10*r2)]
(36, 47, 112, 113, 143, 51)->[(-20+14*r2), (-40+28*r2), (14-10*r2), (14-10*r2)]
(128, 99, 36, 113, 118, 56)->[0, (-40+28*r2), (28-20*r2), 0]
(32, 92, 50, 85, 25, 60)->[0, (-20+14*r2), (-14+10*r2), (-42+30*r2)]
(129, 67, 68, 10, 11, 74)->[(40-28*r2), 0, 0, (28-20*r2)]
(129, 135, 11, 17, 18, 57)->[(40-28*r2), (20-14*r2), (-14+10*r2), (14-10*r2)]
(33, 3, 134, 48, 55, 28)->[0, (-40+28*r2), (-28+20*r2), 0]
(100, 8, 45, 46, 15, 95)->[(-20+14*r2), 0, (-14+10*r2), (42-30*r2)]
(38, 9, 137, 15, 90, 95)->[(-40+28*r2), 0, 0, (28-20*r2)]
(130, 8, 106, 45, 19, 27)->[0, (-20+14*r2), (-14+10*r2), (42-30*r2)]
(96, 68, 5, 132, 83, 21)->[(20-14*r2), (20-14*r2), (28-20*r2), (28-20*r2)]
(130, 37, 112, 113, 27, 28)->[0, (-40+28*r2), 0, (28-20*r2)]
(33, 39, 143, 51, 27, 28)->[(-20+14*r2), (-40+28*r2), (-14+10*r2), (14-10*r2)]
(129, 34, 35, 139, 16, 17)->[(40-28*r2), 0, (-28+20*r2), 0]
(35, 4, 75, 20, 123, 127)->[(20-14*r2), (20-14*r2), (-28+20*r2), (-28+20*r2)]
(4, 49, 50, 60, 126, 127)->[(20-14*r2), 0, (-14+10*r2), (-42+30*r2)]
(65, 98, 75, 84, 24, 123)->[0, (20-14*r2), (-42+30*r2), (-14+10*r2)]
(66, 42, 107, 85, 86, 120)->[(-20+14*r2), 0, (14-10*r2), (-42+30*r2)]
(39, 9, 15, 143, 116, 63)->[(-40+28*r2), (-20+14*r2), (-14+10*r2), (14-10*r2)]
(66, 105, 49, 86, 87, 89)->[0, (20-14*r2), (14-10*r2), (-42+30*r2)]
(1, 98, 100, 101, 62, 63)->[(-20+14*r2), 0, (-42+30*r2), (14-10*r2)]
(34, 35, 4, 84, 24, 88)->[(20-14*r2), 0, (-42+30*r2), (-14+10*r2)]
(130, 131, 134, 103, 28, 93)->[(20-14*r2), (-40+28*r2), (-14+10*r2), (14-10*r2)]
(65, 6, 73, 77, 119, 123)->[(-20+14*r2), (20-14*r2), (-28+20*r2), (-28+20*r2)]
(129, 103, 40, 10, 16, 93)->[(40-28*r2), (-20+14*r2), (-14+10*r2), (14-10*r2)]
(69, 53, 89, 59, 94, 31)->[(-20+14*r2), (40-28*r2), (14-10*r2), (-14+10*r2)]
(71, 7, 73, 119, 26, 94)->[(-40+28*r2), (20-14*r2), (-14+10*r2), (-14+10*r2)]
(96, 18, 21, 23, 61, 30)->[(20-14*r2), (40-28*r2), (14-10*r2), (14-10*r2)]
(64, 102, 108, 80, 121, 90)->[(-40+28*r2), 0, (28-20*r2), 0]
(65, 6, 7, 111, 94, 31)->[(-20+14*r2), (40-28*r2), (-14+10*r2), (-14+10*r2)]
(69, 78, 53, 54, 21, 30)->[0, (40-28*r2), (28-20*r2), 0]
(66, 76, 49, 50, 122, 29)->[(20-14*r2), 0, (14-10*r2), (-42+30*r2)]
(67, 68, 5, 104, 106, 12)->[(20-14*r2), 0, (14-10*r2), (42-30*r2)]
(38, 137, 12, 45, 46, 114)->[(-20+14*r2), 0, (14-10*r2), (42-30*r2)]
(32, 77, 79, 22, 55, 25)->[(-20+14*r2), (-20+14*r2), (-28+20*r2), (-28+20*r2)]
(99, 36, 70, 136, 44, 109)->[0, (-20+14*r2), (42-30*r2), (14-10*r2)]
(69, 72, 110, 78, 87, 124)->[0, (20-14*r2), (42-30*r2), (-14+10*r2)]
(8, 104, 43, 13, 46, 115)->[0, (20-14*r2), (-14+10*r2), (42-30*r2)]
(130, 134, 10, 141, 16, 19)->[(20-14*r2), (-20+14*r2), (-28+20*r2), (28-20*r2)]
(138, 107, 80, 117, 56, 120)->[(-20+14*r2), (-20+14*r2), (28-20*r2), (-28+20*r2)]
(128, 131, 41, 140, 142, 118)->[(20-14*r2), (-40+28*r2), (14-10*r2), (-14+10*r2)]
(67, 133, 103, 40, 74, 140)->[(40-28*r2), (-20+14*r2), (14-10*r2), (14-10*r2)]
(101, 9, 79, 119, 26, 63)->[(-40+28*r2), 0, (-28+20*r2), 0]
(71, 42, 108, 121, 59, 94)->[(-40+28*r2), (20-14*r2), (14-10*r2), (-14+10*r2)]
(6, 49, 20, 86, 123, 60)->[0, (20-14*r2), (-14+10*r2), (-42+30*r2)]
