(3, 69, 70, 73, 19, 30)->[4, 4, -2*r2, -2*r2]
(6, 103, 104, 41, 119, 61)->[-2, 6, 0, -2*r2]
(128, 10, 78, 20, 121, 59)->[-2, 2, 2*r2, 4*r2]
(32, 75, 79, 80, 54, 30)->[4, 4, -2*r2, 2*r2]
(34, 66, 131, 39, 15, 84)->[0, -4, 0, -4*r2]
(75, 80, 51, 52, 55, 27)->[2, 2, -2*r2, 4*r2]
(132, 136, 138, 89, 123, 60)->[-4, -4, -2*r2, 2*r2]
(43, 77, 113, 84, 56, 91)->[-4, 0, 0, -4*r2]
(65, 34, 84, 117, 118, 91)->[-2, -2, -2*r2, -4*r2]
(139, 95, 24, 92, 94, 127)->[-4, 4, -2*r2, 2*r2]
(136, 42, 12, 25, 90, 94)->[-4, 0, -4*r2, 0]
(40, 9, 72, 107, 110, 89)->[0, -4, 0, 4*r2]
(35, 73, 13, 79, 50, 30)->[6, 2, -2*r2, 0]
(130, 103, 108, 62, 61, 126)->[-2, 6, 2*r2, 0]
(74, 10, 109, 20, 58, 27)->[2, 2, 2*r2, 4*r2]
(3, 103, 104, 16, 19, 124)->[2, 6, 0, -2*r2]
(106, 12, 51, 28, 94, 127)->[-2, 2, -4*r2, 2*r2]
(132, 9, 106, 52, 21, 89)->[-2, -2, -2*r2, 4*r2]
(1, 135, 74, 109, 81, 54)->[4, 4, 2*r2, 2*r2]
(64, 4, 68, 76, 49, 81)->[4, 0, 4*r2, 0]
(96, 99, 36, 142, 112, 93)->[-6, -2, 2*r2, 0]
(2, 36, 41, 43, 77, 122)->[-6, 2, 0, -2*r2]
(41, 43, 139, 14, 119, 90)->[-4, 4, -2*r2, -2*r2]
(33, 131, 133, 82, 116, 53)->[4, -4, -2*r2, -2*r2]
(129, 58, 72, 10, 107, 26)->[2, -2, 2*r2, 4*r2]
(104, 139, 14, 111, 61, 127)->[-2, 6, -2*r2, 0]
(97, 67, 5, 16, 114, 85)->[2, 2, 2*r2, -4*r2]
(64, 37, 134, 15, 116, 88)->[4, -4, 2*r2, -2*r2]
(33, 105, 42, 140, 115, 123)->[0, -4, -4*r2, 0]
(48, 115, 87, 123, 60, 31)->[-2, -6, -2*r2, 0]
(5, 39, 15, 85, 88, 120)->[2, -2, 2*r2, -4*r2]
(129, 68, 134, 72, 143, 63)->[4, -4, 2*r2, 2*r2]
(58, 68, 7, 143, 49, 26)->[2, -2, 4*r2, 2*r2]
(2, 122, 8, 139, 90, 94)->[-6, 2, -2*r2, 0]
(97, 67, 69, 39, 53, 88)->[4, 0, 0, -4*r2]
(101, 40, 107, 52, 21, 55)->[2, -2, -2*r2, 4*r2]
(35, 13, 109, 80, 54, 57)->[6, 2, 0, 2*r2]
(9, 10, 78, 110, 18, 26)->[-2, -2, 2*r2, 4*r2]
(101, 102, 40, 140, 82, 63)->[4, -4, -2*r2, 2*r2]
(65, 12, 141, 14, 90, 125)->[-2, 2, -4*r2, -2*r2]
(65, 43, 141, 117, 119, 56)->[-2, 2, -2*r2, -4*r2]
(44, 46, 112, 83, 86, 31)->[-2, -6, 2*r2, 0]
(100, 37, 134, 46, 143, 86)->[2, -6, 2*r2, 0]
(71, 137, 45, 114, 22, 126)->[-2, 2, 4*r2, -2*r2]
(47, 50, 116, 53, 88, 29)->[6, -2, 0, -2*r2]
(99, 7, 44, 78, 17, 26)->[-2, -2, 4*r2, 2*r2]
(128, 27, 74, 75, 24, 59)->[0, 4, 0, 4*r2]
(34, 66, 98, 86, 87, 31)->[-2, -6, 0, -2*r2]
(133, 102, 13, 82, 50, 29)->[6, -2, -2*r2, 0]
(108, 111, 24, 59, 92, 61)->[-2, 6, 0, 2*r2]
(129, 101, 107, 109, 80, 27)->[4, 0, 0, 4*r2]
(67, 35, 3, 69, 47, 50)->[6, 2, 0, -2*r2]
(128, 132, 9, 18, 121, 95)->[-4, 0, 0, 4*r2]
(6, 77, 114, 85, 22, 56)->[-2, 2, 2*r2, -4*r2]
(33, 100, 140, 48, 82, 87)->[2, -6, -2*r2, 0]
(64, 68, 134, 47, 57, 29)->[6, -2, 2*r2, 0]
(2, 8, 136, 25, 60, 93)->[-6, -2, -2*r2, 0]
(4, 5, 38, 71, 76, 114)->[2, 2, 4*r2, -2*r2]
(97, 6, 16, 19, 119, 56)->[0, 4, 0, -4*r2]
(35, 135, 76, 47, 81, 57)->[6, 2, 2*r2, 0]
(37, 44, 143, 17, 49, 83)->[0, -4, 4*r2, 0]
(102, 105, 140, 21, 55, 28)->[2, -2, -4*r2, 2*r2]
(96, 99, 137, 11, 45, 17)->[-4, 0, 4*r2, 0]
(65, 42, 115, 118, 25, 125)->[-2, -2, -4*r2, -2*r2]
(99, 138, 44, 110, 112, 18)->[-4, -4, 2*r2, 2*r2]
(74, 75, 108, 111, 54, 124)->[2, 6, 0, 2*r2]
(32, 70, 12, 14, 23, 127)->[0, 4, -4*r2, 0]
(2, 98, 36, 113, 91, 93)->[-6, -2, 0, -2*r2]
(96, 66, 98, 112, 113, 83)->[-4, -4, 2*r2, -2*r2]
(130, 11, 121, 59, 92, 62)->[-4, 4, 2*r2, 2*r2]
(133, 102, 73, 105, 79, 23)->[4, 0, -4*r2, 0]
(1, 38, 103, 135, 108, 124)->[2, 6, 2*r2, 0]
(96, 71, 17, 83, 22, 120)->[-2, -2, 4*r2, -2*r2]
(129, 101, 13, 57, 29, 63)->[6, -2, 0, 2*r2]
(1, 4, 7, 81, 20, 58)->[2, 2, 4*r2, 2*r2]
(67, 3, 38, 135, 76, 16)->[4, 4, 2*r2, -2*r2]
(41, 139, 122, 92, 61, 62)->[-4, 4, 0, 0]
(35, 3, 135, 54, 124, 30)->[4, 4, 0, 0]
