(0, 1, 7, 8, 14, 15, 17, 18, 19, 20, 23, 25)->[0, 0, -4, -4]
(0, 1, 2, 6, 7, 8, 9, 21, 24, 27, 28, 31)->[0, 0, 4, -4]
(0, 1, 19, 27)->[4, 0, 0, -4]
(0, 25, 28, 7)->[0, 4, 0, -4]
(0, 2, 5, 12, 13, 14, 16, 19, 22, 25, 27, 28)->[4, 4, 0, 0]
(3, 7, 9, 10, 12, 15, 16, 20, 21, 25, 28, 29)->[-4, 4, 0, 0]
(3, 4, 5, 12, 14, 18, 20, 22, 23, 26, 29, 30)->[0, 0, -4, 4]
(3, 4, 6, 8, 10, 11, 15, 17, 21, 23, 24, 30)->[-4, -4, 0, 0]
(2, 6, 9, 10, 11, 13, 16, 22, 26, 29, 30, 31)->[0, 0, 4, 4]
(1, 4, 5, 11, 13, 17, 18, 19, 24, 26, 27, 31)->[4, -4, 0, 0]
(8, 15, 21, 7)->[-4, 0, 0, -4]
(17, 18, 4, 23)->[0, -4, -4, 0]
(25, 12, 20, 14)->[0, 4, -4, 0]
(16, 9, 2, 28)->[0, 4, 4, 0]
(10, 3, 29, 30)->[-4, 0, 0, 4]
(24, 11, 6, 31)->[0, -4, 4, 0]
(13, 26, 5, 22)->[4, 0, 0, 4]
(3, 20, 23, 15)->[-4, 0, -4, 0]
(26, 11, 4, 30)->[0, -4, 0, 4]
(16, 12, 29, 22)->[0, 4, 0, 4]
(8, 1, 17, 24)->[0, -4, 0, -4]
(18, 19, 5, 14)->[4, 0, -4, 0]
(9, 10, 21, 6)->[-4, 0, 4, 0]
(2, 27, 13, 31)->[4, 0, 4, 0]
