(0, 1538, 1434, 667, 164, 432, 2233, 1086, 1601, 206, 722, 2262, 1752, 600, 486, 1896, 1519, 1903, 1137, 2046)->[(1-1*r5), (-4+2*r5), (3-1*r5), 0]
(1920, 770, 907, 15, 1942, 1559, 2328, 1048, 1439, 2342, 810, 1066, 1069, 2094, 303, 2349, 1076, 338, 2282, 624)->[0, (1-1*r5), (3-1*r5), (-4+2*r5)]
(259, 1291, 1292, 1937, 1312, 1825, 934, 1965, 50, 1331, 1970, 443, 1094, 590, 1617, 1362, 1751, 222, 363, 1270)->[(3-1*r5), (1-1*r5), (4-2*r5), 0]
(649, 11, 1810, 1299, 1044, 407, 2205, 289, 36, 1828, 1839, 1462, 1593, 323, 1480, 1869, 467, 503, 892, 1661)->[(-4+2*r5), (-1+1*r5), 0, (-3+1*r5)]
(1804, 18, 1683, 1690, 1319, 565, 1718, 1720, 957, 2110, 192, 2112, 1864, 1738, 994, 364, 376, 762, 1020, 125)->[(3-1*r5), 0, (-1+1*r5), (-4+2*r5)]
(2314, 397, 1936, 145, 1433, 26, 794, 1577, 1453, 55, 828, 2241, 1350, 1096, 2006, 238, 1774, 113, 881, 1653)->[(-3+1*r5), (1-1*r5), (-4+2*r5), 0]
(131, 2073, 2329, 1947, 1706, 1840, 1852, 60, 1857, 837, 583, 841, 1359, 1492, 2010, 742, 2150, 2028, 2037, 509)->[(3-1*r5), (3-1*r5), (-3+1*r5), (3-1*r5)]
(5, 781, 784, 2074, 2332, 160, 35, 1188, 1198, 827, 318, 979, 981, 2133, 1754, 1257, 748, 623, 1779, 2168)->[(-4+2*r5), (-1+1*r5), 0, (3-1*r5)]
(2072, 2215, 2348, 946, 1984, 449, 1986, 451, 1479, 847, 856, 2137, 90, 745, 1900, 110, 1391, 246, 1398, 2042)->[(-4+2*r5), 0, (3-1*r5), (-1+1*r5)]
(1158, 1042, 405, 917, 151, 1941, 921, 1950, 801, 1697, 1699, 39, 203, 1239, 1367, 2272, 227, 1260, 2030, 1790)->[(-6+2*r5), 0, 0, 0]
(1030, 2312, 2200, 672, 1186, 2104, 568, 1210, 1600, 1231, 346, 354, 611, 231, 2023, 875, 1773, 1136, 1521, 2298)->[0, (4-2*r5), (1-1*r5), (-3+1*r5)]
(1541, 1672, 13, 526, 14, 2068, 1813, 1316, 805, 1063, 1447, 44, 559, 2363, 2368, 2115, 1641, 2154, 1899, 494)->[(3-1*r5), (-3+1*r5), (3-1*r5), (-3+1*r5)]
(520, 1929, 1034, 1038, 149, 1567, 1713, 1586, 1976, 2361, 320, 1484, 718, 1003, 1006, 367, 887, 1911, 2297, 1403)->[0, (1-1*r5), (3-1*r5), (4-2*r5)]
(1665, 392, 401, 1297, 1054, 159, 2098, 1847, 2367, 68, 712, 980, 1237, 2008, 1114, 1635, 2275, 2278, 1148, 2303)->[(1-1*r5), (3-1*r5), 0, (-4+2*r5)]
(1537, 1803, 269, 1556, 1437, 2206, 1845, 2247, 1226, 459, 1101, 1234, 1113, 349, 1630, 613, 1509, 1895, 1390, 754)->[(4-2*r5), 0, (-3+1*r5), (1-1*r5)]
(1287, 1545, 923, 1310, 2334, 675, 1591, 954, 1861, 2123, 465, 1109, 472, 1244, 865, 872, 2153, 1011, 247, 1533)->[(1-1*r5), (-3+1*r5), 0, (-4+2*r5)]
(384, 10, 2318, 1321, 1450, 1962, 2225, 824, 574, 716, 845, 2385, 859, 2268, 2018, 870, 751, 241, 2290, 1395)->[(-3+1*r5), (-3+1*r5), (3-1*r5), (-3+1*r5)]
(1410, 1669, 24, 1049, 1050, 28, 1955, 1574, 430, 178, 51, 179, 1859, 1220, 1349, 2384, 2139, 1116, 489, 1916)->[(-4+2*r5), (3-1*r5), (-1+1*r5), 0]
(897, 1923, 2320, 1425, 279, 1444, 2347, 1712, 1459, 190, 710, 468, 734, 2142, 1121, 2017, 614, 871, 2161, 1917)->[(-3+1*r5), (3-1*r5), (-3+1*r5), (-3+1*r5)]
