(0, 844, 1632, 319)->[(-3+1*r5), (-1-1*r5), (1+1*r5), (-1-1*r5)]
(0, 1898, 844, 1969, 2171, 319)->[(1-1*r5), (-1-1*r5), 4, (0-2*r5)]
(0, 1505, 1632, 425, 1308, 319)->[(1-1*r5), -4, (0+2*r5), (-1-1*r5)]
(0, 1153, 425, 1969, 722, 2355, 1239, 2171, 1308, 319)->[-2, (-1-1*r5), (3+1*r5), -4]
(0, 1152, 2, 1153, 2088, 425, 1969, 306, 690, 1342, 1856, 458, 1359, 722, 89, 351, 1376, 619, 629, 759)->[(-1-1*r5), (-1-1*r5), (1+1*r5), (-1-1*r5)]
(0, 1505, 1632, 2088, 425, 629, 216, 1818, 1565, 1342)->[-2, (-3-1*r5), 4, (-1-1*r5)]
(0, 1632, 2088, 844, 312, 1565)->[(1-1*r5), (0-2*r5), (1+1*r5), -4]
(0, 2088, 1898, 619, 844, 752, 1969, 306, 312, 1470)->[-2, -4, (1+1*r5), (-3-1*r5)]
(80, 489, 1459, 585)->[-2, -4, (-1-1*r5), (1-1*r5)]
(2282, 1747, 1581, 1463)->[2, (-1+1*r5), -4, (-1-1*r5)]
(1656, 1098, 1723, 1364)->[2, -2, -2, (0-2*r5)]
(1908, 1178, 388, 2294)->[(0+2*r5), (-1-1*r5), (1-1*r5), 0]
(1056, 1209, 1521, 686)->[(3-1*r5), 0, (3+1*r5), -2]
(1218, 146, 1332, 565)->[(-3+1*r5), -2, 0, (3+1*r5)]
(2385, 410, 644, 687)->[4, (-1+1*r5), (1+1*r5), -2]
(1121, 1386, 2257, 1575)->[(3-1*r5), (-3-1*r5), 2, 0]
(2016, 1674, 606, 2055)->[(1-1*r5), (1-1*r5), (-1+1*r5), (3+1*r5)]
(2328, 1713, 683, 2117)->[(0+2*r5), 2, -2, -2]
(121, 1365, 949, 1614)->[-4, (1+1*r5), -2, (1-1*r5)]
(1737, 571, 141, 1623)->[(1+1*r5), (-1-1*r5), (-1-1*r5), (3-1*r5)]
(609, 1530, 2053, 621)->[(-3-1*r5), -2, (-3+1*r5), 0]
(1066, 1055, 765, 727)->[-2, 2, -2, (0-2*r5)]
(2192, 345, 1681, 443)->[(-1+1*r5), (-3-1*r5), (1-1*r5), (1-1*r5)]
(1582, 261, 1046, 2223)->[(-1-1*r5), 0, (1-1*r5), (0-2*r5)]
(1664, 2208, 2377, 94)->[(1+1*r5), (1-1*r5), (0+2*r5), 0]
(846, 237, 422, 2073)->[(3+1*r5), (-1+1*r5), (1-1*r5), (-1+1*r5)]
(152, 2141, 742, 1822)->[(-1-1*r5), 2, 4, (1-1*r5)]
(1256, 378, 1419, 2080)->[(1+1*r5), (-1+1*r5), (0-2*r5), 0]
(2032, 2156, 300, 1350)->[(1+1*r5), (-1-1*r5), (-3+1*r5), (1+1*r5)]
(232, 2201, 2368, 1135)->[(0+2*r5), -2, -2, 2]
(387, 2326, 1478, 1039)->[(-3+1*r5), (-1-1*r5), (1+1*r5), (1+1*r5)]
(1545, 1370, 1243, 2386)->[(-3-1*r5), (1-1*r5), (-1+1*r5), (1-1*r5)]
(2330, 2077, 2139, 125)->[2, 2, 2, (0+2*r5)]
(1128, 273, 2298, 820)->[(3-1*r5), (3+1*r5), -2, 0]
(1138, 1859, 534, 2047)->[(3+1*r5), -2, (3-1*r5), 0]
(899, 84, 973, 367)->[(1-1*r5), -4, 2, (1+1*r5)]
(2392, 1401, 939, 444)->[0, (3-1*r5), -2, (-3-1*r5)]
(1637, 1554, 211, 61)->[(-1+1*r5), (-1+1*r5), (-3-1*r5), (-1+1*r5)]
(809, 1491, 2165, 1231)->[(-1+1*r5), 2, (1+1*r5), 4]
(1043, 35, 741, 195)->[-2, (1+1*r5), (-1+1*r5), -4]
(1616, 1377, 380, 1190)->[(1-1*r5), (1-1*r5), (-1+1*r5), (-3-1*r5)]
(2046, 2058, 541, 1646)->[(-1-1*r5), (1-1*r5), (0-2*r5), 0]
(1368, 2228, 877, 1663)->[-4, 2, (1-1*r5), (1+1*r5)]
(1736, 2086, 117, 1830)->[0, (-1+1*r5), (-1-1*r5), (0-2*r5)]
(1323, 699, 1579, 455)->[(1-1*r5), 0, (0-2*r5), (-1-1*r5)]
(936, 937, 1105, 1578)->[(1-1*r5), 2, (-1-1*r5), 4]
(2162, 1403, 941, 1262)->[4, 2, (-1+1*r5), (-1-1*r5)]
(1254, 1971, 1116, 974)->[4, (-1+1*r5), (1+1*r5), 2]
(668, 813, 1590, 679)->[(1+1*r5), (3-1*r5), (1+1*r5), (-1-1*r5)]
(808, 1700, 790, 231)->[(0-2*r5), -2, -2, -2]
(904, 1249, 1802, 2365)->[4, -2, (1-1*r5), (-1-1*r5)]
(217, 2250, 815, 143)->[4, (-1-1*r5), -2, (-1+1*r5)]
(1888, 2114, 1683, 310)->[(-1+1*r5), -4, -2, (1+1*r5)]
(1650, 517, 445, 1326)->[(-1+1*r5), (0+2*r5), (1+1*r5), 0]
(1672, 505, 523, 759)->[(0-2*r5), -2, 2, -2]
(1482, 1894, 1119, 407)->[(-3-1*r5), (1-1*r5), (-1+1*r5), (-1+1*r5)]
(2280, 876, 2356, 423)->[(1+1*r5), (1+1*r5), (-3+1*r5), (-1-1*r5)]
(465, 650, 43, 1874)->[0, -2, (-3-1*r5), (3-1*r5)]
(1864, 1507, 532, 1173)->[(-3-1*r5), (-3+1*r5), 0, -2]
(625, 42, 1895, 1359)->[(-1-1*r5), (-1-1*r5), (1+1*r5), (-3+1*r5)]
(1705, 459, 1198, 2345)->[(1+1*r5), -4, (1-1*r5), 2]
(873, 859, 1233, 1671)->[(0-2*r5), 0, (1+1*r5), (-1+1*r5)]
(17, 385, 1169, 149)->[-4, (1-1*r5), (-1-1*r5), -2]
(1378, 1395, 1762, 845)->[2, (3-1*r5), (3+1*r5), 0]
(1514, 2150, 21, 1949)->[0, (-3-1*r5), (-3+1*r5), -2]
(201, 1251, 805, 655)->[0, 0, 4, -4]
(480, 970, 395, 1271)->[(-3+1*r5), (-3-1*r5), -2, 0]
(168, 1890, 1156, 2122)->[(1+1*r5), (-1-1*r5), (3-1*r5), (1+1*r5)]
(689, 659, 1067, 447)->[(3-1*r5), (1+1*r5), (-1-1*r5), (1+1*r5)]
(159, 2108, 254, 151)->[(-1+1*r5), (1+1*r5), 0, (0+2*r5)]
(864, 2138, 2299, 2184)->[(1+1*r5), (1+1*r5), (1+1*r5), (3-1*r5)]
(1602, 131, 1268, 991)->[(-3+1*r5), (3+1*r5), 2, 0]
(506, 2325, 652, 1717)->[(0+2*r5), -2, 2, 2]
(2297, 908, 38, 1542)->[4, (-1+1*r5), (-1-1*r5), 2]
(1456, 172, 1494, 836)->[(3+1*r5), (3-1*r5), 0, 2]
(360, 2373, 661, 1127)->[-2, (0+2*r5), 2, -2]
(1512, 2104, 1467, 1573)->[2, (-3-1*r5), 0, (3-1*r5)]
(2347, 922, 843, 430)->[-2, (-1-1*r5), (-1+1*r5), 4]
(1464, 572, 740, 558)->[(3-1*r5), (3+1*r5), 2, 0]
(2129, 1651, 1689, 1187)->[2, -4, (1+1*r5), (-1+1*r5)]
(2126, 721, 1147, 1974)->[(-1+1*r5), 0, (0+2*r5), (1+1*r5)]
(563, 1508, 2251, 479)->[0, (0+2*r5), (-1+1*r5), (1+1*r5)]
(2369, 153, 257, 615)->[(-1+1*r5), (-3-1*r5), (-1+1*r5), (1-1*r5)]
(1753, 186, 2083, 802)->[(-1-1*r5), (0+2*r5), 0, (1-1*r5)]
(2366, 769, 1670, 487)->[-2, -2, 2, (0+2*r5)]
(296, 1809, 1266, 1477)->[(1+1*r5), 2, 4, (-1+1*r5)]
(1641, 1003, 646, 495)->[-4, 0, 0, 4]
(2308, 1676, 1165, 630)->[(0-2*r5), (-1-1*r5), (1-1*r5), 0]
(1921, 1090, 28, 1886)->[(0-2*r5), (1-1*r5), 0, (1+1*r5)]
(2191, 1305, 498, 1337)->[(1+1*r5), (0+2*r5), 0, (-1+1*r5)]
(1913, 810, 1638, 2361)->[2, (-1+1*r5), 4, (1+1*r5)]
(1633, 842, 1732, 1957)->[(-1+1*r5), (1-1*r5), (-1+1*r5), (-3-1*r5)]
(1801, 1834, 2327, 775)->[-2, (-3-1*r5), 0, (3-1*r5)]
