(0, 130, 3, 10, 279, 154, 27, 285, 160, 37, 44, 182, 193, 196, 72, 200, 86, 91, 221, 94, 111, 241, 123, 125)->[0, 0, (396-280*r2), 0]
(0, 3, 261, 10, 24, 27, 32, 171, 44, 175, 49, 194, 67, 68, 195, 70, 196, 200, 216, 224, 98, 251, 112, 123)->[(-198+140*r2), (-198+140*r2), (-280+198*r2), 0]
(0, 259, 10, 271, 32, 41, 174, 47, 176, 178, 187, 61, 65, 194, 195, 206, 223, 224, 225, 98, 102, 241, 251, 252)->[(280-198*r2), 0, (198-140*r2), (-198+140*r2)]
(0, 7, 142, 279, 34, 167, 46, 176, 183, 184, 187, 60, 65, 196, 206, 80, 86, 221, 224, 235, 111, 241, 252, 125)->[(-198+140*r2), (198-140*r2), (-280+198*r2), 0]
(257, 264, 13, 15, 144, 273, 19, 147, 277, 152, 26, 156, 285, 161, 180, 181, 182, 189, 191, 72, 81, 87, 101, 234)->[(-280+198*r2), 0, (198-140*r2), (198-140*r2)]
(132, 262, 137, 270, 146, 274, 150, 30, 35, 166, 40, 42, 170, 177, 50, 51, 57, 208, 83, 213, 103, 243, 253, 254)->[0, (280-198*r2), (-198+140*r2), (198-140*r2)]
(3, 259, 260, 266, 272, 17, 24, 283, 36, 171, 48, 52, 192, 67, 195, 200, 75, 210, 216, 94, 96, 98, 114, 245)->[0, (280-198*r2), (198-140*r2), (-198+140*r2)]
(135, 263, 139, 15, 273, 147, 21, 151, 157, 287, 172, 188, 190, 69, 197, 199, 82, 220, 97, 231, 109, 119, 120, 126)->[(-280+198*r2), (-280+198*r2), 0, 0]
(4, 265, 267, 269, 271, 16, 20, 178, 55, 56, 186, 71, 201, 203, 209, 211, 214, 226, 102, 104, 240, 113, 116, 246)->[(280-198*r2), 0, (-198+140*r2), (-198+140*r2)]
(129, 2, 130, 261, 137, 23, 24, 27, 156, 35, 171, 175, 49, 180, 68, 73, 208, 84, 87, 89, 222, 245, 249, 123)->[0, (280-198*r2), (198-140*r2), (198-140*r2)]
(134, 11, 139, 140, 141, 143, 275, 278, 25, 28, 286, 287, 39, 169, 179, 185, 58, 85, 99, 105, 106, 115, 120, 121)->[(-280+198*r2), 0, (-198+140*r2), (-198+140*r2)]
(129, 2, 257, 258, 12, 268, 150, 33, 164, 168, 170, 45, 64, 81, 89, 90, 92, 228, 101, 107, 118, 248, 254, 255)->[0, 0, 0, (396-280*r2)]
(128, 256, 12, 142, 19, 21, 277, 31, 34, 46, 181, 184, 60, 193, 197, 199, 78, 80, 88, 90, 92, 221, 229, 125)->[0, (-280+198*r2), (198-140*r2), (198-140*r2)]
(256, 7, 16, 145, 34, 38, 167, 41, 173, 53, 183, 62, 65, 76, 204, 206, 80, 214, 218, 226, 235, 108, 236, 247)->[(280-198*r2), (-280+198*r2), 0, 0]
(132, 5, 6, 133, 8, 9, 136, 270, 275, 149, 280, 281, 30, 162, 43, 219, 93, 95, 99, 104, 106, 240, 246, 127)->[0, 0, (-396+280*r2), 0]
(276, 282, 32, 174, 175, 49, 51, 192, 194, 67, 70, 71, 203, 211, 213, 216, 217, 222, 227, 100, 232, 112, 242, 253)->[(280-198*r2), (280-198*r2), 0, 0]
(131, 13, 144, 155, 286, 36, 39, 48, 52, 57, 66, 73, 74, 205, 84, 85, 212, 103, 234, 110, 243, 117, 249, 124)->[(-280+198*r2), (280-198*r2), 0, 0]
(1, 7, 14, 142, 18, 153, 165, 167, 172, 47, 176, 184, 187, 190, 202, 77, 86, 218, 91, 97, 229, 250, 111, 122)->[0, (-280+198*r2), (198-140*r2), (-198+140*r2)]
(6, 134, 263, 14, 22, 165, 38, 43, 173, 179, 55, 56, 185, 69, 198, 201, 202, 95, 230, 233, 108, 237, 244, 126)->[0, (-280+198*r2), (-198+140*r2), (-198+140*r2)]
(264, 140, 17, 18, 278, 25, 154, 26, 159, 160, 161, 37, 63, 205, 210, 96, 231, 250, 109, 110, 238, 117, 119, 122)->[(-280+198*r2), 0, (198-140*r2), (-198+140*r2)]
(131, 135, 8, 9, 136, 268, 141, 274, 151, 152, 284, 157, 29, 166, 177, 58, 59, 189, 191, 64, 74, 107, 121, 124)->[(-280+198*r2), 0, (-198+140*r2), (198-140*r2)]
(138, 267, 269, 146, 20, 148, 276, 280, 281, 33, 163, 42, 45, 53, 54, 62, 79, 83, 215, 219, 228, 232, 242, 247)->[(280-198*r2), 0, (-198+140*r2), (198-140*r2)]
(258, 255, 133, 138, 145, 284, 29, 31, 162, 59, 188, 198, 204, 78, 79, 82, 215, 88, 220, 230, 236, 244, 248, 127)->[0, (-280+198*r2), (-198+140*r2), (198-140*r2)]
(128, 261, 148, 23, 279, 282, 163, 164, 168, 44, 46, 54, 183, 60, 68, 196, 70, 76, 224, 235, 112, 118, 251, 252)->[(280-198*r2), 0, (198-140*r2), (198-140*r2)]
(260, 5, 262, 265, 266, 11, 272, 149, 155, 158, 40, 50, 186, 66, 207, 209, 212, 217, 93, 227, 100, 105, 239, 115)->[0, (280-198*r2), (-198+140*r2), (-198+140*r2)]
(1, 4, 143, 22, 153, 283, 28, 158, 159, 169, 61, 63, 75, 77, 207, 223, 225, 233, 237, 238, 239, 113, 114, 116)->[0, 0, 0, (-396+280*r2)]
