(0, 1, 5, 8, 11, 13, 18, 20, 21, 36, 48, 58, 69, 70, 71, 76, 77, 78, 79, 83, 88, 91, 93, 95)->[4, -4, 0, 0]
(0, 32, 34, 36, 11, 13, 48, 83, 53, 87, 24, 89)->[4, 0, 0, 4]
(0, 34, 11, 77, 47, 79, 17, 20, 85, 55, 58, 28)->[4, 0, -4, 0]
(0, 2, 4, 7, 9, 23, 28, 31, 34, 38, 42, 46, 47, 48, 49, 53, 62, 63, 64, 79, 85, 87, 89, 93)->[0, 0, -4, 4]
(1, 6, 15, 18, 22, 25, 26, 27, 30, 35, 37, 44, 52, 54, 60, 65, 67, 68, 71, 72, 86, 88, 92, 94)->[0, 0, 4, -4]
(3, 5, 6, 9, 14, 16, 17, 26, 27, 28, 29, 31, 35, 41, 47, 51, 55, 57, 58, 73, 75, 77, 82, 95)->[0, 0, -4, -4]
(8, 10, 12, 19, 24, 32, 36, 40, 43, 45, 50, 60, 61, 63, 64, 65, 74, 78, 83, 84, 86, 87, 89, 92)->[0, 0, 4, 4]
(7, 15, 16, 19, 23, 30, 33, 39, 41, 43, 45, 46, 49, 51, 52, 54, 56, 57, 59, 66, 74, 80, 81, 90)->[-4, 4, 0, 0]
(3, 4, 11, 13, 14, 17, 20, 21, 24, 25, 32, 33, 34, 37, 39, 40, 53, 55, 68, 80, 84, 85, 90, 94)->[4, 4, 0, 0]
(2, 10, 12, 22, 29, 38, 42, 44, 50, 56, 59, 61, 62, 66, 67, 69, 70, 72, 73, 75, 76, 81, 82, 91)->[-4, -4, 0, 0]
(1, 3, 68, 37, 71, 77, 17, 20, 21, 26, 27, 95)->[4, 0, 0, -4]
(65, 40, 45, 80, 19, 52, 84, 94, 25, 90, 60, 30)->[0, 4, 4, 0]
(64, 38, 10, 43, 42, 74, 49, 50, 81, 23, 56, 63)->[-4, 0, 0, 4]
(69, 8, 72, 12, 76, 78, 18, 22, 86, 88, 92, 61)->[0, -4, 4, 0]
(66, 35, 67, 6, 41, 75, 44, 15, 54, 57, 59, 29)->[-4, 0, 0, -4]
(33, 4, 7, 39, 9, 14, 46, 16, 51, 85, 55, 28)->[0, 4, -4, 0]
(2, 5, 70, 73, 47, 79, 82, 58, 91, 93, 62, 31)->[0, -4, -4, 0]
(3, 68, 90, 6, 39, 14, 15, 16, 25, 26, 30, 57)->[0, 4, 0, -4]
(65, 66, 67, 72, 43, 45, 50, 52, 54, 56, 92, 61)->[-4, 0, 4, 0]
(35, 5, 70, 71, 75, 44, 76, 18, 82, 22, 27, 95)->[0, -4, 0, -4]
(9, 42, 41, 73, 46, 49, 81, 51, 59, 29, 62, 31)->[-4, 0, -4, 0]
(1, 37, 13, 78, 83, 84, 21, 86, 24, 88, 60, 94)->[4, 0, 4, 0]
(32, 33, 4, 7, 40, 74, 80, 19, 53, 87, 23, 63)->[0, 4, 0, 4]
(64, 2, 36, 69, 38, 8, 10, 12, 48, 89, 91, 93)->[0, -4, 0, 4]
