(0, 7, 39, 12, 44, 14, 20, 22, 23, 27, 28, 30)->[0, 0, 4, 4]
(0, 32, 35, 7, 22, 25)->[0, -4, 4, 0]
(0, 37, 7, 39, 42, 14, 17, 21, 23, 25, 26, 28)->[4, 0, 4, 0]
(0, 1, 32, 4, 36, 9, 42, 14, 46, 17, 21, 25)->[0, 0, 4, -4]
(0, 1, 32, 4, 9, 11, 44, 45, 14, 22, 27, 30)->[-4, 0, 4, 0]
(34, 35, 37, 7, 43, 15, 47, 21, 23, 25, 26, 31)->[4, -4, 0, 0]
(3, 37, 38, 39, 10, 42, 16, 17, 18, 19, 26, 28)->[4, 4, 0, 0]
(32, 1, 33, 35, 5, 6, 41, 11, 43, 45, 22, 27)->[-4, -4, 0, 0]
(2, 34, 36, 5, 6, 8, 40, 46, 47, 16, 18, 24)->[0, 0, -4, -4]
(33, 3, 38, 8, 40, 41, 12, 13, 15, 20, 29, 31)->[0, 0, -4, 4]
(2, 4, 9, 10, 11, 44, 13, 45, 19, 24, 29, 30)->[-4, 4, 0, 0]
(1, 2, 4, 36, 6, 11)->[-4, 0, 0, -4]
(34, 37, 46, 16, 17, 21)->[4, 0, 0, -4]
(9, 10, 42, 44, 14, 28)->[0, 4, 4, 0]
(38, 39, 15, 20, 23, 26)->[4, 0, 0, 4]
(5, 40, 41, 43, 47, 31)->[0, -4, -4, 0]
(3, 8, 13, 18, 19, 24)->[0, 4, -4, 0]
(33, 12, 45, 27, 29, 30)->[-4, 0, 0, 4]
(32, 1, 34, 35, 36, 5, 6, 43, 46, 47, 21, 25)->[0, -4, 0, -4]
(2, 4, 36, 9, 10, 42, 46, 16, 17, 18, 19, 24)->[0, 4, 0, -4]
(3, 38, 39, 10, 12, 13, 44, 19, 20, 28, 29, 30)->[0, 4, 0, 4]
(34, 3, 37, 38, 8, 40, 15, 16, 47, 18, 26, 31)->[4, 0, -4, 0]
(33, 2, 5, 6, 8, 40, 41, 11, 13, 45, 24, 29)->[-4, 0, -4, 0]
(33, 35, 7, 41, 43, 12, 15, 20, 22, 23, 27, 31)->[0, -4, 0, 4]
