(2, 547, 164, 168, 564, 409)->[-6, -2, 0, -2*r2]
(196, 86, 25, 443, 92, 222)->[4, 4, 2*r2, 2*r2]
(288, 301, 463, 559, 532, 284)->[-2, 2, -2*r2, 4*r2]
(66, 130, 552, 431, 497, 248)->[-2, -6, 0, 2*r2]
(129, 162, 68, 141, 538, 122)->[-4, 0, -4*r2, 0]
(384, 391, 522, 274, 187, 124)->[0, -4, 4*r2, 0]
(4, 487, 204, 17, 149, 255)->[-4, 4, 2*r2, -2*r2]
(64, 321, 491, 332, 536, 62)->[4, 4, -2*r2, 2*r2]
(418, 67, 331, 178, 340, 159)->[-4, -4, 2*r2, -2*r2]
(448, 544, 452, 71, 183, 317)->[2, -2, -2*r2, 4*r2]
(554, 269, 273, 114, 154, 95)->[-2, 6, 0, 2*r2]
(266, 171, 108, 173, 14, 212)->[-6, -2, 0, 2*r2]
(134, 233, 365, 241, 151, 543)->[2, 2, 4*r2, 2*r2]
(225, 38, 232, 139, 20, 29)->[6, 2, -2*r2, 0]
(256, 35, 203, 567, 155, 574)->[-4, 4, -2*r2, 2*r2]
(3, 327, 397, 174, 182, 408)->[2, 6, -2*r2, 0]
(417, 555, 268, 84, 283, 511)->[0, 4, 0, -4*r2]
(548, 454, 551, 334, 569, 249)->[2, -2, -4*r2, -2*r2]
(450, 195, 16, 24, 539, 383)->[-2, -6, -2*r2, 0]
(290, 451, 303, 470, 410, 413)->[6, -2, 2*r2, 0]
(227, 369, 438, 506, 285, 414)->[-2, -2, -4*r2, 2*r2]
(2, 383, 10, 266, 13, 14, 15, 16, 147, 24, 409, 282, 159, 289, 418, 547, 164, 298, 171, 431, 436, 181, 184, 191, 66, 67, 194, 195, 323, 455, 202, 460, 80, 337, 340, 344, 218, 350, 352, 357, 108, 508, 497, 248, 505, 380, 509, 127)->[-2*r2, -2*r2, 0, 0]
(512, 135, 525, 272, 146, 19, 278, 410, 540, 413, 158, 31, 160, 286, 34, 163, 36, 165, 293, 415, 43, 303, 48, 304, 563, 55, 441, 316, 61, 322, 198, 201, 462, 470, 216, 475, 97, 99, 100, 364, 492, 493, 111, 115, 244, 245, 381, 510)->[2*r2, -2*r2, 0, 0]
(130, 258, 132, 262, 390, 391, 519, 522, 11, 140, 400, 274, 148, 158, 34, 422, 552, 42, 427, 300, 428, 175, 177, 306, 563, 439, 184, 314, 187, 61, 445, 320, 65, 333, 88, 344, 347, 478, 479, 352, 97, 239, 113, 497, 499, 245, 248, 509)->[0, -2*r2, 2, 2]
(259, 139, 12, 267, 270, 272, 536, 153, 26, 29, 33, 38, 553, 43, 176, 183, 58, 570, 316, 317, 62, 318, 444, 193, 321, 322, 452, 69, 575, 71, 72, 330, 332, 461, 206, 335, 466, 214, 475, 94, 224, 232, 489, 490, 236, 496, 115, 378)->[2*r2, 0, -2, 2]
(4, 389, 265, 511, 268, 524, 526, 17, 145, 275, 402, 149, 534, 280, 283, 30, 287, 550, 423, 555, 45, 302, 433, 186, 442, 573, 446, 325, 326, 453, 200, 336, 81, 211, 468, 85, 471, 474, 476, 221, 223, 98, 230, 117, 118, 375, 253, 255)->[0, 2*r2, 2, -2]
(385, 2, 513, 4, 133, 514, 523, 396, 524, 275, 404, 149, 23, 407, 409, 546, 291, 292, 420, 168, 558, 561, 178, 435, 52, 564, 573, 194, 67, 324, 455, 328, 331, 204, 77, 464, 467, 340, 217, 473, 223, 481, 487, 363, 112, 240, 501, 374)->[-2*r2, 0, 2, -2]
(516, 135, 521, 13, 398, 271, 16, 18, 278, 406, 282, 539, 548, 165, 40, 430, 47, 434, 307, 59, 315, 450, 197, 454, 199, 460, 78, 334, 337, 82, 338, 341, 343, 93, 353, 484, 358, 103, 359, 488, 492, 110, 379, 244, 249, 123, 510, 383)->[0, -2*r2, -2, -2]
(392, 10, 141, 143, 406, 535, 281, 157, 162, 546, 164, 547, 295, 168, 426, 557, 46, 434, 179, 52, 53, 54, 307, 562, 57, 564, 60, 191, 68, 199, 73, 467, 89, 346, 219, 350, 480, 481, 226, 355, 482, 484, 110, 242, 246, 505, 122, 507)->[-2*r2, 0, -2, -2]
(513, 386, 133, 6, 261, 518, 399, 144, 530, 276, 533, 407, 535, 283, 287, 417, 545, 37, 39, 170, 426, 302, 47, 430, 53, 54, 60, 189, 324, 197, 325, 329, 205, 84, 343, 471, 217, 93, 96, 482, 362, 240, 498, 243, 372, 503, 379, 511)->[0, 0, 0, -4]
(3, 517, 265, 268, 397, 143, 144, 145, 531, 150, 537, 27, 156, 416, 161, 417, 296, 41, 170, 555, 556, 174, 432, 433, 51, 310, 57, 313, 189, 327, 329, 74, 83, 84, 346, 91, 219, 474, 477, 480, 354, 355, 356, 105, 367, 368, 252, 126)->[0, 2*r2, -2, -2]
