(0, 3, 4, 37, 7, 8, 9, 39, 47, 18, 19, 28)->[0, 0, -4, -4]
(0, 33, 4, 7, 41, 44)->[-4, 0, -4, 0]
(0, 1, 4, 5, 38, 8, 41, 45, 14, 18, 19, 28)->[0, 4, -4, 0]
(0, 36, 7, 8, 9, 39, 44, 47, 16, 24, 27, 30)->[0, -4, -4, 0]
(0, 1, 36, 5, 8, 41, 10, 44, 45, 24, 26, 27)->[0, 0, -4, 4]
(33, 34, 4, 5, 6, 38, 40, 41, 14, 25, 28, 31)->[-4, 4, 0, 0]
(32, 33, 2, 34, 35, 36, 7, 9, 44, 16, 22, 30)->[-4, -4, 0, 0]
(1, 38, 42, 12, 13, 14, 45, 46, 18, 19, 21, 29)->[4, 4, 0, 0]
(2, 3, 35, 37, 40, 42, 43, 15, 17, 21, 23, 31)->[0, 0, 4, -4]
(32, 6, 10, 11, 46, 15, 17, 20, 22, 25, 26, 29)->[0, 0, 4, 4]
(39, 11, 12, 13, 43, 47, 16, 20, 23, 24, 27, 30)->[4, -4, 0, 0]
(5, 38, 6, 45, 46, 26)->[0, 4, 0, 4]
(32, 36, 10, 16, 20, 27)->[0, -4, 0, 4]
(2, 37, 9, 43, 47, 30)->[0, -4, 0, -4]
(1, 39, 8, 12, 18, 24)->[4, 0, -4, 0]
(34, 35, 40, 15, 22, 25)->[-4, 0, 4, 0]
(42, 11, 13, 17, 23, 29)->[4, 0, 4, 0]
(3, 14, 19, 21, 28, 31)->[0, 4, 0, -4]
(1, 10, 11, 12, 13, 45, 46, 20, 24, 26, 27, 29)->[4, 0, 0, 4]
(32, 33, 34, 36, 5, 6, 41, 10, 44, 22, 25, 26)->[-4, 0, 0, 4]
(33, 2, 3, 4, 34, 35, 7, 37, 9, 40, 28, 31)->[-4, 0, 0, -4]
(6, 38, 40, 42, 14, 15, 46, 17, 21, 25, 29, 31)->[0, 4, 4, 0]
(32, 2, 35, 11, 43, 15, 16, 17, 20, 22, 23, 30)->[0, -4, 4, 0]
(3, 37, 39, 42, 43, 12, 13, 47, 18, 19, 21, 23)->[4, 0, 0, -4]
