(0, 518, 135, 140, 524, 400, 530, 19, 408, 414, 160, 565, 54, 61, 192, 324, 207, 338, 212, 352, 360, 491, 510, 127)->[2*r2, 2*r2, -4, 0]
(0, 192, 386, 199, 267, 204, 303, 400, 527, 54, 185, 220)->[2*r2, 0, -6, -2]
(0, 192, 324, 199, 303, 571)->[2, 2, -4*r2, -2*r2]
(0, 400, 25, 296, 171, 555, 437, 439, 568, 185, 190, 319, 199, 455, 204, 82, 212, 220, 352, 487, 232, 234, 112, 124)->[4, 0, -2*r2, -2*r2]
(0, 448, 35, 324, 199, 455, 140, 112, 212, 404, 571, 124)->[2*r2, 2*r2, -4, -4]
(2, 258, 270, 143, 15, 532, 149, 153, 548, 166, 422, 554, 309, 184, 442, 194, 326, 83, 211, 475, 96, 231, 489, 379)->[-2*r2, -2*r2, 0, 4]
(257, 18, 279, 539, 284, 28, 543, 165, 41, 173, 174, 48, 177, 563, 209, 469, 216, 362, 235, 364, 114, 371, 375, 376)->[0, -4*r2, 0, 0]
(278, 23, 30, 34, 418, 547, 552, 426, 182, 188, 450, 323, 68, 70, 329, 457, 468, 470, 215, 217, 233, 369, 380, 255)->[-2*r2, -2*r2, 4, 0]
(516, 395, 273, 529, 404, 536, 155, 32, 35, 297, 171, 312, 206, 85, 348, 354, 487, 104, 363, 492, 112, 113, 124, 253)->[2*r2, 2*r2, 0, -4]
(512, 386, 133, 137, 534, 407, 154, 544, 417, 36, 170, 303, 437, 185, 315, 571, 448, 199, 72, 455, 345, 358, 368, 115)->[0, 0, -4, -4]
(389, 399, 24, 540, 286, 553, 301, 304, 435, 180, 187, 193, 76, 462, 81, 465, 472, 219, 223, 230, 488, 361, 240, 383)->[-4*r2, 0, 0, 0]
(1, 401, 25, 411, 291, 550, 168, 296, 176, 434, 436, 439, 59, 572, 449, 466, 84, 484, 103, 234, 365, 116, 372, 505)->[4*r2, 0, 0, 0]
(131, 134, 8, 396, 275, 20, 152, 283, 27, 542, 161, 549, 40, 557, 179, 310, 311, 73, 80, 350, 481, 226, 486, 502)->[-2*r2, -2*r2, 0, -4]
(138, 11, 266, 267, 527, 146, 276, 405, 409, 555, 432, 178, 306, 202, 204, 82, 86, 89, 220, 225, 359, 108, 109, 497)->[2*r2, -2*r2, -4, 0]
(387, 515, 394, 21, 533, 537, 156, 51, 308, 441, 316, 65, 322, 335, 474, 478, 351, 353, 245, 374, 249, 250, 251, 125)->[-2*r2, 2*r2, -4, 0]
(3, 5, 390, 392, 520, 148, 294, 167, 169, 430, 558, 440, 444, 452, 331, 334, 79, 95, 355, 485, 102, 244, 504, 378)->[-2*r2, 2*r2, 0, -4]
(129, 9, 139, 141, 16, 158, 37, 295, 556, 175, 181, 318, 196, 325, 71, 456, 340, 214, 344, 349, 99, 228, 483, 118)->[2*r2, -2*r2, 0, 4]
(385, 132, 6, 272, 402, 281, 39, 44, 433, 183, 568, 317, 190, 319, 197, 336, 337, 464, 467, 90, 232, 241, 121, 506)->[2*r2, -2*r2, 0, -4]
(128, 265, 525, 271, 403, 531, 277, 22, 31, 38, 425, 172, 429, 49, 562, 66, 453, 458, 341, 87, 218, 243, 119, 248)->[2*r2, -2*r2, 4, 0]
(397, 144, 538, 412, 288, 33, 416, 421, 43, 45, 559, 314, 574, 64, 459, 205, 210, 213, 347, 221, 477, 227, 246, 120)->[0, 0, 4, -4]
(256, 130, 522, 17, 282, 415, 546, 164, 42, 55, 56, 58, 443, 573, 447, 195, 201, 461, 346, 98, 101, 237, 494, 495)->[2*r2, 2*r2, 0, 4]
(260, 261, 517, 7, 10, 274, 150, 289, 545, 428, 302, 50, 307, 186, 198, 328, 333, 339, 242, 499, 500, 503, 508, 511)->[0, 0, 4, 4]
