(0, 386, 259, 255, 899, 519, 1041, 915, 23, 151, 666, 412, 924, 30, 926, 32, 36, 551, 425, 48, 179, 1075, 958, 575, 959, 193, 580, 462, 1104, 344, 729, 347, 220, 477, 479, 864, 226, 1122, 358, 747, 1131, 749, 877, 1007, 625, 886, 1018, 383)->[0, 2*r2, 2, 2]
(0, 32, 226, 451, 1004, 1135, 379, 1079, 858, 347, 220, 30)->[2*r2, 2*r2, 4, 4]
(0, 641, 134, 390, 902, 911, 1045, 24, 152, 665, 666, 792, 30, 799, 426, 684, 431, 179, 436, 695, 572, 958, 322, 451, 1096, 460, 588, 206, 334, 210, 86, 343, 599, 858, 348, 605, 479, 607, 999, 874, 236, 366, 373, 630, 886, 765, 1022, 383)->[2, 2, 0, 2*r2]
(0, 226, 1004, 749, 911, 858, 757, 666, 283, 605, 446, 799)->[4, 4, 2*r2, 2*r2]
(513, 132, 774, 392, 138, 14, 271, 400, 274, 531, 916, 918, 541, 670, 543, 291, 1062, 1066, 683, 558, 1072, 49, 1073, 693, 315, 187, 956, 320, 324, 713, 458, 77, 589, 975, 465, 721, 849, 341, 1113, 476, 738, 361, 109, 880, 1138, 500, 249, 634)->[-2*r2, 0, 2, 2]
(642, 131, 647, 1032, 394, 396, 909, 1036, 528, 659, 921, 411, 287, 672, 161, 418, 38, 935, 936, 41, 300, 46, 430, 433, 434, 821, 55, 57, 59, 447, 448, 832, 70, 842, 593, 850, 467, 470, 727, 227, 868, 997, 743, 237, 242, 890, 251, 1023)->[0, 0, -4, 0]
(518, 906, 267, 1039, 912, 529, 786, 403, 894, 406, 538, 794, 795, 674, 676, 1064, 44, 428, 694, 824, 185, 952, 60, 965, 583, 75, 332, 843, 469, 471, 474, 92, 100, 614, 231, 104, 1002, 363, 620, 878, 367, 879, 1009, 116, 117, 1141, 893, 510)->[0, -2*r2, 2, -2]
(128, 261, 134, 777, 1035, 398, 1045, 22, 665, 539, 923, 159, 31, 804, 435, 53, 183, 312, 951, 572, 573, 1088, 322, 196, 199, 714, 459, 204, 845, 210, 211, 600, 601, 96, 996, 615, 744, 1130, 366, 881, 1012, 630, 1015, 632, 761, 122, 1020, 638)->[2*r2, 0, -2, 2]
(3, 900, 780, 657, 785, 532, 405, 661, 153, 28, 413, 290, 805, 45, 429, 303, 559, 687, 1071, 51, 820, 1076, 310, 439, 1082, 831, 195, 69, 71, 1106, 1110, 472, 345, 89, 94, 735, 991, 354, 482, 866, 101, 1126, 619, 110, 239, 113, 754, 375)->[0, -2*r2, -2, 2]
(4, 1019, 778, 141, 525, 782, 401, 276, 150, 668, 1055, 673, 930, 165, 293, 1061, 685, 432, 178, 54, 697, 698, 444, 1086, 65, 455, 970, 716, 78, 463, 208, 1107, 597, 983, 475, 863, 1120, 993, 1121, 230, 875, 111, 499, 502, 506, 763, 253, 382)->[0, 0, 0, -4]
(514, 651, 397, 658, 798, 35, 677, 40, 937, 554, 688, 561, 562, 307, 689, 181, 692, 311, 947, 441, 443, 316, 700, 574, 960, 194, 67, 464, 592, 468, 854, 728, 856, 732, 95, 739, 484, 229, 871, 492, 623, 752, 244, 120, 762, 635, 637, 511)->[0, 2*r2, 2, -2]
(772, 517, 262, 646, 775, 393, 11, 781, 1038, 279, 408, 919, 26, 667, 29, 420, 678, 295, 43, 427, 812, 304, 822, 58, 962, 839, 1100, 333, 336, 723, 724, 851, 342, 346, 222, 352, 480, 867, 742, 233, 618, 745, 1001, 368, 114, 1140, 125, 126)->[0, -2*r2, -2, -2]
(1024, 898, 891, 390, 7, 892, 903, 10, 13, 653, 911, 784, 407, 791, 282, 34, 169, 684, 174, 1079, 953, 64, 450, 451, 578, 325, 327, 968, 1098, 588, 982, 858, 988, 606, 870, 872, 236, 1004, 495, 624, 751, 1135, 884, 373, 757, 119, 379, 764)->[2*r2, 0, 2, 2]
(256, 1025, 9, 523, 140, 142, 527, 1040, 275, 280, 27, 797, 286, 414, 288, 39, 807, 553, 810, 171, 299, 173, 944, 563, 52, 442, 955, 829, 192, 963, 72, 456, 840, 844, 847, 473, 1114, 97, 1124, 357, 362, 621, 241, 1137, 372, 1142, 1144, 1148)->[2*r2, -2*r2, 0, 0]
(512, 257, 258, 1026, 1027, 524, 654, 399, 783, 664, 549, 297, 682, 1067, 942, 1074, 567, 313, 314, 833, 834, 1091, 836, 200, 841, 205, 848, 976, 722, 978, 212, 855, 481, 609, 994, 740, 1123, 486, 488, 1132, 1005, 497, 755, 118, 631, 376, 377, 378)->[2*r2, 0, 2, -2]
