[0, 14]
[0, 16]
[0, 80]
[0, 104]
[1, 55]
[1, 75]
[1, 119]
[1, 148]
[2, 15]
[2, 108]
[2, 123]
[2, 154]
[3, 24]
[3, 109]
[3, 133]
[3, 187]
[4, 121]
[4, 155]
[4, 179]
[4, 183]
[5, 29]
[5, 85]
[5, 126]
[5, 184]
[6, 59]
[6, 112]
[6, 175]
[6, 176]
[7, 29]
[7, 82]
[7, 90]
[7, 184]
[8, 31]
[8, 44]
[8, 51]
[8, 105]
[9, 30]
[9, 60]
[9, 87]
[9, 167]
[10, 20]
[10, 33]
[10, 72]
[10, 94]
[11, 26]
[11, 35]
[11, 39]
[11, 62]
[12, 107]
[12, 115]
[12, 121]
[12, 183]
[13, 24]
[13, 141]
[13, 175]
[13, 187]
[14, 45]
[14, 95]
[14, 101]
[15, 124]
[15, 154]
[15, 162]
[16, 45]
[16, 104]
[16, 172]
[17, 45]
[17, 146]
[17, 149]
[17, 172]
[36, 98]
[36, 132]
[36, 134]
[36, 163]
[37, 75]
[37, 142]
[37, 148]
[37, 157]
[38, 114]
[38, 147]
[39, 62]
[39, 63]
[39, 139]
[40, 120]
[40, 132]
[40, 134]
[40, 165]
[41, 78]
[41, 114]
[41, 147]
[41, 180]
[42, 108]
[42, 123]
[42, 128]
[42, 152]
[43, 71]
[43, 88]
[44, 64]
[44, 97]
[18, 58]
[18, 61]
[18, 77]
[18, 150]
[19, 38]
[19, 83]
[19, 123]
[19, 128]
[20, 51]
[20, 94]
[20, 174]
[21, 49]
[21, 76]
[21, 120]
[21, 134]
[22, 44]
[22, 51]
[22, 97]
[22, 174]
[23, 52]
[23, 91]
[23, 102]
[23, 111]
[24, 137]
[24, 141]
[25, 69]
[25, 70]
[25, 130]
[25, 136]
[26, 43]
[26, 63]
[26, 68]
[27, 58]
[27, 74]
[27, 146]
[27, 182]
[28, 38]
[28, 83]
[28, 114]
[28, 164]
[29, 90]
[29, 155]
[30, 82]
[30, 107]
[30, 115]
[31, 56]
[31, 64]
[31, 125]
[32, 66]
[32, 96]
[32, 127]
[32, 140]
[33, 113]
[33, 151]
[33, 170]
[34, 56]
[34, 64]
[34, 118]
[34, 188]
[35, 43]
[35, 47]
[35, 84]
[45, 101]
[46, 54]
[46, 65]
[46, 117]
[46, 139]
[47, 71]
[47, 84]
[47, 92]
[48, 127]
[48, 140]
[48, 159]
[48, 185]
[49, 66]
[49, 76]
[49, 163]
[50, 67]
[50, 81]
[50, 130]
[50, 136]
[51, 105]
[52, 109]
[52, 133]
[52, 143]
[53, 87]
[53, 99]
[53, 167]
[53, 169]
[54, 62]
[54, 73]
[54, 139]
[55, 75]
[55, 168]
[55, 178]
[56, 125]
[56, 170]
[57, 137]
[57, 141]
[57, 166]
[57, 171]
[58, 74]
[58, 86]
[59, 141]
[59, 171]
[59, 175]
[60, 82]
[60, 167]
[60, 184]
[61, 77]
[61, 173]
[61, 189]
[62, 84]
[72, 89]
[72, 151]
[72, 174]
[73, 84]
[73, 92]
[74, 77]
[74, 149]
[75, 190]
[76, 96]
[76, 129]
[77, 191]
[78, 79]
[78, 153]
[78, 161]
[79, 124]
[79, 153]
[79, 162]
[80, 95]
[80, 150]
[80, 189]
[63, 68]
[63, 177]
[64, 118]
[65, 73]
[65, 92]
[65, 145]
[66, 96]
[66, 181]
[67, 100]
[67, 142]
[67, 157]
[68, 88]
[68, 116]
[69, 119]
[69, 178]
[69, 186]
[70, 119]
[70, 130]
[70, 148]
[71, 88]
[71, 135]
[81, 100]
[81, 131]
[81, 136]
[82, 115]
[83, 123]
[83, 154]
[85, 167]
[85, 169]
[85, 184]
[86, 95]
[86, 150]
[86, 182]
[87, 99]
[87, 107]
[88, 144]
[89, 97]
[89, 110]
[89, 174]
[90, 115]
[90, 183]
[91, 111]
[91, 112]
[91, 176]
[92, 135]
[93, 131]
[93, 168]
[93, 178]
[93, 186]
[94, 105]
[94, 113]
[95, 182]
[96, 156]
[97, 118]
[98, 140]
[98, 159]
[98, 181]
[99, 121]
[99, 179]
[100, 142]
[100, 158]
[101, 146]
[101, 182]
[102, 133]
[102, 160]
[102, 176]
[103, 120]
[103, 122]
[103, 129]
[103, 165]
[104, 173]
[104, 189]
[105, 125]
[106, 108]
[106, 124]
[106, 152]
[106, 153]
[107, 121]
[108, 124]
[109, 137]
[109, 143]
[110, 118]
[110, 151]
[110, 188]
[111, 138]
[111, 143]
[112, 138]
[112, 171]
[113, 125]
[113, 170]
[114, 161]
[116, 117]
[116, 144]
[116, 177]
[117, 145]
[117, 177]
[119, 178]
[120, 129]
[122, 127]
[122, 156]
[122, 185]
[126, 155]
[126, 169]
[126, 179]
[127, 156]
[128, 147]
[128, 152]
[129, 156]
[130, 157]
[131, 158]
[131, 186]
[132, 159]
[132, 165]
[133, 187]
[134, 163]
[144, 145]
[146, 149]
[147, 180]
[148, 157]
[149, 191]
[150, 189]
[151, 188]
[152, 180]
[135, 144]
[135, 145]
[136, 186]
[137, 166]
[138, 166]
[138, 171]
[139, 177]
[140, 181]
[142, 190]
[143, 166]
[153, 180]
[154, 164]
[155, 183]
[158, 168]
[158, 190]
[159, 185]
[160, 175]
[160, 176]
[160, 187]
[161, 162]
[161, 164]
[162, 164]
[163, 181]
[165, 185]
[168, 190]
[169, 179]
[170, 188]
[172, 173]
[172, 191]
[173, 191]
