(0, 3)
(0, 4)
(0, 9)
(0, 25)
(0, 32)
(0, 54)
(0, 55)
(0, 57)
(0, 61)
(0, 66)
(0, 74)
(0, 81)
(1, 50)
(1, 60)
(1, 72)
(1, 79)
(1, 83)
(1, 85)
(1, 98)
(1, 104)
(1, 105)
(1, 106)
(1, 111)
(1, 114)
(2, 6)
(2, 12)
(2, 13)
(2, 17)
(2, 20)
(2, 22)
(2, 33)
(2, 34)
(2, 63)
(2, 80)
(2, 92)
(2, 94)
(3, 4)
(3, 7)
(3, 43)
(3, 44)
(3, 54)
(3, 55)
(3, 56)
(3, 57)
(3, 69)
(3, 74)
(3, 105)
(4, 11)
(4, 24)
(4, 25)
(4, 32)
(4, 39)
(4, 43)
(4, 54)
(4, 55)
(4, 63)
(4, 69)
(5, 16)
(5, 23)
(5, 34)
(5, 37)
(5, 42)
(5, 45)
(5, 49)
(5, 52)
(5, 64)
(5, 67)
(5, 76)
(5, 113)
(6, 20)
(6, 21)
(6, 22)
(6, 33)
(6, 34)
(6, 52)
(6, 68)
(6, 76)
(6, 77)
(6, 80)
(6, 87)
(7, 15)
(7, 44)
(7, 48)
(7, 54)
(7, 57)
(7, 60)
(7, 69)
(7, 83)
(7, 91)
(7, 105)
(7, 110)
(8, 18)
(8, 29)
(8, 30)
(8, 37)
(8, 38)
(8, 49)
(8, 51)
(8, 64)
(8, 65)
(8, 70)
(8, 95)
(8, 118)
(9, 25)
(9, 32)
(9, 53)
(9, 61)
(9, 66)
(9, 81)
(9, 89)
(9, 103)
(9, 109)
(9, 115)
(9, 119)
(10, 11)
(10, 16)
(10, 23)
(10, 43)
(10, 44)
(10, 45)
(10, 69)
(10, 82)
(10, 91)
(10, 92)
(10, 97)
(10, 108)
(11, 16)
(11, 17)
(11, 24)
(11, 39)
(11, 43)
(11, 63)
(11, 69)
(11, 92)
(11, 97)
(11, 102)
(12, 17)
(12, 22)
(12, 25)
(12, 31)
(12, 39)
(12, 58)
(12, 63)
(12, 80)
(12, 94)
(12, 109)
(12, 115)
(13, 20)
(13, 33)
(13, 43)
(13, 55)
(13, 56)
(13, 63)
(13, 82)
(13, 86)
(13, 88)
(13, 92)
(13, 94)
(14, 26)
(14, 28)
(14, 41)
(14, 47)
(14, 78)
(14, 84)
(14, 95)
(14, 96)
(14, 101)
(14, 103)
(14, 114)
(14, 116)
(15, 24)
(15, 29)
(15, 30)
(15, 48)
(15, 54)
(15, 59)
(15, 69)
(15, 91)
(15, 97)
(15, 110)
(15, 118)
(16, 17)
(16, 23)
(16, 34)
(16, 45)
(16, 64)
(16, 92)
(16, 97)
(16, 102)
(16, 113)
(17, 22)
(17, 31)
(17, 34)
(17, 39)
(17, 63)
(17, 92)
(17, 102)
(17, 113)
(18, 35)
(18, 36)
(18, 41)
(18, 49)
(18, 51)
