[0, 11]
[0, 19]
[0, 20]
[0, 26]
[0, 69]
[0, 91]
[1, 6]
[1, 37]
[1, 41]
[1, 49]
[1, 58]
[1, 83]
[2, 7]
[2, 9]
[2, 47]
[2, 50]
[2, 56]
[2, 74]
[3, 19]
[3, 23]
[3, 27]
[3, 48]
[3, 69]
[3, 79]
[4, 35]
[4, 50]
[4, 56]
[4, 85]
[4, 87]
[4, 95]
[5, 10]
[5, 39]
[5, 45]
[5, 55]
[5, 77]
[5, 86]
[6, 29]
[6, 46]
[6, 51]
[6, 71]
[6, 83]
[7, 31]
[7, 37]
[7, 54]
[7, 74]
[7, 88]
[8, 11]
[8, 14]
[8, 18]
[8, 57]
[8, 60]
[8, 80]
[9, 39]
[9, 50]
[9, 55]
[9, 59]
[9, 88]
[10, 22]
[10, 70]
[10, 73]
[10, 77]
[10, 87]
[11, 15]
[11, 17]
[11, 19]
[11, 60]
[12, 13]
[12, 16]
[12, 40]
[12, 56]
[12, 62]
[12, 63]
[13, 17]
[13, 30]
[13, 40]
[13, 60]
[13, 94]
[14, 15]
[14, 21]
[14, 24]
[14, 25]
[14, 80]
[15, 17]
[15, 23]
[15, 25]
[15, 34]
[16, 37]
[16, 38]
[16, 58]
[16, 62]
[16, 94]
[17, 65]
[17, 91]
[17, 94]
[18, 19]
[18, 21]
[18, 57]
[18, 75]
[18, 89]
[19, 23]
[19, 75]
[20, 26]
[20, 35]
[20, 40]
[20, 60]
[20, 85]
[21, 23]
[21, 24]
[21, 33]
[21, 89]
[22, 26]
[22, 35]
[22, 57]
[22, 75]
[22, 87]
[23, 33]
[23, 34]
[24, 43]
[24, 64]
[24, 66]
[24, 78]
[25, 36]
[25, 41]
[25, 64]
[25, 94]
[26, 53]
[26, 75]
[26, 90]
[27, 33]
[27, 48]
[27, 52]
[27, 71]
[27, 84]
[28, 29]
[28, 43]
[28, 78]
[28, 82]
[28, 84]
[28, 86]
[29, 31]
[29, 43]
[29, 49]
[29, 51]
[30, 36]
[30, 60]
[30, 63]
[30, 80]
[30, 95]
[31, 49]
[31, 68]
[31, 82]
[31, 88]
[32, 51]
[32, 54]
[32, 59]
[32, 76]
[32, 83]
[32, 88]
[33, 43]
[33, 46]
[33, 84]
[34, 41]
[34, 46]
[34, 65]
[34, 79]
[35, 57]
[35, 60]
[35, 95]
[36, 38]
[36, 44]
[36, 80]
[36, 94]
[37, 38]
[37, 49]
[37, 54]
[38, 44]
[38, 63]
[38, 74]
[39, 45]
[39, 59]
[39, 87]
[39, 90]
[40, 85]
[40, 91]
[40, 92]
[41, 46]
[41, 58]
[41, 64]
[42, 47]
[42, 59]
[42, 72]
[42, 85]
[42, 90]
[42, 92]
[43, 46]
[43, 64]
[44, 49]
[44, 64]
[44, 66]
[44, 68]
[45, 48]
[45, 52]
[45, 53]
[45, 76]
[46, 71]
[47, 54]
[47, 56]
[47, 59]
[47, 62]
[48, 53]
[48, 75]
[48, 77]
[49, 64]
[50, 73]
[50, 87]
[50, 93]
[51, 52]
[51, 86]
[51, 88]
[52, 71]
[52, 76]
[52, 86]
[53, 69]
[53, 72]
[53, 90]
[54, 62]
[54, 83]
[55, 73]
[55, 82]
[55, 86]
[55, 88]
[56, 63]
[56, 85]
[57, 61]
[57, 70]
[58, 65]
[58, 67]
[58, 94]
[59, 76]
[61, 66]
[61, 70]
[61, 80]
[61, 93]
[61, 95]
[62, 67]
[62, 92]
[63, 74]
[63, 95]
[65, 67]
[65, 79]
[65, 91]
[66, 68]
[66, 78]
[66, 80]
[67, 81]
[67, 83]
[67, 92]
[68, 74]
[68, 82]
[68, 93]
[69, 72]
[69, 79]
[69, 91]
[70, 73]
[70, 78]
[70, 89]
[71, 79]
[71, 81]
[72, 76]
[72, 81]
[72, 92]
[73, 82]
[73, 93]
[74, 93]
[75, 77]
[76, 81]
[77, 84]
[77, 89]
[78, 82]
[78, 89]
[79, 81]
[81, 83]
[84, 86]
[84, 89]
[85, 90]
[87, 90]
[91, 92]
[93, 95]
