(4770, 835, 3621, 6854, 137, 4051, 1588, 506, 958, 6623)->[(5+1*r5), (-1+1*r5), -2, 0]
(3904, 3875, 2827, 7148, 4045, 6738, 5268, 853, 826, 2205)->[(5+1*r5), 2, 0, (-1+1*r5)]
(160, 6720, 2019, 3974, 1996, 3663, 3732, 5309, 2588, 3229)->[2, (3+1*r5), 4, (1+1*r5)]
(4293, 4331, 7150, 4592, 4786, 629, 1561, 4570, 6973, 4318)->[(5+1*r5), -2, 0, (-1+1*r5)]
(3874, 5348, 5352, 3401, 1103, 1117, 4889, 3420, 2525, 4414)->[-2, (-1-1*r5), (-3-1*r5), -4]
(4737, 1539, 5125, 5522, 597, 566, 2775, 5431, 4478, 3839)->[-2, (2+2*r5), (-1-1*r5), (1-1*r5)]
(4292, 6404, 5094, 113, 2164, 308, 2709, 3221, 6164, 7067)->[4, (2+2*r5), 0, 0]
(3456, 2978, 6882, 6217, 2029, 369, 6481, 3957, 6615, 4381)->[(-3-1*r5), 4, 2, (1+1*r5)]
(5632, 68, 6855, 5579, 5776, 5682, 1816, 6169, 2202, 6047)->[(-1+1*r5), (-1-1*r5), (2+2*r5), 2]
(6754, 5832, 5355, 1295, 5711, 6579, 2900, 1591, 1944, 3262)->[(-1+1*r5), (2+2*r5), -2, (-1-1*r5)]
(192, 5314, 5602, 2180, 3366, 688, 5393, 3189, 4634, 3358)->[(1-1*r5), (2+2*r5), -2, (1+1*r5)]
(1735, 3943, 5000, 877, 144, 1202, 4755, 725, 6901, 4668)->[(-3-1*r5), (-1+1*r5), (-1+1*r5), (3+1*r5)]
(6502, 3464, 4845, 2799, 464, 5937, 6418, 2067, 6292, 1402)->[-2, (5+1*r5), (-1+1*r5), 0]
(5728, 2529, 3143, 5320, 6445, 5136, 1939, 5236, 662, 3390)->[(2+2*r5), (1-1*r5), (-1-1*r5), 2]
(385, 546, 357, 5317, 3783, 3820, 5708, 23, 3000, 186)->[(-1-1*r5), (-1+1*r5), -2, (2+2*r5)]
(224, 1603, 2915, 720, 3760, 2643, 2519, 2232, 26, 1437)->[(-2-2*r5), 0, -4, 0]
(1664, 2752, 6912, 5540, 4743, 4684, 1267, 4664, 2457, 570)->[(2+2*r5), (-1-1*r5), -2, (-1+1*r5)]
(1408, 4386, 1059, 2247, 779, 2480, 5813, 2142, 2042, 1406)->[(3+1*r5), (0+2*r5), (-1-1*r5), 0]
(1412, 2278, 1318, 3595, 6764, 4431, 6065, 2903, 2076, 5407)->[(2+2*r5), 4, 0, 0]
(1121, 229, 3686, 4327, 1961, 4362, 2767, 3608, 4058, 4572)->[(1-1*r5), (-1+1*r5), (3+1*r5), (3+1*r5)]
(3398, 6278, 1836, 2990, 16, 5904, 3314, 3700, 4665, 1981)->[(3+1*r5), -2, (1+1*r5), 4]
(6020, 2885, 1866, 2538, 2124, 3283, 6548, 7002, 3451, 349)->[(-1+1*r5), (-2-2*r5), -2, (1+1*r5)]
(2465, 1385, 6251, 45, 5743, 5490, 2675, 6098, 5592, 2746)->[(2+2*r5), -2, (-1+1*r5), (1+1*r5)]
(7111, 905, 5642, 4143, 3504, 2930, 7126, 1688, 4028, 3455)->[(1-1*r5), 2, (1+1*r5), (-2-2*r5)]
(4826, 2979, 1488, 5872, 4534, 2872, 1081, 1434, 635, 285)->[(-1-1*r5), (2+2*r5), (1-1*r5), 2]
(5400, 4706, 4459, 5584, 5712, 6135, 3894, 1878, 214, 4030)->[2, (-2-2*r5), (1+1*r5), (-1+1*r5)]
(488, 299, 6573, 4463, 7023, 4209, 7188, 3255, 3577, 6391)->[(-3-1*r5), 4, -2, (-1-1*r5)]
(3936, 2759, 5928, 2923, 4207, 1908, 1590, 1499, 2716, 4541)->[-2, (-1+1*r5), (-2-2*r5), (-1-1*r5)]
(1154, 2020, 741, 167, 2411, 7183, 2485, 3286, 732, 5726)->[-2, (-1+1*r5), 0, (5+1*r5)]
(1249, 1157, 5322, 1006, 3375, 6751, 3091, 5785, 1531, 6559)->[(-1-1*r5), (3+1*r5), -2, -4]
(1313, 2081, 4547, 4421, 1994, 7114, 6096, 3313, 2357, 3254)->[(1+1*r5), (2+2*r5), (-1+1*r5), -2]
(1376, 2371, 1636, 7139, 2255, 2671, 5079, 4052, 1942, 4694)->[(-5-1*r5), 0, (-1+1*r5), -2]
(1952, 5601, 4422, 1259, 3854, 3952, 4945, 1433, 4314, 4025)->[(-1-1*r5), (-2-2*r5), (-1+1*r5), -2]
(672, 5892, 1065, 3850, 5170, 2611, 5554, 5365, 2486, 2650)->[(-1-1*r5), -2, (2+2*r5), (1-1*r5)]
(4578, 4867, 612, 5095, 6698, 6671, 3536, 6611, 3348, 1560)->[0, -2, (1-1*r5), (-5-1*r5)]
(3139, 6759, 6026, 19, 6420, 6039, 1784, 5112, 2046, 479)->[-2, (-1+1*r5), 0, (-5-1*r5)]
(4864, 4993, 898, 1411, 6624, 2672, 3825, 5616, 6523, 4637)->[(-1-1*r5), (0+2*r5), 0, (3+1*r5)]
(4, 4836, 1158, 2441, 4297, 1741, 3092, 3605, 4916, 1527)->[-2, 0, (5+1*r5), (1-1*r5)]
(2888, 4076, 813, 5583, 3697, 3026, 767, 3154, 4567, 2815)->[2, (1+1*r5), (-1+1*r5), (2+2*r5)]
(6755, 2564, 1989, 2534, 3437, 3503, 5199, 305, 6133, 2141)->[0, -4, 0, (-2-2*r5)]
(480, 4160, 4458, 2286, 623, 401, 948, 2137, 860, 3773)->[(-1+1*r5), (-3-1*r5), (-1+1*r5), (3+1*r5)]
(4866, 3880, 1423, 784, 5333, 4182, 5625, 924, 2845, 1951)->[(-1-1*r5), -4, (3+1*r5), 2]
(7136, 5894, 2346, 5162, 1420, 973, 5909, 3802, 59, 6335)->[2, (1+1*r5), (-3-1*r5), 4]
(3809, 6209, 1606, 5575, 5074, 3699, 2966, 3481, 5276, 1629)->[-2, (-3-1*r5), -4, (-1-1*r5)]
(1026, 4358, 1449, 6828, 3405, 622, 2927, 1681, 377, 5790)->[(2+2*r5), (-1-1*r5), 2, (-1+1*r5)]
(1763, 4931, 2223, 2418, 2932, 1045, 2456, 955, 6652, 3423)->[(-1+1*r5), 0, 2, (5+1*r5)]
(4934, 3851, 5676, 3152, 3472, 6899, 1530, 347, 4348, 2206)->[(5+1*r5), -2, 0, (1-1*r5)]
(1024, 2016, 6851, 132, 1573, 3877, 211, 52, 54, 6591)->[2, (3+1*r5), -4, (-1-1*r5)]
(2914, 4163, 6405, 3304, 4651, 115, 1306, 4603, 5278, 863)->[(-1-1*r5), (3+1*r5), 2, 4]
(5857, 2503, 3981, 6126, 5426, 5395, 6868, 534, 5944, 3161)->[(-3-1*r5), -2, (1+1*r5), 4]
(2048, 520, 1802, 1132, 6190, 2287, 1201, 1495, 5176, 1018)->[2, (1+1*r5), (-1+1*r5), (-2-2*r5)]
(2560, 6500, 2533, 3013, 6508, 782, 2545, 6517, 1659, 6364)->[0, (2+2*r5), 0, 4]
(3812, 1959, 4711, 1964, 6480, 1491, 2227, 4630, 2909, 5310)->[(3+1*r5), (3+1*r5), (-1+1*r5), (-1+1*r5)]
(3492, 6084, 4360, 2829, 6641, 3765, 3638, 2648, 1978, 4184)->[(3+1*r5), (0+2*r5), (1+1*r5), 0]
(4928, 199, 2121, 1641, 4530, 1624, 3900, 2200, 2750, 703)->[0, 2, (1-1*r5), (-5-1*r5)]
(4354, 6980, 1189, 5290, 4884, 1559, 6520, 158, 3996, 2174)->[(-2-2*r5), (1-1*r5), (-1-1*r5), 2]
(4288, 5665, 1634, 1123, 2703, 2959, 5458, 915, 7190, 823)->[(-1-1*r5), 2, (2+2*r5), (1-1*r5)]
(5541, 5574, 5896, 587, 2700, 179, 6996, 3958, 5367, 152)->[4, -2, (3+1*r5), (-1-1*r5)]
(901, 808, 1514, 4590, 117, 407, 6456, 5689, 3932, 5087)->[(-1-1*r5), (3+1*r5), (0+2*r5), 0]
(3330, 5223, 2416, 4401, 5232, 6355, 1301, 3126, 156, 5151)->[0, (-1+1*r5), (-5-1*r5), 2]
(5505, 6146, 1101, 4562, 1813, 1080, 57, 3322, 987, 4157)->[(-5-1*r5), 2, 0, (-1+1*r5)]
(4164, 4838, 3498, 2154, 1260, 2732, 5549, 4471, 7001, 475)->[(3+1*r5), (-1+1*r5), (1-1*r5), (3+1*r5)]
(2176, 5597, 1602, 1192, 6283, 4428, 5966, 1178, 189, 478)->[-2, 4, (-1-1*r5), (-3-1*r5)]
(200, 42, 7179, 589, 686, 5138, 3285, 6101, 7064, 6651)->[(1-1*r5), (1+1*r5), (2+2*r5), -2]
(6496, 3426, 6244, 3146, 5195, 1869, 2384, 7091, 7062, 3961)->[-2, (-2-2*r5), (1+1*r5), (-1+1*r5)]
(2114, 2311, 2919, 5006, 1935, 5614, 6862, 3378, 1657, 1885)->[(-3-1*r5), (3+1*r5), (1-1*r5), (1-1*r5)]
(2400, 3265, 387, 3814, 5001, 1135, 6803, 3892, 5270, 4728)->[2, (-2-2*r5), (-1-1*r5), (1-1*r5)]
(1568, 5569, 5538, 1223, 2285, 3955, 5974, 4855, 7096, 2748)->[(-1+1*r5), 0, 2, (-5-1*r5)]
(2496, 4123, 1834, 331, 3180, 365, 4433, 3227, 6397, 4319)->[(1+1*r5), -4, (3+1*r5), -2]
(6848, 1638, 3655, 3242, 6587, 6965, 3127, 440, 1915, 3803)->[(-2-2*r5), 2, (-1+1*r5), (1+1*r5)]
(3460, 1286, 6118, 3560, 6886, 3883, 5844, 5464, 921, 2077)->[-2, (3+1*r5), -4, (1+1*r5)]
(3361, 5762, 645, 1032, 2379, 3742, 639, 4560, 3646, 2527)->[0, (1+1*r5), (0+2*r5), (-3-1*r5)]
(5448, 3085, 5998, 1391, 4367, 4626, 3159, 4536, 215, 2075)->[0, (-3-1*r5), (-1-1*r5), (0-2*r5)]
(1795, 3368, 265, 842, 1966, 1902, 4271, 2774, 6779, 4508)->[(-1-1*r5), 2, (-2-2*r5), (1-1*r5)]
(1569, 5082, 6274, 6055, 6988, 6799, 6865, 4116, 5302, 1466)->[(2+2*r5), (1+1*r5), 2, (1-1*r5)]
(4195, 6637, 4527, 1907, 596, 5940, 696, 5403, 6013, 4383)->[(1-1*r5), (2+2*r5), -2, (-1-1*r5)]
(3520, 1509, 389, 1544, 5520, 7063, 280, 4313, 6139, 1532)->[(0-2*r5), (-3-1*r5), 0, (1+1*r5)]
(3808, 1832, 777, 5163, 4142, 5429, 1494, 5814, 1403, 4795)->[-4, 0, (2+2*r5), 0]
(996, 581, 1929, 395, 1868, 7117, 2257, 4241, 4981, 7005)->[(-1-1*r5), (-2-2*r5), (1-1*r5), 2]
(6629, 6654, 4810, 6157, 1742, 1270, 6203, 1661, 3550, 4895)->[(1+1*r5), (0+2*r5), 0, (3+1*r5)]
(65, 1706, 778, 6411, 7055, 1682, 5526, 3193, 1308, 4222)->[2, 4, (-1-1*r5), (3+1*r5)]
(1920, 1160, 5644, 301, 3565, 3282, 1429, 1623, 731, 4407)->[0, (1-1*r5), (-5-1*r5), 2]
(3744, 3524, 6406, 5480, 811, 6383, 4754, 5555, 3128, 3256)->[(1+1*r5), -2, (2+2*r5), (-1+1*r5)]
(3234, 7014, 6183, 3688, 473, 4077, 1136, 2614, 25, 7068)->[(-1-1*r5), 0, (3+1*r5), (0-2*r5)]
(1504, 4353, 4100, 421, 3406, 1298, 2868, 5493, 6040, 5439)->[(1-1*r5), -2, (1+1*r5), (2+2*r5)]
(4641, 2562, 5218, 1831, 5607, 651, 974, 3291, 2389, 2171)->[(1-1*r5), (3+1*r5), (-3-1*r5), (-1+1*r5)]
(5633, 5443, 5028, 1801, 4586, 1327, 6100, 4662, 535, 3993)->[(1+1*r5), 2, 4, (3+1*r5)]
(4707, 1796, 5635, 934, 4073, 2282, 556, 1197, 2258, 5724)->[2, (1+1*r5), (-3-1*r5), -4]
(6240, 6757, 3495, 266, 2380, 240, 3506, 5140, 248, 4220)->[4, (-2-2*r5), 0, 0]
(2434, 3750, 71, 4998, 3439, 752, 4946, 1302, 2806, 6006, 7098, 2397)->[2, (3-1*r5), (1-1*r5), (2+2*r5)]
(232, 1256, 424, 1484, 653, 5228, 4628, 5048, 3929, 7194, 1020, 4382)->[(1-1*r5), (-2-2*r5), -2, (-3+1*r5)]
(3714, 6086, 1609, 2063, 2419, 532, 5971, 6291, 4183, 3419, 6237, 6911)->[(0-2*r5), (0+2*r5), -2, 2]
(5344, 102, 5130, 2187, 4492, 13, 5834, 6767, 2361, 2298, 3293, 2751)->[-6, -2, 2, -2]
(4385, 2564, 2534, 1193, 3499, 4750, 2737, 3698, 3731, 6133, 2071, 2141)->[(-3+1*r5), (0-2*r5), 0, (-3-1*r5)]
(3872, 4672, 4226, 6816, 1349, 3082, 335, 2192, 5622, 6681, 3835, 445)->[(0+2*r5), -2, (0-2*r5), 2]
(1089, 451, 1956, 330, 1610, 1228, 3470, 5678, 2422, 5368, 2585, 6073)->[(-1-1*r5), 0, (-1+1*r5), 6]
(3329, 2983, 3640, 7082, 592, 2512, 3346, 4050, 2708, 3543, 56, 3673)->[(0-2*r5), (-3-1*r5), 0, (-3+1*r5)]
(6340, 1349, 4966, 6445, 4718, 6574, 5136, 17, 2837, 662, 6681, 3390)->[(3+1*r5), (-3+1*r5), -4, 2]
(1548, 1677, 6925, 6479, 6896, 3890, 5086, 439, 1304, 5754, 4828, 2558)->[(-3-1*r5), (3-1*r5), -4, 2]
(6145, 4007, 5929, 362, 140, 5262, 5103, 3537, 1138, 6002, 1492, 7189)->[(0-2*r5), -2, (0-2*r5), -2]
(1062, 361, 6187, 4013, 5422, 1840, 6807, 24, 1498, 2331, 5148, 3549)->[(3-1*r5), (2+2*r5), (1-1*r5), 2]
(3458, 2116, 3108, 1414, 5477, 2090, 2139, 3602, 4599, 3035, 4060, 7103)->[(-1+1*r5), (-1-1*r5), -4, (0+2*r5)]
(5543, 6631, 5129, 2489, 690, 3858, 3029, 2197, 6488, 985, 3998, 3935)->[(3-1*r5), -2, 4, (-3-1*r5)]
(1476, 1542, 4870, 2122, 5259, 4972, 957, 2354, 1332, 3453, 253, 4542)->[0, (3+1*r5), (3-1*r5), (0-2*r5)]
(6722, 3080, 4715, 205, 3120, 5360, 6675, 2388, 1525, 5110, 343, 4315)->[4, (0-2*r5), (-1+1*r5), (1+1*r5)]
(4483, 5956, 4363, 619, 6603, 7115, 724, 3157, 6772, 4443, 29, 5566)->[(3+1*r5), (0-2*r5), (3-1*r5), 0]
(6306, 4932, 5638, 6281, 3274, 3979, 4235, 2451, 4597, 5238, 3927, 1852)->[(-2-2*r5), 0, (-2+2*r5), 0]
(5728, 4546, 3267, 775, 4650, 5136, 625, 4851, 5054, 5236, 5245, 3390)->[6, 0, (-1-1*r5), (-1+1*r5)]
(5570, 2213, 2406, 3237, 4267, 5233, 1589, 3510, 664, 5690, 5694, 2303)->[(3-1*r5), (1-1*r5), -2, (2+2*r5)]
(1706, 4843, 5162, 6411, 5881, 5909, 6869, 3193, 2938, 59, 4222, 6335)->[(-1+1*r5), (1+1*r5), -4, (0+2*r5)]
(4985, 2025, 3693, 3245, 6928, 4850, 4563, 6004, 4345, 5405, 4284, 1181)->[(-3+1*r5), (1-1*r5), 2, (-2-2*r5)]
(2882, 419, 7113, 4426, 5325, 1684, 2996, 3542, 1335, 3228, 4670, 4927)->[(1-1*r5), (-1-1*r5), 0, 6]
(2692, 3461, 262, 5540, 4808, 428, 4684, 7022, 6419, 950, 4664, 570)->[(3+1*r5), (-1-1*r5), (2-2*r5), 2]
(3177, 4139, 1196, 7149, 373, 1270, 3479, 5402, 6203, 1661, 6654, 5311)->[(1+1*r5), 4, (1-1*r5), (0+2*r5)]
(5281, 3075, 4900, 3749, 4166, 743, 3279, 4371, 4887, 4152, 2874, 4765)->[(-2-2*r5), (1-1*r5), (-3+1*r5), -2]
(4131, 2212, 5379, 166, 4326, 5842, 3219, 5111, 2871, 344, 5500, 5149)->[-2, (1+1*r5), (-3-1*r5), (-2+2*r5)]
(2562, 3556, 2886, 1831, 4102, 651, 1931, 2128, 3379, 821, 3291, 1439)->[(-3+1*r5), (3+1*r5), (0-2*r5), 0]
(3585, 2, 3238, 1287, 842, 3114, 6893, 1966, 2926, 883, 2774, 6779)->[(-1-1*r5), (-2+2*r5), (-3-1*r5), -2]
(5281, 326, 2151, 1128, 2249, 4166, 3691, 5547, 5798, 468, 2008, 4827)->[(-2-2*r5), (-3+1*r5), -2, (1-1*r5)]
(1380, 5221, 2439, 3083, 3915, 2510, 5518, 6543, 81, 50, 6774, 633)->[(1-1*r5), (0-2*r5), (1+1*r5), -4]
(4321, 6526, 2244, 1732, 4455, 2743, 5260, 430, 5523, 1399, 6969, 1214)->[(3-1*r5), 4, (3+1*r5), 2]
(3616, 771, 6884, 3303, 4265, 204, 6894, 3569, 4338, 4531, 380, 319)->[(0-2*r5), (1+1*r5), (-1+1*r5), -4]
(4449, 6086, 654, 2478, 1808, 2065, 6769, 6291, 1145, 4763, 444, 5183)->[-4, (0+2*r5), (1-1*r5), (1+1*r5)]
(4993, 6946, 6986, 845, 2672, 5616, 2579, 6523, 6933, 6838, 5659, 2622)->[-2, 4, (3-1*r5), (3+1*r5)]
(1891, 5156, 6276, 1321, 1258, 683, 4491, 4208, 6550, 4217, 605, 6942)->[4, -4, 4, 0]
(5184, 995, 1155, 1958, 2310, 6343, 3275, 6571, 2640, 5394, 5139, 3705)->[2, -4, (-3+1*r5), (3+1*r5)]
(1601, 5217, 454, 6696, 5167, 2453, 4695, 3897, 4121, 5948, 3326, 6430)->[(-1-1*r5), -2, (2-2*r5), (3+1*r5)]
(3462, 2248, 3436, 1425, 5585, 6929, 7123, 1718, 1754, 5595, 5789, 6431)->[6, (1-1*r5), 0, (-1-1*r5)]
(5536, 1409, 5254, 4008, 4905, 780, 2958, 1678, 7101, 4117, 4825, 2333)->[(-1-1*r5), (1-1*r5), -6, 0]
(1410, 2021, 5093, 4904, 6766, 3284, 7159, 4376, 345, 1627, 540, 3903)->[(-3-1*r5), -4, -2, (-3+1*r5)]
(456, 1033, 3689, 4682, 269, 4333, 3343, 912, 6008, 5272, 1625, 476)->[-4, 0, -4, -4]
(5506, 329, 1513, 3467, 1134, 334, 4238, 6930, 1587, 2934, 4120, 4638)->[0, (-2-2*r5), 0, (2-2*r5)]
(4576, 2501, 1541, 5863, 5066, 4395, 3372, 4047, 565, 3861, 6648, 4956)->[(1-1*r5), 4, (0+2*r5), (1+1*r5)]
(1792, 6275, 2265, 2791, 6376, 148, 2838, 6582, 1753, 5979, 1021, 3359)->[4, (1+1*r5), (0+2*r5), (-1+1*r5)]
(5473, 1220, 1764, 4618, 268, 944, 721, 4147, 3799, 3899, 2940, 3357)->[(2-2*r5), (-3-1*r5), (-1-1*r5), 2]
(4514, 2755, 3301, 6890, 6155, 7084, 751, 4624, 5839, 2066, 6994, 1047)->[(1-1*r5), 0, 6, (1+1*r5)]
(3808, 4288, 5665, 1123, 1768, 1832, 6664, 4142, 5458, 1494, 6333, 5502)->[(-1-1*r5), (-1+1*r5), 6, 0]
(3845, 5738, 3500, 621, 4846, 5548, 1168, 7184, 466, 3738, 125, 1886)->[2, -2, (0+2*r5), (0+2*r5)]
(5856, 1061, 5541, 3239, 3723, 2700, 3052, 179, 152, 185, 634, 127)->[(1+1*r5), (1-1*r5), (0+2*r5), -4]
(2784, 6211, 5510, 967, 6056, 3630, 176, 4212, 4149, 1814, 6362, 5150)->[4, (-1+1*r5), (-1-1*r5), (0-2*r5)]
(2625, 6668, 1293, 3373, 2831, 1615, 5585, 7123, 918, 6042, 3196, 3231)->[(3+1*r5), -2, (3-1*r5), -4]
(321, 5474, 4067, 5059, 5697, 3142, 6246, 4459, 4784, 5712, 3894, 6135)->[(-1+1*r5), -6, (1+1*r5), 0]
(1888, 5376, 836, 997, 517, 5503, 1737, 2252, 3988, 5497, 3131, 2207)->[(1-1*r5), -4, (0+2*r5), (1+1*r5)]
(6082, 2821, 805, 7141, 6443, 3341, 6224, 4785, 5586, 6544, 4468, 1887)->[-4, -2, (3+1*r5), (3-1*r5)]
(5345, 4423, 617, 1993, 3211, 4398, 1647, 3247, 4079, 7061, 1850, 4702)->[(-3+1*r5), -2, (2+2*r5), (-1+1*r5)]
(2050, 1987, 6628, 6630, 2570, 267, 3658, 7054, 3483, 1689, 442, 2395)->[(-3-1*r5), 0, (0+2*r5), (3-1*r5)]
(5449, 2506, 2027, 1837, 557, 814, 2259, 2803, 3284, 4376, 2844, 2493)->[(-3-1*r5), (-1-1*r5), (2-2*r5), -2]
(7107, 1608, 491, 1773, 462, 5869, 208, 4019, 2037, 2170, 4890, 1150)->[2, (-1+1*r5), (-2-2*r5), (-3+1*r5)]
(6531, 2884, 5348, 5352, 6697, 4942, 47, 1780, 2808, 6394, 3420, 1117)->[-2, (-1-1*r5), (-3-1*r5), (2-2*r5)]
(6850, 3715, 5672, 907, 4366, 1137, 4243, 5715, 88, 1401, 5277, 3487)->[2, 2, 6, 2]
(32, 262, 2219, 2318, 1999, 7022, 5817, 5590, 2425, 5787, 2364, 1663)->[(0+2*r5), -4, (-1-1*r5), (-1+1*r5)]
(1699, 4517, 2089, 2155, 1292, 5551, 5712, 4725, 214, 3894, 2169, 4030)->[(-1+1*r5), (-2-2*r5), 2, (3-1*r5)]
(3937, 258, 4071, 553, 1481, 6953, 303, 624, 466, 125, 6718, 3167)->[2, (-3+1*r5), (3+1*r5), 4]
(7136, 2177, 6335, 323, 356, 5894, 937, 4300, 5011, 3609, 59, 383)->[2, 2, (0-2*r5), (0+2*r5)]
(672, 3850, 6442, 4748, 6254, 847, 2611, 2933, 5365, 3865, 3130, 5117)->[-2, -2, 6, -2]
(6210, 3012, 5412, 72, 6153, 2539, 1775, 1680, 3122, 692, 348, 4095)->[(0+2*r5), (1+1*r5), (-1+1*r5), 4]
(159, 6425, 3208, 2889, 4716, 6221, 3095, 3545, 6906, 6653, 7166, 2911)->[0, (3-1*r5), (0-2*r5), (3+1*r5)]
(964, 6277, 7085, 5871, 6416, 4721, 5905, 5012, 3925, 2678, 5205, 5657)->[(3-1*r5), (-3-1*r5), (0-2*r5), 0]
(3427, 1927, 138, 5052, 4751, 5200, 6607, 7197, 3574, 603, 2268, 6109)->[(3-1*r5), (2+2*r5), (-1+1*r5), 2]
(992, 3751, 2828, 6253, 5330, 6451, 2516, 598, 5080, 153, 1052, 446)->[(1-1*r5), 4, (0+2*r5), (-1-1*r5)]
(1281, 4737, 5445, 6568, 5033, 2775, 5488, 5522, 4247, 3963, 6716, 4478)->[(1-1*r5), (2+2*r5), -2, (-3+1*r5)]
(705, 6050, 3302, 3590, 1482, 6077, 3280, 3320, 2105, 6490, 2172, 989)->[(3+1*r5), 2, (1+1*r5), (-2+2*r5)]
(707, 4963, 6185, 1034, 1740, 2862, 5294, 2324, 3831, 636, 4254, 1023)->[0, -6, (-1+1*r5), (1+1*r5)]
(6048, 3522, 3780, 5542, 4296, 3467, 653, 2769, 5587, 1364, 5048, 4638)->[(-3+1*r5), (-2-2*r5), (1-1*r5), -2]
(3232, 4897, 6850, 931, 875, 4366, 2191, 6191, 3089, 82, 6482, 6068)->[(-2+2*r5), 2, (3+1*r5), (1+1*r5)]
(2208, 5537, 3910, 4078, 209, 4179, 5436, 951, 729, 6395, 2300, 3871)->[(1-1*r5), (1+1*r5), 0, -6]
(1344, 5280, 98, 4740, 5386, 5263, 3601, 6193, 2867, 4635, 795, 5982)->[0, (-2+2*r5), (2+2*r5), 0]
(608, 5313, 4002, 6592, 393, 3339, 4085, 887, 5977, 2233, 3421, 5535)->[(-3+1*r5), -2, -4, (-3-1*r5)]
(1986, 6889, 1770, 6507, 1932, 4013, 6000, 6064, 3060, 3381, 6584, 1498)->[(-1+1*r5), (2+2*r5), -2, (3-1*r5)]
(4132, 3077, 2854, 6793, 7178, 1069, 6801, 1461, 310, 4950, 3868, 925)->[(-2+2*r5), (-3-1*r5), (-1-1*r5), 2]
(1952, 5601, 130, 5413, 5641, 1259, 173, 3854, 4050, 723, 854, 56)->[-4, (-3-1*r5), (3-1*r5), -2]
(2274, 4259, 4356, 4377, 5917, 2251, 6736, 722, 3478, 2009, 1565, 4255)->[6, (-1+1*r5), 0, (1+1*r5)]
(4901, 3816, 3497, 1004, 3824, 5360, 7185, 3094, 343, 6200, 2809, 3804)->[4, -4, 0, 4]
(4960, 1921, 5441, 1093, 327, 4010, 2954, 6770, 5812, 7029, 4535, 4188)->[-4, (-3+1*r5), 2, (-3-1*r5)]
(6081, 2307, 644, 2312, 6760, 5227, 3885, 5047, 3607, 538, 6907, 6269)->[0, (3-1*r5), (0-2*r5), (-3-1*r5)]
(1153, 5, 5958, 1833, 5452, 1199, 6575, 1811, 2261, 759, 2586, 5692)->[(-3-1*r5), 2, (-3+1*r5), 4]
(6528, 6018, 2893, 6576, 4017, 1843, 1909, 4055, 4056, 3230, 94, 799)->[(1+1*r5), (1-1*r5), (0-2*r5), 4]
(2308, 1383, 6311, 2861, 1518, 3790, 3185, 4149, 3383, 6970, 5150, 2719)->[(0+2*r5), 2, -2, (0-2*r5)]
(2624, 7168, 4956, 4072, 4395, 6156, 1870, 5615, 1845, 4249, 4636, 1758)->[-2, (0+2*r5), (0+2*r5), 2]
(1920, 4515, 4359, 3565, 850, 3282, 2421, 1429, 2677, 90, 2843, 6078)->[(-3+1*r5), -2, (-2-2*r5), (-1+1*r5)]
(3808, 2369, 4836, 2441, 6028, 1741, 3061, 1494, 1527, 5429, 2713, 4795)->[(2-2*r5), 0, (2+2*r5), 0]
(3040, 1828, 839, 4168, 4872, 2925, 4174, 4175, 4880, 6521, 1179, 702)->[-4, 4, -4, 0]
(3488, 3552, 5641, 1679, 3183, 5265, 852, 854, 5530, 763, 6172, 541)->[-4, (0-2*r5), (-1+1*r5), (-1-1*r5)]
(4515, 6915, 677, 1925, 6408, 1099, 4587, 656, 20, 2421, 4341, 5663)->[0, (-1-1*r5), -6, (-1+1*r5)]
(5088, 2052, 3558, 2438, 5800, 6089, 7018, 4655, 5296, 2101, 4919, 7162)->[-2, 2, -2, -6]
(5279, 1954, 962, 7074, 5990, 4746, 6958, 5683, 5494, 1082, 1819, 5215)->[(-2-2*r5), (1-1*r5), (3-1*r5), 2]
(6144, 2308, 1671, 5853, 74, 6415, 3636, 4756, 6970, 2971, 1917, 6110)->[(3+1*r5), (-2+2*r5), -2, (-1-1*r5)]
(1473, 418, 963, 2922, 7180, 1838, 1487, 336, 5105, 340, 3675, 3454)->[2, (-1-1*r5), (-3-1*r5), (-2+2*r5)]
(5153, 5410, 1220, 2056, 395, 1868, 7117, 4241, 6866, 4147, 1524, 3736)->[-2, -6, -2, 2]
(1445, 3814, 6250, 6858, 1135, 4015, 1747, 2356, 7059, 5270, 4728, 2684)->[(-2+2*r5), (-3-1*r5), (-1-1*r5), -2]
(1386, 5196, 816, 2449, 2484, 5556, 793, 3707, 572, 2013, 62, 3295)->[6, (-1+1*r5), 0, (-1-1*r5)]
(4800, 1163, 2871, 4720, 1812, 3830, 2551, 3544, 251, 5149, 2110, 2943)->[-2, 2, -6, 2]
(4512, 4233, 2476, 2189, 1199, 1809, 6835, 2261, 2741, 2328, 3066, 5791)->[(0-2*r5), 2, -2, (0+2*r5)]
(1184, 4225, 4417, 2467, 2916, 5509, 5354, 1261, 7024, 4339, 3806, 6239)->[2, (0+2*r5), 2, (0-2*r5)]
(1984, 6722, 1860, 4901, 5478, 4715, 1004, 1744, 49, 5653, 1336, 1273)->[(0+2*r5), (-1-1*r5), (-1+1*r5), 4]
(6113, 1890, 2212, 5668, 6633, 332, 2062, 1872, 792, 344, 251, 2943)->[(2-2*r5), 2, (-3-1*r5), (1+1*r5)]
