(1027, 516, 644, 392, 906, 1163, 909, 1172, 153, 541, 168, 1068, 50, 310, 694, 954, 571, 1082, 202, 76, 718, 1107, 1112, 219, 479, 229, 241, 1014, 503, 253)->[(-1+1*r5), (-1-1*r5), 0, 2]
(645, 524, 662, 279, 24, 663, 668, 671, 416, 801, 548, 37, 53, 309, 186, 188, 66, 197, 327, 204, 79, 851, 1110, 1120, 356, 623, 1136, 883, 629, 1143)->[-2, (-1-1*r5), (-1+1*r5), 0]
(640, 900, 262, 390, 646, 787, 148, 660, 1050, 539, 1181, 160, 1185, 1191, 810, 943, 55, 57, 580, 708, 970, 715, 1104, 84, 982, 473, 481, 1121, 487, 624)->[(-1-1*r5), 0, (-1+1*r5), 2]
(258, 644, 389, 1030, 392, 906, 909, 400, 18, 405, 795, 542, 417, 293, 806, 1199, 50, 52, 822, 192, 322, 205, 590, 1101, 734, 99, 997, 1133, 498, 1151)->[2, (1-1*r5), 0, (1+1*r5)]
(9, 10, 905, 269, 654, 922, 1051, 169, 300, 303, 820, 441, 704, 455, 843, 588, 210, 852, 597, 981, 218, 732, 608, 227, 868, 1126, 107, 759, 762, 507)->[2, 2, -2, 2]
(129, 513, 1161, 779, 912, 27, 29, 1053, 1057, 1060, 295, 684, 305, 180, 181, 438, 1077, 575, 320, 1090, 709, 203, 465, 469, 216, 609, 1003, 754, 509, 254)->[2, -2, 2, -2]
(640, 898, 135, 777, 655, 1045, 1173, 791, 414, 160, 164, 808, 1193, 170, 43, 942, 176, 560, 55, 315, 827, 580, 1096, 1103, 596, 1121, 739, 627, 251, 1021)->[(1-1*r5), 0, 2, (1+1*r5)]
(772, 5, 773, 664, 1048, 27, 1023, 803, 295, 426, 815, 1074, 180, 189, 320, 449, 200, 973, 78, 465, 602, 603, 991, 106, 366, 367, 881, 637, 894, 127)->[(1+1*r5), 0, (-1+1*r5), -2]
(1026, 4, 391, 648, 905, 654, 275, 23, 549, 1192, 169, 431, 1072, 433, 819, 60, 577, 716, 81, 480, 608, 377, 1002, 107, 1005, 111, 1013, 376, 505, 765)->[(-1+1*r5), (1+1*r5), 0, 2]
(257, 140, 14, 19, 1175, 413, 926, 292, 173, 817, 693, 1084, 63, 967, 1098, 592, 82, 93, 861, 989, 1117, 482, 742, 616, 362, 747, 750, 497, 1015, 383)->[-2, 2, -2, -2]
(1156, 5, 395, 784, 274, 1053, 1182, 289, 38, 945, 575, 320, 1095, 973, 78, 334, 462, 354, 228, 618, 235, 236, 1003, 370, 884, 373, 886, 1140, 254, 1023)->[2, (1-1*r5), 0, (-1-1*r5)]
(2, 11, 911, 276, 788, 916, 663, 24, 929, 932, 37, 1188, 551, 1069, 816, 312, 446, 834, 581, 842, 79, 208, 335, 466, 85, 987, 96, 623, 115, 631)->[-2, (-1-1*r5), (1-1*r5), 0]
(256, 897, 1019, 1034, 1162, 780, 782, 656, 407, 546, 687, 306, 565, 1078, 440, 319, 329, 713, 87, 728, 858, 612, 741, 870, 620, 1009, 756, 635, 508, 763)->[-2, 0, (-1-1*r5), (-1+1*r5)]
(8, 138, 652, 544, 297, 939, 44, 941, 814, 1198, 817, 946, 1073, 695, 696, 56, 61, 318, 67, 195, 729, 93, 349, 861, 226, 482, 362, 1008, 247, 888)->[-2, (-1+1*r5), 0, (-1-1*r5)]
(1153, 1158, 647, 143, 400, 1041, 405, 791, 1047, 795, 414, 164, 805, 176, 308, 949, 822, 703, 194, 453, 454, 979, 596, 990, 872, 490, 491, 498, 501, 760)->[0, 0, 0, 4]
(770, 1026, 1029, 518, 391, 1032, 649, 778, 154, 670, 162, 549, 422, 298, 1195, 433, 568, 698, 839, 72, 1097, 331, 333, 81, 984, 613, 1127, 238, 1007, 758)->[2, (1+1*r5), (-1+1*r5), 0]
(386, 777, 907, 1165, 1168, 530, 411, 412, 34, 163, 291, 1187, 167, 808, 170, 825, 570, 574, 959, 1089, 963, 460, 1103, 214, 856, 221, 100, 744, 246, 251)->[0, (-1+1*r5), (1+1*r5), 2]
(773, 264, 147, 22, 664, 920, 794, 155, 161, 931, 552, 811, 1075, 59, 576, 972, 336, 1106, 855, 730, 604, 738, 358, 875, 748, 366, 881, 119, 637, 766)->[4, 0, 0, 0]
(1025, 1155, 783, 911, 659, 279, 24, 541, 416, 934, 423, 168, 682, 940, 1068, 1069, 694, 312, 186, 828, 976, 466, 851, 475, 95, 737, 104, 503, 634, 380)->[0, -4, 0, 0]
(1152, 643, 521, 1037, 142, 399, 144, 402, 285, 288, 930, 1067, 1196, 559, 311, 1083, 444, 447, 193, 579, 845, 849, 211, 468, 863, 998, 871, 494, 240, 1020)->[0, (-1+1*r5), (1+1*r5), -2]
