(0, 3, 4, 6, 10, 19, 22, 24, 29, 31, 33, 34, 41, 43, 44, 46, 47, 49, 52, 53, 54, 58, 59, 61)->[(-20+14*r2), (-20+14*r2), 0, 0]
(0, 1, 2, 12, 13, 14, 16, 21, 24, 25, 27, 28, 31, 33, 36, 42, 45, 47, 48, 50, 51, 53, 54, 58)->[0, 0, 0, (-28+20*r2)]
(0, 1, 2, 4, 6, 10, 11, 21, 24, 26, 32, 37, 39, 40, 41, 43, 48, 50, 51, 56, 57, 61, 62, 63)->[(-20+14*r2), (20-14*r2), 0, 0]
(0, 41, 51, 31)->[(28-20*r2), 0, (20-14*r2), (20-14*r2)]
(1, 4, 5, 7, 8, 12, 13, 14, 20, 22, 23, 26, 28, 31, 34, 37, 41, 44, 51, 53, 55, 56, 59, 62)->[0, 0, (-28+20*r2), 0]
(5, 7, 8, 9, 10, 11, 15, 17, 18, 19, 20, 22, 29, 30, 35, 37, 39, 40, 44, 46, 52, 61, 62, 63)->[0, 0, 0, (28-20*r2)]
(2, 3, 6, 15, 17, 18, 19, 25, 27, 32, 33, 35, 36, 38, 40, 43, 45, 46, 49, 50, 54, 57, 60, 63)->[0, 0, (28-20*r2), 0]
(5, 8, 9, 11, 13, 14, 15, 16, 18, 21, 23, 26, 27, 30, 32, 36, 38, 39, 42, 48, 55, 56, 57, 60)->[(20-14*r2), (20-14*r2), 0, 0]
(3, 7, 9, 12, 16, 17, 20, 23, 25, 28, 29, 30, 34, 35, 38, 42, 45, 47, 49, 52, 55, 58, 59, 60)->[(20-14*r2), (-20+14*r2), 0, 0]
(56, 1, 21, 14)->[0, (-28+20*r2), (20-14*r2), (20-14*r2)]
(16, 12, 13, 55)->[(-28+20*r2), 0, (20-14*r2), (20-14*r2)]
(58, 3, 45, 54)->[0, (28-20*r2), (-20+14*r2), (20-14*r2)]
(61, 4, 37, 22)->[(28-20*r2), 0, (20-14*r2), (-20+14*r2)]
(40, 10, 19, 6)->[(28-20*r2), 0, (-20+14*r2), (-20+14*r2)]
(59, 28, 53, 47)->[0, (28-20*r2), (20-14*r2), (20-14*r2)]
(32, 63, 39, 15)->[0, (-28+20*r2), (-20+14*r2), (-20+14*r2)]
(24, 33, 50, 43)->[(28-20*r2), 0, (-20+14*r2), (20-14*r2)]
(25, 42, 36, 60)->[(-28+20*r2), 0, (-20+14*r2), (20-14*r2)]
(48, 57, 2, 27)->[0, (-28+20*r2), (-20+14*r2), (20-14*r2)]
(49, 35, 52, 46)->[0, (28-20*r2), (-20+14*r2), (-20+14*r2)]
(8, 9, 23, 7)->[(-28+20*r2), 0, (20-14*r2), (-20+14*r2)]
(38, 17, 18, 30)->[(-28+20*r2), 0, (-20+14*r2), (-20+14*r2)]
(34, 20, 29, 44)->[0, (28-20*r2), (20-14*r2), (-20+14*r2)]
(26, 11, 5, 62)->[0, (-28+20*r2), (20-14*r2), (-20+14*r2)]
