(0, 987, 1193, 458, 810, 874, 1147, 431, 592, 475, 1340, 126)->[(-1+1*r5), (1+1*r5), 0, -2]
(0, 1025, 1412, 1001, 431, 912, 757, 1340, 1118, 1214, 1405, 734)->[(1+1*r5), (1+1*r5), (-3+1*r5), (-1-1*r5)]
(0, 801, 1412, 1061, 874, 1034, 431, 79, 597, 1214, 1405, 734)->[(1+1*r5), 4, (1-1*r5), -2]
(0, 1121, 674, 1225, 810, 1131, 1293, 819, 915, 1332, 987, 1214)->[(-1+1*r5), 4, -2, (-1-1*r5)]
(0, 1121, 674, 1001, 810, 779, 1293, 757, 1340, 1214, 189, 1118)->[2, (1+1*r5), (1-1*r5), -4]
(0, 193, 801, 1225, 874, 79, 819, 915, 597, 1267, 987, 1214)->[2, (0+2*r5), -2, -2]
(769, 420, 923, 935, 1160, 975, 315, 374, 1177, 891, 1084, 1436)->[(-1+1*r5), 0, 2, (-1-1*r5)]
(101, 1254, 1290, 1165, 974, 143, 691, 247, 1336, 250, 1019, 1052)->[2, 0, (1+1*r5), (1-1*r5)]
(417, 418, 234, 655, 465, 787, 212, 883, 695, 1151, 926, 479)->[(1+1*r5), 0, (-1+1*r5), 2]
(1312, 963, 776, 299, 1292, 1005, 1421, 946, 211, 564, 947, 890)->[(-1-1*r5), 2, 0, (-1+1*r5)]
(1152, 931, 1093, 622, 526, 1071, 1199, 818, 598, 472, 764, 191)->[(1+1*r5), -2, 0, (1-1*r5)]
(416, 518, 870, 681, 1097, 1418, 525, 1076, 1016, 1307, 253, 767)->[(-1-1*r5), (-1+1*r5), 2, 0]
(513, 545, 453, 1221, 490, 751, 369, 958, 1141, 471, 1018, 62)->[2, 2, 2, -2]
(1346, 1416, 880, 308, 500, 501, 951, 1397, 954, 348, 1246, 447)->[0, 4, 0, 0]
(386, 1314, 1432, 679, 175, 82, 1269, 984, 760, 1241, 1149, 414)->[(-1+1*r5), 0, 2, (1+1*r5)]
(641, 708, 484, 966, 871, 872, 1291, 1230, 1108, 1111, 284, 1150)->[(-1+1*r5), 0, -2, (1+1*r5)]
