(0, 1, 3, 5, 7, 11, 13, 25, 27, 28, 29, 31)->[0, 4, 0, 4]
(0, 1, 2, 3, 6, 8, 10, 17, 18, 23, 28, 30)->[-4, 0, 4, 0]
(0, 1, 10, 27)->[0, 4, 4, 0]
(0, 6, 10, 12, 15, 18, 21, 22, 25, 26, 27, 31)->[0, 4, 0, -4]
(0, 28, 6, 31)->[-4, 4, 0, 0]
(4, 5, 7, 11, 14, 15, 16, 19, 21, 22, 24, 25)->[4, 0, -4, 0]
(1, 2, 5, 9, 10, 13, 15, 19, 23, 24, 26, 27)->[4, 0, 4, 0]
(4, 6, 8, 11, 12, 14, 20, 21, 28, 29, 30, 31)->[-4, 0, -4, 0]
(3, 4, 7, 9, 13, 16, 17, 19, 20, 23, 29, 30)->[0, -4, 0, 4]
(2, 8, 9, 12, 14, 16, 17, 18, 20, 22, 24, 26)->[0, -4, 0, -4]
(16, 4, 20, 14)->[0, -4, -4, 0]
(9, 2, 17, 23)->[0, -4, 4, 0]
(25, 11, 21, 31)->[0, 4, -4, 0]
(8, 18, 12, 6)->[-4, 0, 0, -4]
(3, 28, 29, 30)->[-4, 0, 0, 4]
(24, 26, 22, 15)->[4, 0, 0, -4]
(13, 19, 5, 7)->[4, 0, 0, 4]
(11, 4, 29, 7)->[0, 0, -4, 4]
(1, 3, 13, 23)->[0, 0, 4, 4]
(18, 26, 2, 10)->[0, 0, 4, -4]
(12, 21, 14, 22)->[0, 0, -4, -4]
(16, 9, 19, 24)->[4, -4, 0, 0]
(8, 17, 20, 30)->[-4, -4, 0, 0]
(25, 27, 5, 15)->[4, 4, 0, 0]
