(0, 99, 196, 206, 190, 223)->[-2*r2, 0, -6, 2]
(0, 450, 99, 451, 293, 486, 206, 277, 279, 184, 285, 190)->[-4, 0, -4*r2, 0]
(0, 269, 22, 281, 26, 285, 293, 422, 42, 299, 46, 184, 569, 188, 190, 446, 451, 456, 203, 80, 87, 472, 97, 378)->[-2*r2, 2*r2, -4, 0]
(0, 196, 422, 269, 145, 18, 86, 472, 281, 474, 190, 223)->[-2, 2, -4*r2, 2*r2]
(0, 6, 401, 146, 277, 408, 413, 293, 554, 48, 439, 322, 196, 325, 70, 453, 203, 206, 335, 472, 474, 484, 101, 237)->[-4, 0, -2*r2, 2*r2]
(388, 551, 11, 332, 557, 82)->[-2*r2, -2*r2, -4, -4]
(516, 548, 488, 107, 309, 254)->[-2*r2, 2*r2, 4, -4]
(5, 517, 428, 464, 311, 93)->[-4*r2, -2*r2, -2, -2]
(452, 267, 47, 275, 22, 26)->[0, 4*r2, -4, 0]
(389, 169, 304, 371, 57, 507)->[-2*r2, 2*r2, 4, 4]
(135, 49, 278, 440, 94, 287)->[-4*r2, -2*r2, 2, 2]
(549, 390, 85, 54, 534, 412)->[2*r2, 0, 6, 2]
(460, 81, 529, 502, 376, 445)->[-2*r2, 0, -2, -6]
(33, 103, 427, 112, 318, 351)->[-2*r2, -4*r2, 2, 2]
(515, 362, 527, 369, 503, 536)->[0, 2*r2, 6, -2]
(68, 102, 295, 461, 148, 308)->[-2*r2, 0, 6, 2]
(37, 454, 10, 394, 245, 438)->[-2*r2, 0, 2, -6]
(128, 2, 341, 88, 345, 574)->[2*r2, -4*r2, -2, -2]
(231, 330, 568, 122, 380, 414)->[4*r2, 2*r2, -2, 2]
(544, 326, 297, 495, 143, 562)->[0, -2*r2, -2, -6]
(66, 392, 490, 556, 117, 535)->[2*r2, 0, -6, 2]
(32, 225, 228, 8, 491, 539)->[2*r2, -4*r2, 2, 2]
(513, 164, 109, 306, 566, 127)->[0, -2*r2, 6, 2]
(451, 486, 563, 279, 184, 29)->[-2*r2, 0, -6, -2]
(161, 387, 69, 359, 75, 90)->[2*r2, 4*r2, -2, -2]
(483, 554, 203, 497, 413, 446)->[-4*r2, 2*r2, -2, 2]
(357, 462, 79, 221, 30, 575)->[4*r2, -2*r2, -2, 2]
(167, 241, 83, 152, 250, 349)->[-2*r2, 0, 6, -2]
(261, 197, 525, 468, 213, 375)->[4*r2, 2*r2, 2, 2]
(547, 199, 41, 489, 108, 509)->[0, 4*r2, 0, -4]
(129, 73, 457, 463, 313, 63)->[0, -4*r2, -4, 0]
(418, 133, 360, 139, 365, 303)->[2*r2, -2*r2, 4, 4]
(1, 260, 234, 431, 89, 476)->[-2*r2, 0, 2, 6]
(258, 398, 432, 209, 149, 150)->[0, 2*r2, -2, 6]
(448, 481, 230, 247, 441, 443)->[0, -2*r2, -6, 2]
(484, 552, 237, 179, 20, 408)->[-2*r2, -2*r2, -4, 4]
(545, 100, 200, 76, 302, 16)->[2*r2, 4*r2, -2, 2]
(226, 137, 45, 436, 220, 158)->[0, -2*r2, -6, -2]
(160, 512, 229, 363, 399, 24)->[0, -4*r2, 0, 4]
(400, 528, 216, 186, 315, 510)->[-4*r2, 0, 0, -4]
(198, 28, 273, 50, 501, 444)->[-2*r2, -2*r2, 4, -4]
(97, 130, 378, 121, 282, 543)->[-2*r2, 4*r2, -2, 2]
(65, 353, 134, 71, 374, 119)->[0, 2*r2, 6, 2]
(519, 74, 492, 307, 312, 511)->[2*r2, 2*r2, 4, -4]
(323, 38, 212, 244, 373, 56)->[2*r2, 0, 2, -6]
(352, 266, 207, 465, 118, 217)->[4*r2, -2*r2, -2, -2]
