(0, 28)
(0, 30)
(0, 49)
(0, 55)
(0, 59)
(0, 65)
(0, 81)
(0, 83)
(0, 84)
(0, 103)
(0, 108)
(0, 110)
(1, 4)
(1, 23)
(1, 33)
(1, 35)
(1, 38)
(1, 42)
(1, 47)
(1, 62)
(1, 86)
(1, 95)
(1, 111)
(1, 117)
(2, 5)
(2, 6)
(2, 8)
(2, 13)
(2, 24)
(2, 26)
(2, 41)
(2, 58)
(2, 63)
(2, 75)
(2, 95)
(2, 101)
(3, 9)
(3, 22)
(3, 24)
(3, 63)
(3, 66)
(3, 82)
(3, 88)
(3, 90)
(3, 92)
(3, 101)
(3, 107)
(3, 113)
(4, 23)
(4, 28)
(4, 42)
(4, 47)
(4, 77)
(4, 83)
(4, 97)
(4, 103)
(4, 111)
(4, 116)
(4, 117)
(5, 6)
(5, 18)
(5, 24)
(5, 27)
(5, 58)
(5, 61)
(5, 63)
(5, 66)
(5, 75)
(5, 85)
(5, 109)
(6, 8)
(6, 15)
(6, 24)
(6, 26)
(6, 27)
(6, 32)
(6, 51)
(6, 61)
(6, 67)
(6, 75)
(7, 12)
(7, 14)
(7, 21)
(7, 36)
(7, 43)
(7, 46)
(7, 59)
(7, 65)
(7, 77)
(7, 79)
(7, 83)
(7, 116)
(8, 13)
(8, 15)
(8, 26)
(8, 38)
(8, 51)
(8, 64)
(8, 75)
(8, 86)
(8, 93)
(8, 95)
(9, 22)
(9, 52)
(9, 73)
(9, 82)
(9, 88)
(9, 90)
(9, 91)
(9, 104)
(9, 106)
(9, 113)
(9, 114)
(10, 17)
(10, 20)
(10, 29)
(10, 32)
(10, 48)
(10, 49)
(10, 60)
(10, 69)
(10, 81)
(10, 96)
(10, 99)
(10, 110)
(11, 12)
(11, 22)
(11, 34)
(11, 36)
(11, 39)
(11, 70)
(11, 79)
(11, 92)
(11, 100)
(11, 104)
(11, 113)
(11, 118)
(12, 14)
(12, 34)
(12, 36)
(12, 39)
(12, 77)
(12, 79)
(12, 80)
(12, 111)
(12, 116)
(12, 118)
(13, 26)
(13, 33)
(13, 41)
(13, 86)
(13, 87)
(13, 93)
(13, 95)
(13, 100)
(13, 101)
(13, 102)
(14, 21)
(14, 31)
(14, 34)
(14, 43)
(14, 56)
(14, 68)
(14, 72)
(14, 79)
(14, 80)
(14, 116)
(15, 17)
(15, 26)
(15, 32)
(15, 51)
(15, 64)
(15, 67)
(15, 69)
(15, 89)
(15, 93)
(15, 112)
(16, 19)
(16, 21)
(16, 29)
(16, 30)
(16, 40)
(16, 43)
(16, 57)
(16, 65)
(16, 71)
(16, 72)
(16, 81)
(16, 99)
(17, 32)
(17, 44)
(17, 48)
(17, 49)
(17, 60)
(17, 67)
