x,y,dir,ref,pt
-35.5,-6.06217782649,6,False,7
-34,-5.19615242271,4,False,7
-32.5,-6.06217782649,2,False,7
-29.5,-9.52627944163,0,False,7
-31,-10.3923048454,10,False,7
-29.5,-7.79422863406,2,False,7
-26.5,-16.4544826719,0,False,3
-26.5,-16.4544826719,10,True,11
-28,-15.5884572681,4,False,7
-26.5,-16.4544826719,2,False,7
-26.5,-18.1865334795,0,False,7
-28,-22.5166604984,10,False,7
-29.5,-21.6506350946,8,False,7
-26.5,-21.6506350946,0,False,7
-35.5,-16.4544826719,10,False,3
-35.5,-16.4544826719,0,True,11
-35.5,-14.7224318643,2,False,7
-35.5,-16.4544826719,0,False,7
-37,-17.3205080757,10,False,7
-41.5,-18.1865334795,8,False,7
-41.5,-16.4544826719,6,False,7
-40,-19.0525588833,10,False,7
-22,-8.66025403784,2,False,3
-22,-8.66025403784,8,True,11
-23.5,-9.52627944163,6,False,7
-22,-8.66025403784,4,False,7
-20.5,-9.52627944163,2,False,7
-17.5,-12.9903810568,0,False,7
-19,-13.8564064606,10,False,7
-17.5,-11.2583302492,2,False,7
-23.5,-28.5788383249,0,False,3
-23.5,-28.5788383249,10,True,11
-25,-27.7128129211,4,False,7
-23.5,-28.5788383249,2,False,7
-23.5,-30.3108891325,0,False,7
-25,-34.6410161514,10,False,7
-26.5,-33.7749907476,8,False,7
-20.5,-21.6506350946,4,False,3
-20.5,-21.6506350946,6,True,11
-20.5,-23.3826859022,8,False,7
-20.5,-21.6506350946,6,False,7
-19,-20.7846096908,4,False,7
-14.5,-19.918584287,2,False,7
-14.5,-21.6506350946,0,False,7
-16,-19.0525588833,4,False,7
-16,-29.4448637287,2,False,3
-16,-29.4448637287,8,True,11
-17.5,-30.3108891325,6,False,7
-16,-29.4448637287,4,False,7
-14.5,-30.3108891325,2,False,7
-11.5,-33.7749907476,0,False,7
-13,-34.6410161514,10,False,7
-11.5,-32.04293994,2,False,7
-20.5,-37.2390923627,0,False,3
-20.5,-37.2390923627,10,True,11
-22,-36.3730669589,4,False,7
-20.5,-37.2390923627,2,False,7
-20.5,-38.9711431703,0,False,7
-22,-43.3012701892,10,False,7
-23.5,-42.4352447854,8,False,7
-20.5,-42.4352447854,0,False,7
-26.5,-49.3634480157,10,False,3
-26.5,-49.3634480157,0,True,11
-26.5,-47.6313972081,2,False,7
-26.5,-49.3634480157,0,False,7
-28,-50.2294734195,10,False,7
-32.5,-51.0954988233,8,False,7
-32.5,-49.3634480157,6,False,7
-31,-51.9615242271,10,False,7
-31,-41.5692193817,8,False,3
-31,-41.5692193817,2,True,11
-29.5,-40.7031939779,0,False,7
-31,-41.5692193817,10,False,7
-32.5,-40.7031939779,8,False,7
-35.5,-37.2390923627,6,False,7
-34,-36.3730669589,4,False,7
-35.5,-38.9711431703,8,False,7
-17.5,-49.3634480157,0,False,3
-17.5,-49.3634480157,10,True,11
-19,-48.4974226119,4,False,7
-17.5,-49.3634480157,2,False,7
-17.5,-51.0954988233,0,False,7
-19,-55.4256258422,10,False,7
-20.5,-54.5596004384,8,False,7
-17.5,-54.5596004384,0,False,7
-44.5,-25.1147367097,10,False,3
-44.5,-25.1147367097,0,True,11
-44.5,-23.3826859022,2,False,7
-44.5,-25.1147367097,0,False,7
-46,-25.9807621135,10,False,7
-50.5,-26.8467875173,8,False,7
-50.5,-25.1147367097,6,False,7
-37,-24.248711306,2,False,3
-37,-24.248711306,8,True,11
-38.5,-25.1147367097,6,False,7
-37,-24.248711306,4,False,7
-35.5,-25.1147367097,2,False,7
-32.5,-28.5788383249,0,False,7
-34,-29.4448637287,10,False,7
-32.5,-26.8467875173,2,False,7
-41.5,-32.04293994,0,False,3
-41.5,-32.04293994,10,True,11
-43,-31.1769145362,4,False,7
-41.5,-32.04293994,2,False,7
-41.5,-33.7749907476,0,False,7
-43,-38.1051177665,10,False,7
-44.5,-37.2390923627,8,False,7
-41.5,-37.2390923627,0,False,7
-50.5,-32.04293994,10,False,3
-50.5,-32.04293994,0,True,11
-50.5,-30.3108891325,2,False,7
-50.5,-32.04293994,0,False,7
-52,-32.9089653438,10,False,7
-56.5,-33.7749907476,8,False,7
-56.5,-32.04293994,6,False,7
-55,-34.6410161514,10,False,7
-64,-32.9089653438,8,False,3
-64,-32.9089653438,2,True,11
-62.5,-32.04293994,0,False,7
-64,-32.9089653438,10,False,7
-65.5,-32.04293994,8,False,7
-68.5,-28.5788383249,6,False,7
-67,-27.7128129211,4,False,7
-68.5,-30.3108891325,8,False,7
-59.5,-25.1147367097,6,False,3
-59.5,-25.1147367097,4,True,11
-58,-25.9807621135,10,False,7
-59.5,-25.1147367097,8,False,7
-59.5,-23.3826859022,6,False,7
-58,-19.0525588833,4,False,7
-56.5,-19.918584287,2,False,7
-59.5,-19.918584287,6,False,7
-59.5,-40.7031939779,10,False,3
-59.5,-40.7031939779,0,True,11
-59.5,-38.9711431703,2,False,7
-59.5,-40.7031939779,0,False,7
-61,-41.5692193817,10,False,7
-65.5,-42.4352447854,8,False,7
-65.5,-40.7031939779,6,False,7
-64,-43.3012701892,10,False,7
-10,-12.124355653,2,False,3
-10,-12.124355653,8,True,11
