x,y,dir,ref,pt
30.5,-56.291651246,6,False,3
30.5,-56.291651246,4,True,11
32,-57.1576766498,10,False,7
30.5,-56.291651246,8,False,7
30.5,-54.5596004384,6,False,7
32,-50.2294734195,4,False,7
33.5,-51.0954988233,2,False,7
27.5,-63.2198544763,10,False,3
27.5,-63.2198544763,0,True,11
27.5,-61.4878036687,2,False,7
27.5,-63.2198544763,0,False,7
26,-64.08587988,10,False,7
21.5,-64.9519052838,8,False,7
21.5,-63.2198544763,6,False,7
23,-65.8179306876,10,False,7
23,-55.4256258422,8,False,3
23,-55.4256258422,2,True,11
24.5,-54.5596004384,0,False,7
23,-55.4256258422,10,False,7
21.5,-54.5596004384,8,False,7
18.5,-51.0954988233,6,False,7
20,-50.2294734195,4,False,7
18.5,-52.8275496309,8,False,7
27.5,-47.6313972081,6,False,3
27.5,-47.6313972081,4,True,11
29,-48.4974226119,10,False,7
27.5,-47.6313972081,8,False,7
27.5,-45.8993464006,6,False,7
29,-41.5692193817,4,False,7
30.5,-42.4352447854,2,False,7
27.5,-42.4352447854,6,False,7
33.5,-35.5070415552,4,False,3
33.5,-35.5070415552,6,True,11
33.5,-37.2390923627,8,False,7
33.5,-35.5070415552,6,False,7
35,-34.6410161514,4,False,7
39.5,-33.7749907476,2,False,7
39.5,-35.5070415552,0,False,7
38,-32.9089653438,4,False,7
38,-43.3012701892,2,False,3
38,-43.3012701892,8,True,11
36.5,-44.167295593,6,False,7
38,-43.3012701892,4,False,7
39.5,-44.167295593,2,False,7
42.5,-47.6313972081,0,False,7
41,-48.4974226119,10,False,7
42.5,-45.8993464006,2,False,7
18.5,-71.8801085141,10,False,3
18.5,-71.8801085141,0,True,11
18.5,-70.1480577065,2,False,7
18.5,-71.8801085141,0,False,7
17,-72.7461339179,10,False,7
12.5,-73.6121593217,8,False,7
12.5,-71.8801085141,6,False,7
26,-71.0140831103,2,False,3
26,-71.0140831103,8,True,11
24.5,-71.8801085141,6,False,7
26,-71.0140831103,4,False,7
27.5,-71.8801085141,2,False,7
30.5,-75.3442101292,0,False,7
29,-76.210235533,10,False,7
30.5,-73.6121593217,2,False,7
21.5,-78.8083117444,0,False,3
21.5,-78.8083117444,10,True,11
20,-77.9422863406,4,False,7
21.5,-78.8083117444,2,False,7
21.5,-80.540362552,0,False,7
20,-84.8704895709,10,False,7
18.5,-84.0044641671,8,False,7
21.5,-84.0044641671,0,False,7
12.5,-78.8083117444,10,False,3
12.5,-78.8083117444,0,True,11
12.5,-77.0762609368,2,False,7
12.5,-78.8083117444,0,False,7
11,-79.6743371482,10,False,7
6.5,-80.540362552,8,False,7
6.5,-78.8083117444,6,False,7
8,-81.4063879557,10,False,7
-1,-79.6743371482,8,False,3
-1,-79.6743371482,2,True,11
0.5,-78.8083117444,0,False,7
-1,-79.6743371482,10,False,7
-2.5,-78.8083117444,8,False,7
-5.5,-75.3442101292,6,False,7
-4,-74.4781847255,4,False,7
-5.5,-77.0762609368,8,False,7
3.5,-71.8801085141,6,False,3
3.5,-71.8801085141,4,True,11
5,-72.7461339179,10,False,7
3.5,-71.8801085141,8,False,7
3.5,-70.1480577065,6,False,7
5,-65.8179306876,4,False,7
6.5,-66.6839560914,2,False,7
3.5,-66.6839560914,6,False,7
3.5,-87.4685657822,10,False,3
3.5,-87.4685657822,0,True,11
3.5,-85.7365149747,2,False,7
3.5,-87.4685657822,0,False,7
2,-88.334591186,10,False,7
-2.5,-89.2006165898,8,False,7
-2.5,-87.4685657822,6,False,7
-1,-90.0666419936,10,False,7
11,-51.9615242271,8,False,3
11,-51.9615242271,2,True,11
12.5,-51.0954988233,0,False,7
11,-51.9615242271,10,False,7
9.5,-51.0954988233,8,False,7
6.5,-47.6313972081,6,False,7
8,-46.7653718044,4,False,7
15.5,-58.0237020536,0,False,3
15.5,-58.0237020536,10,True,11
14,-57.1576766498,4,False,7
15.5,-58.0237020536,2,False,7
15.5,-59.7557528611,0,False,7
14,-64.08587988,10,False,7
12.5,-63.2198544763,8,False,7
15.5,-63.2198544763,0,False,7
6.5,-58.0237020536,10,False,3
6.5,-58.0237020536,0,True,11
6.5,-56.291651246,2,False,7
6.5,-58.0237020536,0,False,7
5,-58.8897274573,10,False,7
0.5,-59.7557528611,8,False,7
0.5,-58.0237020536,6,False,7
2,-60.6217782649,10,False,7
2,-50.2294734195,8,False,3
2,-50.2294734195,2,True,11
3.5,-49.3634480157,0,False,7
2,-50.2294734195,10,False,7
0.5,-49.3634480157,8,False,7
-2.5,-45.8993464006,6,False,7
-1,-45.0333209968,4,False,7
-2.5,-47.6313972081,8,False,7
-5.5,-38.9711431703,6,False,3
-5.5,-38.9711431703,4,True,11
-4,-39.8371685741,10,False,7
-5.5,-38.9711431703,8,False,7
-5.5,-37.2390923627,6,False,7
-4,-32.9089653438,4,False,7
-2.5,-33.7749907476,2,False,7
-5.5,-33.7749907476,6,False,7
3.5,-38.9711431703,4,False,3
3.5,-38.9711431703,6,True,11
3.5,-40.7031939779,8,False,7
3.5,-38.9711431703,6,False,7
5,-38.1051177665,4,False,7
9.5,-37.2390923627,2,False,7
9.5,-38.9711431703,0,False,7
8,-36.3730669589,4,False,7
-10,-46.7653718044,8,False,3
-10,-46.7653718044,2,True,11
-8.5,-45.8993464006,0,False,7
-10,-46.7653718044,10,False,7
-11.5,-45.8993464006,8,False,7
-14.5,-42.4352447854,6,False,7
-13,-41.5692193817,4,False,7
-14.5,-44.167295593,8,False,7
24.5,-35.5070415552,6,False,3
24.5,-35.5070415552,4,True,11
26,-36.3730669589,10,False,7
24.5,-35.5070415552,8,False,7
24.5,-33.7749907476,6,False,7
26,-29.4448637287,4,False,7
27.5,-30.3108891325,2,False,7
21.5,-42.4352447854,10,False,3
21.5,-42.4352447854,0,True,11
21.5,-40.7031939779,2,False,7
21.5,-42.4352447854,0,False,7
20,-43.3012701892,10,False,7
15.5,-44.167295593,8,False,7
15.5,-42.4352447854,6,False,7
17,-45.0333209968,10,False,7
17,-34.6410161514,8,False,3
17,-34.6410161514,2,True,11
18.5,-33.7749907476,0,False,7
17,-34.6410161514,10,False,7
15.5,-33.7749907476,8,False,7
12.5,-30.3108891325,6,False,7
14,-29.4448637287,4,False,7
12.5,-32.04293994,8,False,7
21.5,-26.8467875173,6,False,3
21.5,-26.8467875173,4,True,11
23,-27.7128129211,10,False,7
21.5,-26.8467875173,8,False,7
21.5,-25.1147367097,6,False,7
23,-20.7846096908,4,False,7
24.5,-21.6506350946,2,False,7
21.5,-21.6506350946,6,False,7
27.5,-14.7224318643,4,False,3
27.5,-14.7224318643,6,True,11
27.5,-16.4544826719,8,False,7
27.5,-14.7224318643,6,False,7
29,-13.8564064606,4,False,7
33.5,-12.9903810568,2,False,7
33.5,-14.7224318643,0,False,7
32,-12.124355653,4,False,7
32,-22.5166604984,2,False,3
32,-22.5166604984,8,True,11
30.5,-23.3826859022,6,False,7
32,-22.5166604984,4,False,7
33.5,-23.3826859022,2,False,7
36.5,-26.8467875173,0,False,7
35,-27.7128129211,10,False,7
36.5,-25.1147367097,2,False,7
18.5,-14.7224318643,6,False,3
18.5,-14.7224318643,4,True,11
20,-15.5884572681,10,False,7
18.5,-14.7224318643,8,False,7
18.5,-12.9903810568,6,False,7
20,-8.66025403784,4,False,7
21.5,-9.52627944163,2,False,7
18.5,-9.52627944163,6,False,7
36.5,-6.06217782649,4,False,3
36.5,-6.06217782649,6,True,11
36.5,-7.79422863406,8,False,7
36.5,-6.06217782649,6,False,7
38,-5.19615242271,4,False,7
42.5,-4.33012701892,2,False,7
42.5,-6.06217782649,0,False,7
29,-6.92820323028,8,False,3
