cluster,x,y,dir,ref,pt,consistent
21,-4.5,-7.79422863405995,8,True,1,False
21,-4.5,7.79422863405995,0,True,1,False
21,-1.5,11.2583302491977,6,False,1,False
21,10.5,-4.33012701892219,2,False,1,False
21,-9,-6.92820323027551,10,False,1,False
21,-1.5,-11.2583302491977,0,True,1,False
21,-9,6.92820323027551,4,True,1,False
21,10.5,4.33012701892219,8,True,1,False
21,3,-10.3923048454133,10,True,1,False
21,-10.5,2.59807621135332,2,True,1,False
21,7.5,7.79422863405995,6,True,1,False
21,7.5,-9.52627944162882,0,True,1,False
21,-12,-1.73205080756888,4,True,1,False
21,4.5,11.2583302491977,8,True,1,False
21,13.5,0.866025403784438,6,True,1,False
21,-6,-12.1243556529821,10,True,1,False
21,-7.5,11.2583302491977,2,True,1,False
21,12,-8.66025403784439,10,True,1,False
21,-13.5,-6.06217782649107,2,True,1,False
21,1.5,14.7224318643355,6,True,1,False
21,13.5,-4.33012701892219,8,True,1,False
21,-10.5,-9.52627944162882,0,True,1,False
21,-3,13.856406460551,4,True,1,False
21,7.5,11.2583302491977,6,True,1,False
21,6,-12.1243556529821,10,True,1,False
21,-13.5,0.866025403784438,2,True,1,False
21,-15,-3.46410161513775,10,True,1,False
21,4.5,14.7224318643355,2,True,1,False
21,10.5,-11.2583302491977,6,True,1,False
21,-16.5,0.866025403784438,8,False,1,False
21,9,13.856406460551,4,False,1,False
21,7.5,-14.7224318643355,0,False,1,False
21,-13.5,6.06217782649107,6,True,1,True
21,12,8.66025403784439,10,True,1,True
21,1.5,-14.7224318643355,2,True,1,True
21,-16.5,-7.79422863405995,2,True,1,False
21,1.5,18.1865334794732,6,True,1,False
21,15,-10.3923048454133,10,True,1,False
21,16.5,-2.59807621135332,8,True,1,False
21,-10.5,-12.9903810567666,0,True,1,False
21,-6,15.5884572681199,4,True,1,False
21,16.5,-7.79422863405995,0,True,1,False
21,-15,-10.3923048454133,4,True,1,False
21,-1.5,18.1865334794732,8,True,1,False
