x,y,dir,ref,pt
-5.5,33.7749907476,8,False,7
3.5,38.9711431703,6,False,3
3.5,38.9711431703,4,True,11
5,38.1051177665,10,False,7
3.5,38.9711431703,8,False,7
3.5,40.7031939779,6,False,7
5,45.0333209968,4,False,7
6.5,44.167295593,2,False,7
3.5,44.167295593,6,False,7
3.5,23.3826859022,10,False,3
3.5,23.3826859022,0,True,11
3.5,25.1147367097,2,False,7
3.5,23.3826859022,0,False,7
2,22.5166604984,10,False,7
-2.5,21.6506350946,8,False,7
-2.5,23.3826859022,6,False,7
-1,20.7846096908,10,False,7
-13,34.6410161514,8,False,3
-13,34.6410161514,2,True,11
-11.5,35.5070415552,0,False,7
-13,34.6410161514,10,False,7
-14.5,35.5070415552,8,False,7
-17.5,38.9711431703,6,False,7
-16,39.8371685741,4,False,7
-8.5,28.5788383249,0,False,3
-8.5,28.5788383249,10,True,11
-10,29.4448637287,4,False,7
-8.5,28.5788383249,2,False,7
-8.5,26.8467875173,0,False,7
-10,22.5166604984,10,False,7
-11.5,23.3826859022,8,False,7
-8.5,23.3826859022,0,False,7
-17.5,28.5788383249,10,False,3
-17.5,28.5788383249,0,True,11
-17.5,30.3108891325,2,False,7
-17.5,28.5788383249,0,False,7
-19,27.7128129211,10,False,7
-23.5,26.8467875173,8,False,7
-23.5,28.5788383249,6,False,7
-22,25.9807621135,10,False,7
-22,36.3730669589,8,False,3
-22,36.3730669589,2,True,11
-20.5,37.2390923627,0,False,7
-22,36.3730669589,10,False,7
-23.5,37.2390923627,8,False,7
-26.5,40.7031939779,6,False,7
-25,41.5692193817,4,False,7
-26.5,38.9711431703,8,False,7
-29.5,47.6313972081,6,False,3
-29.5,47.6313972081,4,True,11
-28,46.7653718044,10,False,7
-29.5,47.6313972081,8,False,7
-29.5,49.3634480157,6,False,7
-28,53.6935750346,4,False,7
-26.5,52.8275496309,2,False,7
-29.5,52.8275496309,6,False,7
-20.5,47.6313972081,4,False,3
-20.5,47.6313972081,6,True,11
-20.5,45.8993464006,8,False,7
-20.5,47.6313972081,6,False,7
-19,48.4974226119,4,False,7
-14.5,49.3634480157,2,False,7
-14.5,47.6313972081,0,False,7
-16,50.2294734195,4,False,7
-34,39.8371685741,8,False,3
-34,39.8371685741,2,True,11
-32.5,40.7031939779,0,False,7
-34,39.8371685741,10,False,7
-35.5,40.7031939779,8,False,7
-38.5,44.167295593,6,False,7
-37,45.0333209968,4,False,7
-38.5,42.4352447854,8,False,7
0.5,51.0954988233,6,False,3
0.5,51.0954988233,4,True,11
2,50.2294734195,10,False,7
0.5,51.0954988233,8,False,7
0.5,52.8275496309,6,False,7
2,57.1576766498,4,False,7
3.5,56.291651246,2,False,7
-2.5,44.167295593,10,False,3
-2.5,44.167295593,0,True,11
-2.5,45.8993464006,2,False,7
-2.5,44.167295593,0,False,7
-4,43.3012701892,10,False,7
-8.5,42.4352447854,8,False,7
-8.5,44.167295593,6,False,7
-7,41.5692193817,10,False,7
-7,51.9615242271,8,False,3
-7,51.9615242271,2,True,11
-5.5,52.8275496309,0,False,7
-7,51.9615242271,10,False,7
-8.5,52.8275496309,8,False,7
-11.5,56.291651246,6,False,7
-10,57.1576766498,4,False,7
-11.5,54.5596004384,8,False,7
-2.5,59.7557528611,6,False,3
-2.5,59.7557528611,4,True,11
-1,58.8897274573,10,False,7
-2.5,59.7557528611,8,False,7
-2.5,61.4878036687,6,False,7
-1,65.8179306876,4,False,7
0.5,64.9519052838,2,False,7
-2.5,64.9519052838,6,False,7
3.5,71.8801085141,4,False,3
3.5,71.8801085141,6,True,11
3.5,70.1480577065,8,False,7
3.5,71.8801085141,6,False,7
5,72.7461339179,4,False,7
9.5,73.6121593217,2,False,7
9.5,71.8801085141,0,False,7
8,74.4781847255,4,False,7
8,64.08587988,2,False,3
8,64.08587988,8,True,11
6.5,63.2198544763,6,False,7
8,64.08587988,4,False,7
9.5,63.2198544763,2,False,7
12.5,59.7557528611,0,False,7
11,58.8897274573,10,False,7
12.5,61.4878036687,2,False,7
-5.5,71.8801085141,6,False,3
-5.5,71.8801085141,4,True,11
-4,71.0140831103,10,False,7
-5.5,71.8801085141,8,False,7
-5.5,73.6121593217,6,False,7
-4,77.9422863406,4,False,7
-2.5,77.0762609368,2,False,7
-5.5,77.0762609368,6,False,7
-5.5,14.7224318643,10,False,3
-5.5,14.7224318643,0,True,11
-5.5,16.4544826719,2,False,7
-5.5,14.7224318643,0,False,7
-7,13.8564064606,10,False,7
-11.5,12.9903810568,8,False,7
-11.5,14.7224318643,6,False,7
2,15.5884572681,2,False,3
2,15.5884572681,8,True,11
0.5,14.7224318643,6,False,7
2,15.5884572681,4,False,7
3.5,14.7224318643,2,False,7
6.5,11.2583302492,0,False,7
5,10.3923048454,10,False,7
6.5,12.9903810568,2,False,7
-2.5,7.79422863406,0,False,3
-2.5,7.79422863406,10,True,11
-4,8.66025403784,4,False,7
-2.5,7.79422863406,2,False,7
-2.5,6.06217782649,0,False,7
-4,1.73205080757,10,False,7
-5.5,2.59807621135,8,False,7
-2.5,2.59807621135,0,False,7
-11.5,7.79422863406,10,False,3
-11.5,7.79422863406,0,True,11
-11.5,9.52627944163,2,False,7
-11.5,7.79422863406,0,False,7
-13,6.92820323028,10,False,7
-17.5,6.06217782649,8,False,7
-17.5,7.79422863406,6,False,7
-16,5.19615242271,10,False,7
-25,6.92820323028,8,False,3
-25,6.92820323028,2,True,11
-23.5,7.79422863406,0,False,7
-25,6.92820323028,10,False,7
-26.5,7.79422863406,8,False,7
-29.5,11.2583302492,6,False,7
-28,12.124355653,4,False,7
-29.5,9.52627944163,8,False,7
-20.5,14.7224318643,6,False,3
-20.5,14.7224318643,4,True,11
-19,13.8564064606,10,False,7
-20.5,14.7224318643,8,False,7
-20.5,16.4544826719,6,False,7
-19,20.7846096908,4,False,7
-17.5,19.918584287,2,False,7
-20.5,19.918584287,6,False,7
-20.5,-0.866025403784,10,False,3
-20.5,-0.866025403784,0,True,11
-20.5,0.866025403784,2,False,7
-20.5,-0.866025403784,0,False,7
-22,-1.73205080757,10,False,7
-26.5,-2.59807621135,8,False,7
-26.5,-0.866025403784,6,False,7
-25,-3.46410161514,10,False,7
