(14,1,-11):
(46,0,-11):LbltflTBLD
(48,0,-11):tRdRTdfDfD
(16,0,-11):FDlRfrLf
(20,0,-11):TblBtDrDRfDtRTdd
(22,0,-11):fdRlFLrF
(24,0,-11):lfLdTbLBtD
(28,0,-11):DtRRTdff
(30,0,-11):dTfftDrr
(37,0,-12):FLfRFlffrtrTF
(23,1,-12):
(43,0,-12):tFdfTfDrDRdF
(29,0,-12):RBdbdrBrbRDBDb
(47,0,-12):LDlDLDDlrDRfRFr
(31,0,-12):rDDRDrDDRfRFr
(48,0,-13):rfBrbFDR
(16,0,-13):rdfBRbFR
(32,0,-13):BLTbrtblBD
(36,0,-13):rfRFRFLdlf
(22,0,-13):RBfRFbdr
(24,1,-13):
(40,0,-13):fRFdfBRbrF
(42,0,-13):lfdFDLrbDBRDFDDf
(44,0,-13):FbtLTfBldL
(28,0,-13):DRBRFbdfrd
(30,0,-13):bDBfrBRFbd
(46,0,-13):fDFRltfTrL
(48,0,-14):BdTrDRDtbd
(16,0,-14):rfBTRtFbRd
(32,0,-14):DtRdrTdFDf
(36,0,-14):BRbFdbdBfR
(22,1,-14):
(40,0,-14):RdrTdFDftD
(44,0,-14):lfLrDDRlfL
(28,0,-14):FRltFLrDRlTLrfdd
(30,0,-14):RBRFbdfr
(46,0,-14):DBdTrdRtDb
(16,1,-15):
(48,0,-15):fBDbdFbLBl
(32,0,-15):rdbDBRLBDbdl
(36,0,-15):RdLrBrbRlD
(40,0,-15):fBtRTFbrdR
(44,0,-15):FbtLTfBldLrLBRlddrLBRl
(30,0,-15):DbdFbLBlBf
(46,0,-15):FLblfBDBdb
(48,0,-16):DfBFRbFdbDBfrd
(32,0,-16):dftbrBTFDR
(36,0,-16):dfDtRDrTdFRdrblfDFLB
(40,0,-16):RFrLdRDRlfrr
(30,1,-16):
(46,0,-16):blfdFLBRDBdbLrTBtl
(32,1,-17):
(46,0,-17):FLblfBDBdbrdRFLBDblf
